variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years,oos_n,oos_ev,oos_pf,oos_wr,oos_pos_years,oos_yearpts,oos_final,oos_dd,oos_stalled,full_ev,full_pf,full_wr,robust,robust_score
0959,HIGH_VOL & BIG_GAP,25.0,20.0,1440,2.748487986925873,192,1.1333489583333407,1.2486348694170777,0.5,4,156,2.848653846153867,1.3822828061772268,0.532051282051282,3,"{""2023"": -12.202999999998838, ""2024"": 167.74000000000115, ""2025"": 237.33300000000054, ""2026"": 51.52000000000044}",1091.9210000000073,0.6221293146848125,False,1.9022787356321975,1.3248798250930631,0.514367816091954,True,7.300548769796303
0959,HIGH_VOL & BIG_GAP,25.0,15.0,480,3.4062000129320347,192,1.3379895833333333,1.3962817445442501,0.5104166666666666,4,156,2.4845128205128253,1.411295166339471,0.47435897435897434,3,"{""2023"": -18.02399999999966, ""2024"": 109.28300000000013, ""2025"": 241.32500000000027, ""2026"": 55.0}",1553.496000000002,0.6682145483982246,False,1.8519482758620711,1.4051763756191809,0.4942528735632184,True,6.800106248655801
0959,HIGH_VOL & BIG_GAP,20.0,20.0,1440,2.6979765288649777,192,1.113010416666673,1.244342453097703,0.5052083333333334,4,156,2.594750000000017,1.3768826394940923,0.5641025641025641,4,"{""2023"": 5.72400000000107, ""2024"": 135.03400000000056, ""2025"": 142.5030000000006, ""2026"": 121.52000000000044}",1060.0480000000061,0.5357198828841871,False,1.7772385057471376,1.3173952893552754,0.5316091954022989,True,6.760053369665645
0959,HIGH_VOL & BIG_GAP,20.0,15.0,480,3.528016785347971,192,1.3814114583333346,1.4091423053368943,0.5104166666666666,4,156,2.3334102564102603,1.4134949393977263,0.5064102564102564,3,"{""2023"": -11.823999999999387, ""2024"": 84.08699999999976, ""2025"": 176.74900000000025, ""2026"": 115.0}",1448.0490000000016,0.5576364236210752,False,1.8081695402298874,1.4116490284189824,0.5086206896551724,True,6.508818253354486
0959,HIGH_VOL & BIG_GAP,25.0,30.0,1440,3.313395268347161,192,1.3496822916666744,1.3067615894274942,0.5052083333333334,4,156,2.682583333333358,1.323524136576801,0.5705128205128205,3,"{""2023"": -27.030999999999267, ""2024"": 154.60900000000106, ""2025"": 178.84500000000162, ""2026"": 112.0600000000004}",290.7800000000002,0.030733333333332665,True,1.947189655172429,1.3169018333036395,0.5344827586206896,False,6.163414949559121
0959,HIGH_VOL & BIG_GAP,25.0,25.0,1440,2.9936615749575384,192,1.2295833333333412,1.2720392341233646,0.5052083333333334,4,156,2.705070512820539,1.3403136759015717,0.5576923076923077,3,"{""2023"": -26.809999999999263, ""2024"": 169.10900000000106, ""2025"": 209.57200000000148, ""2026"": 70.1200000000008}",245.5460000000005,0.20305734964785174,True,1.8910086206896712,1.3122042563366387,0.5287356321839081,False,5.876593656107231
0959,HIGH_VOL & BIG_GAP,30.0,15.0,480,3.19301775114265,192,1.264921875,1.3661680695834675,0.5052083333333334,4,156,2.2771153846153904,1.3674970515818012,0.46153846153846156,3,"{""2023"": -22.40399999999977, ""2024"": 115.16599999999949, ""2025"": 193.62500000000045, ""2026"": 68.84300000000076}",1084.7360000000062,0.6871632749331714,False,1.718663793103451,1.366956237909394,0.48563218390804597,True,5.817419309261426
0959,HIGH_VOL & BIG_GAP,20.0,30.0,1440,3.2606228464283777,192,1.3293437500000067,1.3023562163122686,0.5104166666666666,4,156,2.448294871794895,1.323121384349089,0.6025641025641025,3,"{""2023"": -9.10399999999936, ""2024"": 121.90300000000047, ""2025"": 84.01500000000169, ""2026"": 185.1200000000008}",290.7800000000002,0.030733333333332665,True,1.8309425287356462,1.3144701021240164,0.5517241379310345,False,5.618053998039345
0959,gap_ratio_range>=0.35,20.0,20.0,1440,2.5809041822364014,223,1.0849461883408131,1.240575807684928,0.5112107623318386,3,186,2.17512365591399,1.3034528124137452,0.553763440860215,4,"{""2023"": 3.566000000000713, ""2024"": 96.98400000000038, ""2025"": 122.50300000000061, ""2026"": 181.52000000000044}",1003.5900000000047,0.6471202883931386,False,1.5807237163814267,1.2764170566266855,0.530562347188264,True,5.408950717728618
0959,BIG_GAP,20.0,20.0,1440,2.5809041822364014,223,1.0849461883408131,1.240575807684928,0.5112107623318386,3,186,2.17512365591399,1.3034528124137452,0.553763440860215,4,"{""2023"": 3.566000000000713, ""2024"": 96.98400000000038, ""2025"": 122.50300000000061, ""2026"": 181.52000000000044}",1003.5900000000047,0.6471202883931386,False,1.5807237163814267,1.2764170566266855,0.530562347188264,True,5.408950717728618
0959,HIGH_VOL & BIG_GAP,20.0,20.0,480,3.7489615308571493,192,1.4620729166666695,1.427349204271088,0.5208333333333334,4,156,2.177410256410259,1.3502587168715574,0.532051282051282,3,"{""2023"": -16.66999999999939, ""2024"": 89.08699999999976, ""2025"": 151.3090000000002, ""2026"": 115.94999999999982}",669.9520000000002,0.4469969058226334,False,1.7827413793103475,1.3813894414840648,0.5258620689655172,True,5.362154896426823
0959,BIG_GAP,25.0,30.0,1440,2.6247144658009334,223,1.0815964125560606,1.2417922597124527,0.5067264573991032,4,186,2.2527795698924895,1.265452813083824,0.5591397849462365,3,"{""2023"": -28.389999999999645, ""2024"": 116.50200000000063, ""2025"": 175.45500000000175, ""2026"": 155.45000000000027}",290.7800000000002,0.030733333333332665,True,1.6142127139364413,1.2562905832339901,0.530562347188264,False,5.033933640051121
0959,gap_ratio_range>=0.35,25.0,30.0,1440,2.6247144658009334,223,1.0815964125560606,1.2417922597124527,0.5067264573991032,4,186,2.2527795698924895,1.265452813083824,0.5591397849462365,3,"{""2023"": -28.389999999999645, ""2024"": 116.50200000000063, ""2025"": 175.45500000000175, ""2026"": 155.45000000000027}",290.7800000000002,0.030733333333332665,True,1.6142127139364413,1.2562905832339901,0.530562347188264,False,5.033933640051121
0959,HIGH_VOL & BIG_GAP,30.0,30.0,1440,2.820495151272511,192,1.162052083333343,1.2550582618944486,0.5,4,156,2.1668461538461727,1.242648990649458,0.5448717948717948,3,"{""2023"": -30.430999999999358, ""2024"": 181.13800000000106, ""2025"": 25.261000000000877, ""2026"": 162.0600000000004}",290.7800000000002,0.030733333333332665,True,1.6124770114942668,1.247435545241248,0.5201149425287356,False,4.789843165996193
0959,HIGH_VOL & BIG_GAP,25.0,30.0,480,4.727561451106486,192,1.7679843750000046,1.5608605568736849,0.5260416666666666,4,156,2.0835256410256395,1.2746259728255216,0.532051282051282,3,"{""2023"": -34.40099999999961, ""2024"": 61.39599999999996, ""2025"": 196.5350000000003, ""2026"": 101.49999999999909}",299.13200000000006,0.0028933333333331273,True,1.9094339080459788,1.3714741892906483,0.5287356321839081,False,4.732727344344687
0959,HIGH_VOL & BIG_GAP,20.0,25.0,1440,2.9422366956271677,192,1.2092447916666735,1.267726695640845,0.5104166666666666,4,156,2.2268076923077147,1.3003563998941727,0.5833333333333334,3,"{""2023"": -8.882999999999356, ""2024"": 136.40300000000047, ""2025"": 114.74200000000155, ""2026"": 105.1200000000008}",243.98600000000056,0.212831581460474,True,1.6653936781609333,1.2863742263838644,0.5431034482758621,False,4.649740221449729
0959,HIGH_VOL & BIG_GAP,20.0,30.0,480,4.781913441099855,192,1.7853645833333391,1.5663741086121805,0.5260416666666666,4,156,2.019839743589745,1.2913507850692143,0.5641025641025641,3,"{""2023"": -28.20099999999934, ""2024"": 39.81699999999978, ""2025"": 131.9590000000003, ""2026"": 171.51999999999953}",299.13200000000006,0.0028933333333331273,True,1.8904741379310384,1.390035055933572,0.5431034482758621,False,4.621647188408185
0959,gap_ratio_range>=0.35,20.0,30.0,1440,2.8758321880663265,223,1.1815201793722037,1.2647367643675116,0.515695067264574,4,186,2.023779569892489,1.2566768381036826,0.5913978494623656,3,"{""2023"": -8.59199999999987, ""2024"": 83.79600000000005, ""2025"": 76.09900000000198, ""2026"": 225.1200000000008}",290.7800000000002,0.030733333333332665,True,1.5645525672371745,1.2599353149395536,0.5501222493887531,False,4.497384306984226
0959,BIG_GAP,20.0,30.0,1440,2.8758321880663265,223,1.1815201793722037,1.2647367643675116,0.515695067264574,4,186,2.023779569892489,1.2566768381036826,0.5913978494623656,3,"{""2023"": -8.59199999999987, ""2024"": 83.79600000000005, ""2025"": 76.09900000000198, ""2026"": 225.1200000000008}",290.7800000000002,0.030733333333332665,True,1.5645525672371745,1.2599353149395536,0.5501222493887531,False,4.497384306984226
0959,HIGH_VOL & BIG_GAP,30.0,30.0,480,4.301409258921109,192,1.642833333333338,1.4965461655195886,0.5208333333333334,4,156,1.972282051282051,1.2516145229786872,0.5192307692307693,3,"{""2023"": -38.78099999999972, ""2024"": 67.27899999999931, ""2025"": 148.8350000000005, ""2026"": 130.34299999999985}",299.13200000000006,0.0028933333333331273,True,1.7905172413793127,1.3353528416726634,0.5201149425287356,False,4.434304716296683
0959,HIGH_VOL & BIG_GAP,30.0,25.0,1440,2.5812782788822823,192,1.0679947916666765,1.2296721832942086,0.5,4,156,2.221384615384636,1.261622297416666,0.532051282051282,3,"{""2023"": -30.209999999999354, ""2024"": 195.63800000000106, ""2025"": 65.98800000000074, ""2026"": 115.1200000000008}",225.5460000000005,0.2679692317678738,True,1.585031609195417,1.2487577692973089,0.514367816091954,False,4.403713092196389
0959,HIGH_VOL & BIG_GAP,25.0,20.0,480,3.6994345702897102,192,1.444692708333335,1.4222691442298625,0.5208333333333334,4,156,2.241224358974361,1.3324101592879296,0.5,3,"{""2023"": -22.869999999999663, ""2024"": 110.66599999999994, ""2025"": 215.88500000000022, ""2026"": 45.94999999999982}",192.71500000000037,0.3576166666666654,True,1.801758620689657,1.3669552311481092,0.5114942528735632,False,4.337863569720642
0959,BIG_GAP,25.0,25.0,1440,2.4770176739813268,223,1.0230358744394688,1.2257456760535663,0.5067264573991032,4,186,2.1126989247312022,1.256912799417349,0.543010752688172,3,"{""2023"": -27.788999999999533, ""2024"": 121.05900000000088, ""2025"": 176.1820000000016, ""2026"": 123.51000000000067}",233.73000000000002,0.24140728960436234,True,1.518579462102702,1.2445130144042869,0.5232273838630807,False,4.216802260890343
0959,gap_ratio_range>=0.35,25.0,25.0,1440,2.4770176739813268,223,1.0230358744394688,1.2257456760535663,0.5067264573991032,4,186,2.1126989247312022,1.256912799417349,0.543010752688172,3,"{""2023"": -27.788999999999533, ""2024"": 121.05900000000088, ""2025"": 176.1820000000016, ""2026"": 123.51000000000067}",233.73000000000002,0.24140728960436234,True,1.518579462102702,1.2445130144042869,0.5232273838630807,False,4.216802260890343
0959,HIGH_VOL & BIG_GAP,25.0,25.0,480,4.614221021858841,192,1.7347552083333373,1.5445786244964181,0.5260416666666666,4,156,2.032339743589744,1.2777388434038064,0.5192307692307693,3,"{""2023"": -42.86999999999966, ""2024"": 86.39599999999996, ""2025"": 216.99900000000025, ""2026"": 56.51999999999953}",239.36500000000024,0.2021166666666659,True,1.8681551724137955,1.370831046956943,0.5229885057471264,False,4.150700452583533
0959,BIG_GAP,25.0,15.0,480,3.3355868590597977,223,1.311318385650223,1.391171277221895,0.515695067264574,4,186,1.647123655913981,1.2626000720004116,0.44623655913978494,3,"{""2023"": -61.41199999999958, ""2024"": 80.04600000000028, ""2025"": 219.3710000000001, ""2026"": 68.35999999999967}",894.5689999999965,0.6957423819553734,False,1.4640317848410762,1.3128109621673578,0.4841075794621027,True,3.949663688403878
0959,gap_ratio_range>=0.35,25.0,15.0,480,3.3355868590597977,223,1.311318385650223,1.391171277221895,0.515695067264574,4,186,1.647123655913981,1.2626000720004116,0.44623655913978494,3,"{""2023"": -61.41199999999958, ""2024"": 80.04600000000028, ""2025"": 219.3710000000001, ""2026"": 68.35999999999967}",894.5689999999965,0.6957423819553734,False,1.4640317848410762,1.3128109621673578,0.4841075794621027,True,3.949663688403878
0959,BIG_GAP & BIG_PREV_MOVE,25.0,15.0,480,2.487369716111248,139,1.0021654676258906,1.2824271939143737,0.4748201438848921,4,110,1.7054000000000025,1.2657680886753109,0.42727272727272725,3,"{""2023"": -69.09699999999953, ""2024"": 24.114000000000033, ""2025"": 107.57699999999977, ""2026"": 125.0}",625.6600000000001,0.5246700151297414,False,1.3128313253012012,1.2726206003916314,0.4538152610441767,True,3.943227997419122
0959,HIGH_VOL & BIG_GAP,30.0,20.0,480,3.476903113836686,192,1.3716250000000016,1.3890663365254219,0.515625,4,156,2.0658782051282083,1.298107626105843,0.48717948717948717,3,"{""2023"": -27.249999999999773, ""2024"": 116.5489999999993, ""2025"": 168.1850000000004, ""2026"": 64.79300000000057}",197.71500000000037,0.34094999999999875,True,1.6828419540229909,1.3331302568093213,0.5028735632183908,False,3.9044670829873276
0959,HIGH_VOL & BIG_GAP,30.0,25.0,480,4.278159166200674,192,1.6356458333333375,1.4933020847732403,0.5208333333333334,4,156,1.8890448717948733,1.250631914488277,0.5064102564102564,3,"{""2023"": -47.24999999999977, ""2024"": 92.27899999999931, ""2025"": 169.29900000000043, ""2026"": 80.36300000000028}",244.36500000000024,0.1854499999999992,True,1.7492385057471294,1.3358708414440903,0.514367816091954,False,3.8146127108920007
0959,gap_ratio_range>=0.35,30.0,15.0,480,3.1775351499562934,223,1.2575381165919275,1.367749422996223,0.5112107623318386,4,186,1.5856666666666714,1.2476501557606245,0.43548387096774194,3,"{""2023"": -65.79199999999969, ""2024"": 85.92899999999963, ""2025"": 182.5940000000005, ""2026"": 92.20300000000043}",736.4040000000016,0.6945843487679388,False,1.4067603911980457,1.2945318378901352,0.4767726161369193,True,3.593789900876349
0959,BIG_GAP,30.0,15.0,480,3.1775351499562934,223,1.2575381165919275,1.367749422996223,0.5112107623318386,4,186,1.5856666666666714,1.2476501557606245,0.43548387096774194,3,"{""2023"": -65.79199999999969, ""2024"": 85.92899999999963, ""2025"": 182.5940000000005, ""2026"": 92.20300000000043}",736.4040000000016,0.6945843487679388,False,1.4067603911980457,1.2945318378901352,0.4767726161369193,True,3.593789900876349
0959,HIGH_VOL & BIG_GAP,20.0,25.0,480,4.668006045493978,192,1.7521354166666718,1.5500346622717547,0.5260416666666666,4,156,1.7441666666666675,1.2556030895197943,0.5448717948717948,3,"{""2023"": -36.66999999999939, ""2024"": 64.81699999999978, ""2025"": 152.42300000000023, ""2026"": 91.51999999999953}",249.62500000000045,0.16791666666666516,True,1.748563218390808,1.3630412655910868,0.5344827586206896,False,3.5404292057172246
0959,ThuFri & HIGH_VOL,20.0,25.0,480,2.7035138817780804,342,1.0910672514619897,1.294555059207821,0.5029239766081871,4,256,1.5360156250000072,1.2513869692021886,0.53515625,3,"{""2023"": 31.429000000000997, ""2024"": 208.34100000000058, ""2025"": 306.93000000000075, ""2026"": -153.48000000000047}",739.4130000000016,0.6953349122776177,False,1.2815468227424787,1.2707036461532655,0.5167224080267558,True,3.4910710757838244
0959,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,1440,2.890845017444927,139,1.2150935251798605,1.255665889618844,0.48201438848920863,3,110,1.5271000000000143,1.210281157678636,0.5363636363636364,3,"{""2023"": -40.110999999999194, ""2024"": 13.305000000000064, ""2025"": 33.26700000000028, ""2026"": 161.52000000000044}",489.501000000002,0.3290366666666644,False,1.3529277108433821,1.2308244145094778,0.5060240963855421,True,3.4536285527709474
0959,ThuFri & HIGH_VOL,20.0,15.0,480,2.753639696974763,342,1.1091198830409408,1.3024018737932053,0.49707602339181284,4,256,1.4161132812500075,1.2570721886928669,0.48828125,3,"{""2023"": 50.889000000000806, ""2024"": 168.83299999999986, ""2025"": 292.80300000000125, ""2026"": -150.0}",1069.9470000000201,0.8461065056861654,False,1.240541806020073,1.278411340554787,0.49331103678929766,True,3.4102186899029885
0959,gap_ratio_range>=0.35,20.0,15.0,480,3.377288980094763,223,1.3262825112107621,1.3956351329659158,0.515695067264574,4,186,1.450252688172046,1.2441944887022018,0.4731182795698925,3,"{""2023"": -55.21199999999931, ""2024"": 54.84999999999991, ""2025"": 151.74900000000025, ""2026"": 118.35999999999967}",707.1609999999994,0.6484568626821617,False,1.3826601466992676,1.3053169204189614,0.4963325183374083,True,3.301553899756309
0959,BIG_GAP,20.0,15.0,480,3.377288980094763,223,1.3262825112107621,1.3956351329659158,0.515695067264574,4,186,1.450252688172046,1.2441944887022018,0.4731182795698925,3,"{""2023"": -55.21199999999931, ""2024"": 54.84999999999991, ""2025"": 151.74900000000025, ""2026"": 118.35999999999967}",707.1609999999994,0.6484568626821617,False,1.3826601466992676,1.3053169204189614,0.4963325183374083,True,3.301553899756309
0959,gap_ratio_range>=0.35,20.0,25.0,1440,2.7248137803861114,223,1.1229596412556118,1.24835665292748,0.515695067264574,4,186,1.705956989247329,1.219493096483221,0.5698924731182796,3,"{""2023"": -7.990999999999758, ""2024"": 88.35300000000029, ""2025"": 81.82600000000184, ""2026"": 155.1200000000008}",233.73000000000002,0.24140728960436234,True,1.3880880195599135,1.2313529056035437,0.5403422982885085,False,3.234984776880969
0959,BIG_GAP,20.0,25.0,1440,2.7248137803861114,223,1.1229596412556118,1.24835665292748,0.515695067264574,4,186,1.705956989247329,1.219493096483221,0.5698924731182796,3,"{""2023"": -7.990999999999758, ""2024"": 88.35300000000029, ""2025"": 81.82600000000184, ""2026"": 155.1200000000008}",233.73000000000002,0.24140728960436234,True,1.3880880195599135,1.2313529056035437,0.5403422982885085,False,3.234984776880969
0959,ThuFri & HIGH_VOL,20.0,20.0,480,2.7986950195083113,342,1.1264239766081907,1.3070309878641968,0.5029239766081871,4,256,1.461390625000008,1.2522176813145784,0.515625,3,"{""2023"": 56.429000000001, ""2024"": 227.84100000000012, ""2025"": 313.8960000000011, ""2026"": -224.05000000000018}",805.3470000000116,0.8485051159675854,False,1.269821070234119,1.2773362385925917,0.5083612040133779,True,3.2182291757579913
0959,ThuFri & HIGH_VOL,20.0,30.0,480,2.5516231173696724,342,1.033757309941522,1.274830944124303,0.5029239766081871,4,256,1.428937500000007,1.2242000865400773,0.54296875,3,"{""2023"": 34.52800000000093, ""2024"": 211.16100000000074, ""2025"": 268.5990000000006, ""2026"": -148.48000000000047}",287.52300000000105,0.23549416363104467,True,1.2029314381270941,1.2465206751283326,0.520066889632107,False,2.8413955890029494
0959,BIG_GAP,30.0,30.0,480,4.107062264799709,223,1.5768116591928278,1.477824312131063,0.5246636771300448,4,186,1.302553763440862,1.160211265277188,0.4946236559139785,3,"{""2023"": -69.66699999999969, ""2024"": 22.86499999999978, ""2025"": 165.3740000000007, ""2026"": 123.70299999999952}",299.13200000000006,0.0028933333333331273,True,1.4520880195599044,1.2641783038078964,0.511002444987775,False,2.80727711963397
0959,gap_ratio_range>=0.35,30.0,30.0,480,4.107062264799709,223,1.5768116591928278,1.477824312131063,0.5246636771300448,4,186,1.302553763440862,1.160211265277188,0.4946236559139785,3,"{""2023"": -69.66699999999969, ""2024"": 22.86499999999978, ""2025"": 165.3740000000007, ""2026"": 123.70299999999952}",299.13200000000006,0.0028933333333331273,True,1.4520880195599044,1.2641783038078964,0.511002444987775,False,2.80727711963397
0959,ThuFri & HIGH_VOL,25.0,15.0,480,2.9847566450458056,342,1.1970380116959123,1.3263727783384933,0.49707602339181284,4,256,1.3118710937500078,1.2261226886218566,0.46875,3,"{""2023"": 57.738000000000284, ""2024"": 189.81600000000003, ""2025"": 218.28500000000167, ""2026"": -130.0}",830.3510000000206,0.9053549887138819,False,1.2461973244147224,1.2720238753581339,0.48494983277591974,True,2.8067582987590063
0959,ThuFri & HIGH_VOL,25.0,25.0,480,2.9332303550687406,342,1.178985380116961,1.3182902868546094,0.5029239766081871,4,256,1.3726171875000084,1.2125811191861446,0.515625,3,"{""2023"": 38.278000000000475, ""2024"": 225.70700000000056, ""2025"": 234.56500000000096, ""2026"": -147.15999999999985}",594.5330000000026,0.7537483063170237,False,1.2618779264214093,1.2584453338575752,0.5083612040133779,True,2.7788352388016593
0959,ThuFri & HIGH_VOL,25.0,20.0,480,3.0306253239617202,342,1.214342105263162,1.3309949574286486,0.5029239766081871,4,256,1.3709609375000067,1.2259350982011645,0.5,3,"{""2023"": 63.278000000000475, ""2024"": 245.2070000000001, ""2025"": 246.5310000000013, ""2026"": -204.05000000000018}",630.6220000000076,0.879949094699662,False,1.2813896321070286,1.2728778431044379,0.5016722408026756,True,2.6946578599244972
0959,BIG_GAP,25.0,30.0,480,4.437656914132254,223,1.6754349775784776,1.529287600439726,0.5291479820627802,4,186,1.229602150537634,1.1552705044020442,0.5053763440860215,3,"{""2023"": -65.28699999999958, ""2024"": 16.982000000000426, ""2025"": 192.1510000000003, ""2026"": 84.85999999999876}",299.13200000000006,0.0028933333333331273,True,1.4726845965770181,1.2764433315219788,0.5183374083129584,False,2.643611053422907
0959,gap_ratio_range>=0.35,25.0,30.0,480,4.437656914132254,223,1.6754349775784776,1.529287600439726,0.5291479820627802,4,186,1.229602150537634,1.1552705044020442,0.5053763440860215,3,"{""2023"": -65.28699999999958, ""2024"": 16.982000000000426, ""2025"": 192.1510000000003, ""2026"": 84.85999999999876}",299.13200000000006,0.0028933333333331273,True,1.4726845965770181,1.2764433315219788,0.5183374083129584,False,2.643611053422907
0959,gap_ratio_range_Q4,20.0,30.0,480,3.3344305190568284,257,1.3159766536965012,1.3818283631798456,0.5136186770428015,4,216,1.1767361111111088,1.166221208433253,0.5324074074074074,2,"{""2023"": -62.971999999999525, ""2024"": -3.456000000000131, ""2025"": 105.72299999999996, ""2026"": 214.8799999999992}",299.13200000000006,0.0028933333333331273,True,1.2523911205074003,1.2453034112098642,0.5221987315010571,False,2.542556526837975
