name,train_final,train_dd,oos_final,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,full_final,full_dd,oos_ret_2023,oos_ret_2024,oos_ret_2025,oos_ret_2026
ExpectancyV2,115.69899999999825,0.6801164529944109,1412.0619999999708,0.9590180046045232,0.4929881337648328,927,3,0.2946445262351254,115.69899999999825,0.6801164529944109,0.3293566666666683,-0.47742642431050686,0.1377407560241597,4.955253213671782
HighWR_A6+B5+C30,117.43299999999954,0.6472487729268929,890.351999999999,0.667687662403649,0.6265432098765432,324,2,0.28421620032341866,117.43299999999954,0.6472487729268929,-0.37686333333333477,-0.04091665284769064,0.03379961180643587,3.8035737407743317
A6_only,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4,0.1,614.4779999999987,0.6775372250466803,0.40555000000000074,0.27731018699678534,0.2673613109616282,0.5625574094231298
