engine,tp,sl,filter,train_n,train_final,train_multiple,train_dd,train_wr,train_pos_years,modern_final,modern_dd,train_score,retain_train
A,20,15,close>=0.85,109,808.0079999999996,2.6933599999999984,0.3982160768853964,0.5779816513761468,4,1231.5820000000008,0.15572968441379476,0.7796358210450482,0.4954545454545455
A,20,12,close>=0.85,109,711.0869999999991,2.370289999999997,0.4767605962350435,0.5504587155963303,4,1461.2710000000004,0.2125950161736243,0.5527860636514651,0.4954545454545455
A,15,15,close>=0.85,109,622.6859999999988,2.075619999999996,0.3709926746265251,0.5779816513761468,4,944.2430000000002,0.16068085835714552,0.5516510943168196,0.4954545454545455
A,20,20,close>=0.85,109,584.7149999999999,1.9490499999999997,0.37149585039007516,0.5779816513761468,4,754.4810000000002,0.10301388183821666,0.4924077790654018,0.4954545454545455
A,15,15,prevRoom>=0,198,631.3820000000001,2.1046066666666667,0.49924424538878337,0.5353535353535354,4,690.4030000000005,0.34098296945049783,0.4057185821074997,0.9
A,15,15,prevRoom+trend,198,631.3820000000001,2.1046066666666667,0.49924424538878337,0.5353535353535354,4,690.4030000000005,0.34098296945049783,0.4057185821074997,0.9
A,15,20,close>=0.85,109,504.6109999999994,1.6820366666666648,0.3375545041284002,0.5779816513761468,4,574.3169999999998,0.1064386644374367,0.38544576067829484,0.4954545454545455
A,15,15,time<=13,203,645.0190000000007,2.1500633333333354,0.5383416345288099,0.5320197044334976,4,839.3550000000012,0.30938642788119913,0.38026196714063343,0.9227272727272727
A,15,15,early+trend,203,645.0190000000007,2.1500633333333354,0.5383416345288099,0.5320197044334976,4,839.3550000000012,0.30938642788119913,0.38026196714063343,0.9227272727272727
A,15,15,close>=0.70,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546
A,15,15,trend+close,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546
A,15,15,TPspread+close,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546
A,15,12,close>=0.85,109,499.07299999999805,1.6635766666666603,0.44729480302244246,0.5504587155963303,4,874.5069999999996,0.28465079922671266,0.23524561674125422,0.4954545454545455
A,12,15,close>=0.85,109,456.8229999999994,1.5227433333333313,0.35351587720843175,0.5779816513761468,3,548.9590000000005,0.20357829957227502,0.18410305552034337,0.4954545454545455
A,15,15,trend=3,212,520.5930000000005,1.7353100000000017,0.5246413214045551,0.5188679245283019,4,625.0980000000013,0.2919480986311528,0.18092263651124352,0.9636363636363636
A,12,20,close>=0.85,109,398.66799999999967,1.3288933333333321,0.3378125292630418,0.5779816513761468,4,492.2760000000003,0.09112281533050239,0.15192728627025542,0.4954545454545455
A,15,15,time<=12,200,529.4590000000007,1.764863333333336,0.5682701765890676,0.53,4,841.7970000000012,0.3098766916652324,0.1435089048376019,0.9090909090909091
A,15,20,Thu-Fri,93,340.5759999999998,1.1352533333333326,0.24182657747447134,0.5053763440860215,4,378.62300000000005,0.1299226640699311,0.11928815529613171,0.42272727272727273
A,8,15,close>=0.85,109,440.2559999999985,1.467519999999995,0.3774963282836281,0.6146788990825688,3,449.5819999999994,0.16087577639751593,0.11861761887526427,0.4954545454545455
A,10,15,close>=0.85,109,425.04899999999884,1.416829999999996,0.36959375185603444,0.5963302752293578,3,529.838,0.1955063205570199,0.09149779287809573,0.4954545454545455
A,10,20,close>=0.85,109,374.74399999999946,1.2491466666666649,0.35249866507522915,0.5963302752293578,4,429.65700000000015,0.09656774106325904,0.07088372845838814,0.4954545454545455
A,8,20,close>=0.85,109,360.7449999999992,1.2024833333333307,0.3579171362933695,0.6146788990825688,4,433.8159999999998,0.09994153420249156,0.026358003284564335,0.4954545454545455
A,5,15,close>=0.85,109,334.61099999999897,1.1153699999999966,0.31299394153610116,0.6788990825688074,4,341.27099999999973,0.11493259535110793,0.0053802704563918335,0.4954545454545455
A,15,12,prevRoom>=0,198,462.7459999999992,1.542486666666664,0.5765822043493564,0.5050505050505051,4,839.0160000000003,0.3929418025789124,-0.0006363128851780142,0.9
A,15,12,prevRoom+trend,198,462.7459999999992,1.542486666666664,0.5765822043493564,0.5050505050505051,4,839.0160000000003,0.3929418025789124,-0.0006363128851780142,0.9
A,12,12,close>=0.85,109,382.87799999999856,1.2762599999999953,0.42602864354053416,0.5504587155963303,4,620.5850000000003,0.2867415640312377,-0.0030261328502566576,0.4954545454545455
A,4,15,close>=0.85,109,340.8389999999988,1.136129999999996,0.2723188753917604,0.7247706422018348,3,308.78399999999965,0.1478838709677421,-0.004814789851459111,0.4954545454545455
A,6,15,close>=0.85,109,352.86999999999875,1.1762333333333292,0.3043090843885366,0.6605504587155964,3,349.68899999999985,0.1512743742015562,-0.01305581804410283,0.4954545454545455
A,15,15,prevDist>=0.25,204,421.91200000000026,1.4063733333333341,0.5173739309860845,0.5098039215686274,4,619.1340000000009,0.34462368251768966,-0.01968041066291154,0.9272727272727272
A,15,15,prevDist+trend,204,421.91200000000026,1.4063733333333341,0.5173739309860845,0.5098039215686274,4,619.1340000000009,0.34462368251768966,-0.01968041066291154,0.9272727272727272
A,15,15,LONG,115,397.85599999999954,1.326186666666665,0.4070028016143226,0.5130434782608696,3,414.12999999999965,0.4074097726986264,-0.019758874153026462,0.5227272727272727
A,15,15,body+close,146,437.0320000000004,1.4567733333333346,0.4876666903106837,0.5273972602739726,3,768.020000000002,0.24493882871770914,-0.027286639848918437,0.6636363636363637
A,8,12,close>=0.85,109,390.7049999999979,1.302349999999993,0.46657623936907294,0.5871559633027523,4,595.0159999999992,0.29284134615384644,-0.03155695947746323,0.4954545454545455
A,15,12,close>=0.70,155,475.9699999999991,1.5865666666666638,0.5148366198515189,0.5161290322580645,2,976.986000000001,0.3976324860075721,-0.05634204224894687,0.7045454545454546
A,15,12,trend+close,155,475.9699999999991,1.5865666666666638,0.5148366198515189,0.5161290322580645,2,976.986000000001,0.3976324860075721,-0.05634204224894687,0.7045454545454546
A,15,12,TPspread+close,155,475.9699999999991,1.5865666666666638,0.5148366198515189,0.5161290322580645,2,976.986000000001,0.3976324860075721,-0.05634204224894687,0.7045454545454546
A,6,20,close>=0.85,109,321.6059999999993,1.0720199999999978,0.2744313121707514,0.6605504587155964,3,366.64999999999986,0.0779377830427322,-0.06038223354525424,0.4954545454545455
