system,positive_years_2018_2026,negative_years_2018_2026,positive_years_2023_2026,stall_years,median_final,mean_final,worst_final,best_final,geo_mean_multiple,median_dd_pct,worst_dd_pct,mean_wr_pct,mean_trades,final_2026,return_2026_pct,dd_2026_pct,robust_score
B Partial Balanced,8,1,4,0,437.8060000000007,437.395666666667,290.87899999999945,566.5500000000002,1.4263246896683988,23.22353243474248,31.48866666666671,54.75273183102539,85.88888888888889,566.5500000000002,88.85000000000005,25.0,10.040214322021994
B5/20 + Momentum,6,3,4,0,332.222,334.99166666666656,237.39899999999943,390.83399999999915,1.101302435039849,21.839323229080456,33.86288205567081,70.93270002308903,85.88888888888889,330.0,10.000000000000009,23.809523809523807,7.7578646906891295
A Smooth + B Partial Balanced,7,2,3,1,415.3150000000005,435.33044444444465,190.0,699.295000000001,1.3426504851112466,24.456680250228537,36.666666666666664,52.7027202110773,104.33333333333333,190.0,-36.66666666666667,36.666666666666664,6.927978967644979
A Smooth + B Reclaim,7,2,3,2,385.91499999999996,411.24855555555547,191.0,715.1570000000006,1.2560459954045322,27.939169993232245,41.59021406727829,64.63551896453791,129.66666666666666,191.0,-36.33333333333333,41.59021406727829,5.312066547247718
B20/25 + Momentum,6,3,2,2,351.17100000000005,354.0075555555556,245.0,460.84099999999853,1.1491835823316352,20.34502132026511,34.102714350080525,48.99151790783043,72.44444444444444,245.0,-18.333333333333336,18.333333333333332,3.7980246183485766
