year,A Smooth + B Partial Balanced,A Smooth + B Reclaim,B Partial Balanced,B20/25 + Momentum,B5/20 + Momentum
2018,346.83899999999903,306.16499999999814,336.63599999999997,336.24299999999994,295.02199999999993
2019,231.72799999999984,197.16700000000014,290.87899999999945,280.4389999999994,237.39899999999943
2020,390.9980000000005,473.3209999999999,437.8060000000007,403.59300000000076,332.222
2021,415.3150000000005,342.5880000000011,382.297,454.43100000000004,272.7920000000006
2022,588.7010000000016,715.1570000000006,393.37600000000134,409.07400000000143,389.874
2023,699.295000000001,557.6470000000006,487.69800000000055,351.17100000000005,378.999
2024,597.6410000000019,532.2769999999985,554.1750000000027,245.27600000000007,390.83399999999915
2025,457.4569999999976,385.91499999999996,487.14399999999796,460.84099999999853,387.7829999999999
2026,190.0,191.0,566.5500000000002,245.0,330.0
