family,variant,n_2023,n_2024,n_2025,n_2026
prevclose_fade_900,th=5.0,128,174,220,155
prevclose_cont_900,th=8.0,63,134,183,145
prevclose_fade_900,th=8.0,63,134,183,145
08_09_cont,th=1.0,155,191,226,158
08_09_fade,th=1.0,155,191,226,158
08_09_ema_cont,th=1.0,148,174,189,139
09_10_cont,th=1.0,169,196,214,158
09_10_fade,th=1.0,169,196,214,158
09_10_ema_cont,th=1.0,156,177,188,139
09_10_cont,th=2.0,105,143,185,145
09_10_fade,th=2.0,105,143,185,145
09_10_ema_cont,th=2.0,99,134,169,130
09_10_cont,th=3.0,68,100,155,135
09_10_fade,th=3.0,68,100,155,135
09_10_ema_cont,th=3.0,67,95,145,125
09_10_cont,th=5.0,23,49,101,111
09_10_fade,th=5.0,23,49,101,111
09_10_ema_cont,th=5.0,23,49,98,107
08_10_cont,th=1.0,196,208,230,159
08_10_fade,th=1.0,196,208,230,159
08_10_ema_cont,th=1.0,162,164,176,116
08_10_cont,th=2.0,126,164,202,153
08_10_fade,th=2.0,126,164,202,153
08_10_ema_cont,th=2.0,113,132,161,113
08_10_cont,th=3.0,80,139,177,139
08_10_fade,th=3.0,80,139,177,139
08_10_ema_cont,th=3.0,76,120,146,105
08_10_cont,th=5.0,35,73,141,125
08_10_fade,th=5.0,35,73,141,125
08_10_ema_cont,th=5.0,35,68,121,97
10_11_cont,th=1.0,188,201,231,148
10_11_fade,th=1.0,188,201,231,148
10_11_ema_cont,th=1.0,167,187,205,127
10_11_cont,th=2.0,118,145,201,140
10_11_fade,th=2.0,118,145,201,140
10_11_ema_cont,th=2.0,111,138,184,123
10_11_cont,th=3.0,68,100,177,119
10_11_fade,th=3.0,68,100,177,119
10_11_ema_cont,th=3.0,65,99,166,109
10_11_cont,th=5.0,27,52,134,94
10_11_fade,th=5.0,27,52,134,94
10_11_ema_cont,th=5.0,27,52,128,88
10_11_cont,th=8.0,7,17,76,58
10_11_fade,th=8.0,7,17,76,58
10_11_ema_cont,th=8.0,7,17,76,57
10_11_cont,th=10.0,1,4,48,43
10_11_fade,th=10.0,1,4,48,43
10_11_ema_cont,th=10.0,1,4,48,42
12_13_cont,th=1.0,161,191,213,150
12_13_fade,th=1.0,161,191,213,150
12_13_ema_cont,th=1.0,149,174,183,135
12_13_cont,th=2.0,82,116,170,132
12_13_fade,th=2.0,82,116,170,132
12_13_ema_cont,th=2.0,80,112,152,123
12_13_cont,th=3.0,40,74,131,115
12_13_fade,th=3.0,40,74,131,115
12_13_ema_cont,th=3.0,39,74,120,111
13_14_cont,th=1.0,145,180,204,150
13_14_fade,th=1.0,145,180,204,150
14_15_cont,th=1.0,153,194,221,154
14_15_fade,th=1.0,153,194,221,154
14_15_ema_cont,th=1.0,138,171,188,128
