variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years
1000,BIG_GAP,30.0,30.0,480,3.770318266996347,228,1.4722587719298312,1.4250616366281774,0.5175438596491229,4
1000,gap_ratio_range>=0.35,30.0,30.0,480,3.770318266996347,228,1.4722587719298312,1.4250616366281774,0.5175438596491229,4
1000,HIGH_VOL & BIG_GAP,30.0,30.0,480,3.748059837479761,198,1.4850404040404075,1.4228699957862285,0.5151515151515151,3
1000,HIGH_VOL & BIG_GAP,20.0,30.0,480,3.557822758526288,198,1.4177373737373749,1.4037052430541073,0.5151515151515151,3
1000,gap_ratio_range>=0.35,20.0,30.0,480,3.546960392133574,228,1.3932587719298286,1.4022532350524064,0.5175438596491229,4
1000,BIG_GAP,20.0,30.0,480,3.546960392133574,228,1.3932587719298286,1.4022532350524064,0.5175438596491229,4
1000,gap_ratio_range>=0.35,30.0,25.0,480,3.4180499632312458,228,1.3526754385964985,1.379025944738238,0.5131578947368421,4
1000,BIG_GAP,30.0,25.0,480,3.4180499632312458,228,1.3526754385964985,1.379025944738238,0.5131578947368421,4
1000,BIG_GAP,25.0,30.0,480,3.379340627420337,228,1.3331184210526377,1.3848898771572835,0.5175438596491229,4
1000,gap_ratio_range>=0.35,25.0,30.0,480,3.379340627420337,228,1.3331184210526377,1.3848898771572835,0.5175438596491229,4
1000,HIGH_VOL & BIG_GAP,30.0,25.0,480,3.3723302442716356,198,1.357035353535358,1.3745366956555687,0.51010101010101,3
1000,ThuFri & HIGH_VOL,30.0,20.0,480,3.3334112214529537,342,1.3251081871345014,1.364645582809991,0.5175438596491229,4
1000,HIGH_VOL & BIG_GAP,25.0,30.0,480,3.2950514777611435,198,1.3232323232323266,1.3767946282316976,0.5151515151515151,3
1000,ThuFri & HIGH_VOL,30.0,25.0,480,3.2698079342911766,342,1.3027982456140332,1.3563187505248124,0.5175438596491229,4
1000,HIGH_VOL & BIG_GAP,30.0,30.0,1440,3.213921641044398,198,1.3177020202020235,1.2872558399677634,0.494949494949495,4
1000,BIG_GAP,20.0,25.0,480,3.2019126211689564,228,1.273675438596496,1.3568897775691275,0.5131578947368421,4
1000,gap_ratio_range>=0.35,20.0,25.0,480,3.2019126211689564,228,1.273675438596496,1.3568897775691275,0.5131578947368421,4
1000,HIGH_VOL & BIG_GAP,20.0,25.0,480,3.188559454231673,198,1.2897323232323252,1.3559613103410786,0.51010101010101,3
1000,BIG_GAP,30.0,20.0,480,3.1868047973890143,228,1.2697719298245707,1.3522372224763748,0.5087719298245614,4
1000,gap_ratio_range>=0.35,30.0,20.0,480,3.1868047973890143,228,1.2697719298245707,1.3522372224763748,0.5087719298245614,4
1000,gap_ratio_range_Q4,30.0,30.0,480,3.182865292311937,257,1.285692607003898,1.358935001873851,0.5136186770428015,3
1000,ThuFri & HIGH_VOL,30.0,30.0,480,3.163425105938057,342,1.265084795321635,1.3424715219857146,0.5175438596491229,4
1000,ThuFri & HIGH_VOL,30.0,15.0,480,3.104019499817624,342,1.2421432748538008,1.337910254482861,0.5087719298245614,4
1000,ThuFri & HIGH_VOL,25.0,20.0,480,3.098845483782298,342,1.238406432748537,1.3407868427722545,0.5175438596491229,4
1000,gap_ratio_range>=0.35,30.0,15.0,480,3.091419186887064,228,1.246921052631588,1.3589458054936923,0.5,3
1000,BIG_GAP,30.0,15.0,480,3.091419186887064,228,1.246921052631588,1.3589458054936923,0.5,3
1000,HIGH_VOL & BIG_GAP,30.0,20.0,480,3.084255852745905,198,1.2533030303030372,1.3412181904933471,0.5050505050505051,3
1000,BIG_GAP,25.0,25.0,480,3.039718428007098,228,1.213535087719305,1.3400381717384136,0.5131578947368421,4
1000,gap_ratio_range>=0.35,25.0,25.0,480,3.039718428007098,228,1.213535087719305,1.3400381717384136,0.5131578947368421,4
1000,ThuFri & HIGH_VOL,25.0,25.0,480,3.036673476347679,342,1.2160964912280687,1.3326055924091016,0.5175438596491229,4
1000,gap_ratio_range>=0.35,20.0,30.0,1440,3.031985620743753,228,1.2436885964912288,1.2770857823522113,0.5,4
1000,BIG_GAP,20.0,30.0,1440,3.031985620743753,228,1.2436885964912288,1.2770857823522113,0.5,4
1000,BIG_GAP,20.0,15.0,480,2.9962669913418067,228,1.2117807017543922,1.3488301036821577,0.5,3
1000,gap_ratio_range>=0.35,20.0,15.0,480,2.9962669913418067,228,1.2117807017543922,1.3488301036821577,0.5,3
1000,gap_ratio_range>=0.35,20.0,20.0,480,2.974882581872017,228,1.1907719298245678,1.3303224676121062,0.5087719298245614,4
1000,BIG_GAP,20.0,20.0,480,2.974882581872017,228,1.1907719298245678,1.3303224676121062,0.5087719298245614,4
1000,ThuFri & HIGH_VOL,20.0,20.0,480,2.9643450653161363,342,1.1879883040935664,1.326912694166066,0.5175438596491229,4
1000,HIGH_VOL & BIG_GAP,30.0,15.0,480,2.9619514658363943,198,1.2022272727272805,1.3389516521758962,0.494949494949495,3
1000,gap_ratio_range_Q4,30.0,25.0,480,2.941390753866051,257,1.1990583657587623,1.3279857207782069,0.5097276264591439,3
1000,HIGH_VOL & BIG_GAP,25.0,25.0,480,2.9347340491453417,198,1.1952272727272772,1.3298782689179423,0.51010101010101,3
1000,ThuFri & HIGH_VOL,25.0,30.0,480,2.932670815723004,342,1.1783830409356708,1.3190004614740407,0.5175438596491229,4
1000,BIG_GAP,30.0,30.0,1440,2.9215925469334683,228,1.220192982456141,1.2714378682579346,0.4956140350877193,3
1000,gap_ratio_range>=0.35,30.0,30.0,1440,2.9215925469334683,228,1.220192982456141,1.2714378682579346,0.4956140350877193,3
1000,gap_ratio_range_Q4,20.0,30.0,480,2.9197755526978244,257,1.1879105058365809,1.3316365492930984,0.5136186770428015,3
1000,HIGH_VOL & BIG_GAP,20.0,15.0,480,2.9170476548275084,198,1.1854292929292982,1.3342156899041144,0.494949494949495,3
1000,HIGH_VOL & BIG_GAP,20.0,20.0,480,2.904952989237683,198,1.1860000000000044,1.3228945946354747,0.5050505050505051,3
1000,ThuFri & HIGH_VOL,20.0,25.0,480,2.9029937562672097,342,1.1656783625730982,1.3188161014678768,0.5175438596491229,4
1000,Thu,30.0,15.0,480,2.8967574367345046,261,1.152873563218392,1.3391614855025094,0.5325670498084292,4
1000,HIGH_VOL & BIG_GAP,20.0,30.0,1440,2.8750372977195933,198,1.1845707070707086,1.2582335370546327,0.494949494949495,4
1000,BIG_GAP,25.0,20.0,480,2.8158737864624994,228,1.1306315789473769,1.3136394163852114,0.5087719298245614,4
1000,gap_ratio_range>=0.35,25.0,20.0,480,2.8158737864624994,228,1.1306315789473769,1.3136394163852114,0.5087719298245614,4
1000,ThuFri & HIGH_VOL,20.0,30.0,480,2.8003558881253343,342,1.1279649122807,1.305351753245159,0.5175438596491229,4
1000,gap_ratio_range_Q4,25.0,30.0,480,2.8001959092116686,257,1.1427976653696563,1.319042110008529,0.5136186770428015,3
1000,HIGH_VOL & BIG_GAP,25.0,30.0,1440,2.790108464251155,198,1.1507222222222238,1.2508546495689046,0.494949494949495,4
1000,gap_ratio_range>=0.35,25.0,15.0,480,2.776808468235517,228,1.1297105263157978,1.3252049149281118,0.5,3
1000,BIG_GAP,25.0,15.0,480,2.776808468235517,228,1.1297105263157978,1.3252049149281118,0.5,3
1000,ThuFri & HIGH_VOL,25.0,15.0,480,2.7479014205534575,342,1.107204678362573,1.3012018196323984,0.5087719298245614,4
1000,gap_ratio_range_Q4,30.0,15.0,480,2.6982293741387386,257,1.1036653696498144,1.3088786186589099,0.4980544747081712,3
1000,gap_ratio_range>=0.35,20.0,20.0,1440,2.6922485271266954,228,1.1090043859649155,1.247284644377899,0.49122807017543857,4
1000,BIG_GAP,20.0,20.0,1440,2.6922485271266954,228,1.1090043859649155,1.247284644377899,0.49122807017543857,4
1000,gap_ratio_range_Q4,20.0,25.0,480,2.6842996569101767,257,1.1012762645914451,1.3012387884799816,0.5097276264591439,3
1000,gap_ratio_range>=0.35,25.0,30.0,1440,2.6757448318741197,228,1.1026403508771931,1.2452877131737186,0.4956140350877193,4
1000,BIG_GAP,25.0,30.0,1440,2.6757448318741197,228,1.1026403508771931,1.2452877131737186,0.4956140350877193,4
1000,HIGH_VOL & BIG_GAP,25.0,20.0,480,2.657344114620181,198,1.0914949494949564,1.2971651089914338,0.5050505050505051,3
1000,ThuFri & HIGH_VOL,20.0,15.0,480,2.655088556584451,342,1.0714064327485382,1.291463334120812,0.5087719298245614,4
1000,Thu,25.0,15.0,480,2.6420985361739735,261,1.0567777777777794,1.3108912654364129,0.5325670498084292,4
1000,BIG_GAP & BIG_PREV_MOVE,20.0,30.0,1440,2.6354728409208663,138,1.0946449275362264,1.2248975714915245,0.4782608695652174,4
1000,gap_ratio_range_Q4,30.0,20.0,480,2.633365682712845,257,1.0841050583657676,1.2907057425378958,0.5058365758754864,3
1000,BIG_GAP & BIG_PREV_MOVE,30.0,30.0,1440,2.623175789863776,138,1.0896231884057916,1.2238658424744808,0.4782608695652174,4
1000,Thu,20.0,15.0,480,2.618185482541539,261,1.0476475095785465,1.3082052507473054,0.5325670498084292,4
1000,HIGH_VOL & BIG_GAP,25.0,15.0,480,2.601526279136578,198,1.065671717171725,1.3004516678390305,0.494949494949495,3
1000,gap_ratio_range>=0.35,20.0,25.0,1440,2.5729061675885387,228,1.0631052631578963,1.2320519423824032,0.4956140350877193,4
1000,BIG_GAP,20.0,25.0,1440,2.5729061675885387,228,1.0631052631578963,1.2320519423824032,0.4956140350877193,4
1000,gap_ratio_range_Q4,25.0,25.0,480,2.567451193134201,257,1.0561634241245206,1.2888987991021224,0.5097276264591439,3
1000,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,1440,2.558965131158979,138,1.0611086956521723,1.223113561150421,0.47101449275362317,4
1000,gap_ratio_range_Q4,20.0,15.0,480,2.54508780773757,257,1.044793774319073,1.292402449754765,0.4980544747081712,3
1000,ThuFri & HIGH_VOL,30.0,8.0,480,2.5414875336111433,342,1.0200263157894756,1.2955167894848756,0.4619883040935672,4
1000,gap_ratio_range>=0.35,30.0,12.0,480,2.5349745976502542,228,1.035223684210536,1.3038253799892934,0.4868421052631579,3
1000,BIG_GAP,30.0,12.0,480,2.5349745976502542,228,1.035223684210536,1.3038253799892934,0.4868421052631579,3
1000,BIG_GAP,20.0,12.0,480,2.528468735682448,228,1.0327280701754464,1.303092948057835,0.4868421052631579,3
1000,gap_ratio_range>=0.35,20.0,12.0,480,2.528468735682448,228,1.0327280701754464,1.303092948057835,0.4868421052631579,3
1000,ThuFri & HIGH_VOL,30.0,12.0,480,2.5095514442132227,342,1.0173830409356757,1.2700903703772712,0.49707602339181284,4
1000,BIG_GAP & BIG_PREV_MOVE,30.0,30.0,480,2.476147195580561,138,1.0066231884058003,1.261171033805926,0.4855072463768116,4
1000,gap_ratio_range>=0.35,30.0,20.0,1440,2.474869672022021,228,1.041649122807021,1.2319124752459787,0.4868421052631579,3
1000,BIG_GAP,30.0,20.0,1440,2.474869672022021,228,1.041649122807021,1.2319124752459787,0.4868421052631579,3
1000,BIG_GAP,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4
1000,gap_ratio_range>=0.35,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4
1000,BIG_GAP & BIG_PREV_MOVE,30.0,20.0,480,2.4545180546375422,138,0.9976449275362381,1.2598401419283012,0.4782608695652174,4
1000,HIGH_VOL & BIG_GAP,30.0,20.0,1440,2.440452524813611,198,1.0110959595959659,1.2158653721738695,0.48484848484848486,4
1000,gap_ratio_range>=0.35,20.0,8.0,480,2.4366351956613768,228,0.9711710526315845,1.3030291003842844,0.4517543859649123,4
1000,BIG_GAP,20.0,8.0,480,2.4366351956613768,228,0.9711710526315845,1.3030291003842844,0.4517543859649123,4
1000,HIGH_VOL & BIG_GAP,30.0,25.0,1440,2.431962239184842,198,1.0087474747474792,1.212607510857533,0.4898989898989899,4
1000,HIGH_VOL & BIG_GAP,20.0,12.0,480,2.3964339862718202,198,0.9836363636363716,1.2838053464870443,0.4797979797979798,3
1000,gap_ratio_range_Q4,20.0,20.0,480,2.383513743064464,257,0.9863229571984503,1.2644852041247543,0.5058365758754864,3
1000,gap_ratio_range_Q4,25.0,15.0,480,2.3793586565630025,257,0.9802256809338605,1.2743320236612183,0.4980544747081712,3
1000,BIG_GAP & BIG_PREV_MOVE,30.0,20.0,1440,2.3706804110179833,138,0.9836231884057955,1.2068211044679693,0.47101449275362317,4
1000,gap_ratio_range>=0.35,15.0,30.0,480,2.3632804214251397,228,0.9505657894736874,1.2757819031367752,0.5263157894736842,4
1000,BIG_GAP,15.0,30.0,480,2.3632804214251397,228,0.9505657894736874,1.2757819031367752,0.5263157894736842,4
1000,BIG_GAP,30.0,25.0,1440,2.357603736019505,228,0.9957500000000018,1.21702609693146,0.49122807017543857,3
1000,gap_ratio_range>=0.35,30.0,25.0,1440,2.357603736019505,228,0.9957500000000018,1.21702609693146,0.49122807017543857,3
1000,BIG_GAP & BIG_PREV_MOVE,25.0,30.0,1440,2.3455692535237525,138,0.9751086956521694,1.2003385500410892,0.4782608695652174,4
1000,HIGH_VOL & BIG_GAP,30.0,12.0,480,2.343170582016003,198,0.9628434343434437,1.2778060313736377,0.4797979797979798,3
1000,ThuFri & HIGH_VOL,20.0,8.0,480,2.328382979373375,342,0.9370087719298269,1.2714653727198726,0.4619883040935672,4
1000,Thu,30.0,20.0,480,2.3204707583584963,261,0.9384367816091963,1.2595776294300745,0.5363984674329502,4
1000,BIG_GAP & BIG_PREV_MOVE,20.0,30.0,480,2.3157439469022942,138,0.9426086956521751,1.2445623052930215,0.4855072463768116,4
1000,ThuFri & HIGH_VOL,25.0,8.0,480,2.3079022160155667,342,0.9289473684210547,1.2691298642660436,0.4619883040935672,4
1000,gap_ratio_range>=0.35,30.0,8.0,480,2.3045829650371963,228,0.9201885964912355,1.2871213282387612,0.4517543859649123,4
1000,BIG_GAP,30.0,8.0,480,2.3045829650371963,228,0.9201885964912355,1.2871213282387612,0.4517543859649123,4
1000,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,480,2.294289300234246,138,0.9336304347826129,1.2431673413922948,0.4782608695652174,4
1000,BIG_GAP,12.0,30.0,480,2.292215096409775,228,0.9347631578947417,1.2917196493221201,0.543859649122807,3
1000,gap_ratio_range>=0.35,12.0,30.0,480,2.292215096409775,228,0.9347631578947417,1.2917196493221201,0.543859649122807,3
1000,BIG_GAP,25.0,20.0,1440,2.291307569843199,228,0.9460263157894765,1.2106230396962732,0.4868421052631579,4
1000,gap_ratio_range>=0.35,25.0,20.0,1440,2.291307569843199,228,0.9460263157894765,1.2106230396962732,0.4868421052631579,4
1000,gap_ratio_range>=0.35,25.0,12.0,480,2.289180205269983,228,0.9399429824561494,1.275861669481405,0.4868421052631579,3
1000,BIG_GAP,25.0,12.0,480,2.289180205269983,228,0.9399429824561494,1.275861669481405,0.4868421052631579,3
1000,gap_ratio_range_Q4,25.0,20.0,480,2.269970440468941,257,0.9412101167315258,1.2523880723156837,0.5058365758754864,3
1000,HIGH_VOL & BIG_GAP,20.0,20.0,1440,2.2409852629796396,198,0.9284696969697015,1.1982249605355104,0.48484848484848486,4
1000,Thu,30.0,25.0,480,2.23451066404842,261,0.9050153256704991,1.2480400125170379,0.5363984674329502,4
1000,HIGH_VOL & BIG_GAP,20.0,25.0,1440,2.2330146916667375,198,0.9261212121212148,1.1951928808651968,0.4898989898989899,4
1000,BIG_GAP,10.0,30.0,480,2.2281973216714546,228,0.9054517543859688,1.2952049202011677,0.5526315789473685,3
1000,gap_ratio_range>=0.35,10.0,30.0,480,2.2281973216714546,228,0.9054517543859688,1.2952049202011677,0.5526315789473685,3
