year,signals,executed,final,return_pct,max_dd_pct,stalled,wins,losses,wr,net_points
2018,42,42,316.08799999999997,5.362666666666649,11.941301935679592,False,18,24,0.42857142857142855,16.087999999999965
2019,38,38,307.55800000000045,2.5193333333334733,12.751903336313003,False,20,18,0.5263157894736842,7.5580000000004475
2020,35,35,443.4960000000003,47.83200000000009,9.543059945655207,False,19,16,0.5428571428571428,123.49600000000032
2021,45,45,270.394,-9.86866666666667,20.72375692280676,False,22,23,0.4888888888888889,-29.605999999999995
2022,32,32,396.1620000000005,32.05400000000016,14.54524519273814,False,18,14,0.5625,96.16200000000049
2023,35,35,305.72400000000107,1.9080000000003539,24.63788362745024,False,17,18,0.4857142857142857,5.72400000000107
2024,37,37,468.2540000000008,56.08466666666694,17.84931069449848,False,22,15,0.5945945945945946,135.03400000000056
2025,45,45,450.7300000000014,50.243333333333794,39.620007796497895,False,26,19,0.5777777777777777,142.5030000000006
2026,39,39,401.52000000000044,33.84000000000014,22.22222222222222,False,23,16,0.5897435897435898,121.52000000000044
