variant,date,side,lot,pts,state,pnl,before,after
1000,2018-01-12,LONG,0.01,9.713999999999942,TIME,9.713999999999942,300.0,309.71399999999994
1000,2018-01-17,SHORT,0.01,5.420000000000073,TIME,5.420000000000073,309.71399999999994,315.134
1000,2018-01-19,LONG,0.01,-2.7009999999997945,TIME,-2.7009999999997945,315.134,312.4330000000002
1000,2018-01-23,LONG,0.01,6.456000000000131,TIME,6.456000000000131,312.4330000000002,318.88900000000035
1000,2018-02-13,LONG,0.01,4.09699999999998,TIME,4.09699999999998,318.88900000000035,322.98600000000033
1000,2018-02-16,LONG,0.01,-11.763000000000147,TIME,-11.763000000000147,322.98600000000033,311.2230000000002
1000,2018-02-20,SHORT,0.01,12.439000000000078,TIME,12.439000000000078,311.2230000000002,323.66200000000026
1000,2018-02-23,SHORT,0.01,-1.7010000000000218,TIME,-1.7010000000000218,323.66200000000026,321.96100000000024
1000,2018-03-01,SHORT,0.01,-3.8609999999998763,TIME,-3.8609999999998763,321.96100000000024,318.10000000000036
1000,2018-03-09,SHORT,0.01,-5.189999999999827,TIME,-5.189999999999827,318.10000000000036,312.91000000000054
1000,2018-03-13,SHORT,0.01,-7.6340000000000146,TIME,-7.6340000000000146,312.91000000000054,305.2760000000005
1000,2018-03-21,LONG,0.01,14.518000000000029,TIME,14.518000000000029,305.2760000000005,319.79400000000055
1000,2018-03-23,LONG,0.01,7.019999999999982,TIME,7.019999999999982,319.79400000000055,326.81400000000053
1000,2018-04-05,SHORT,0.01,0.8800000000001091,TIME,0.8800000000001091,326.81400000000053,327.69400000000064
1000,2018-04-25,SHORT,0.01,-0.6699999999998454,TIME,-0.6699999999998454,327.69400000000064,327.0240000000008
1000,2018-05-02,LONG,0.01,-1.0740000000000691,TIME,-1.0740000000000691,327.0240000000008,325.9500000000007
1000,2018-05-09,SHORT,0.01,-4.913999999999987,TIME,-4.913999999999987,325.9500000000007,321.03600000000074
1000,2018-05-22,SHORT,0.01,-2.349999999999909,TIME,-2.349999999999909,321.03600000000074,318.68600000000083
1000,2018-06-21,SHORT,0.01,-8.28300000000013,TIME,-8.28300000000013,318.68600000000083,310.4030000000007
1000,2018-07-04,LONG,0.01,-5.283000000000129,TIME,-5.283000000000129,310.4030000000007,305.1200000000006
1000,2018-07-19,SHORT,0.01,-1.0039999999999054,TIME,-1.0039999999999054,305.1200000000006,304.11600000000067
1000,2018-07-24,SHORT,0.01,-7.942000000000007,TIME,-7.942000000000007,304.11600000000067,296.17400000000066
1000,2018-08-10,SHORT,0.01,-3.852999999999838,TIME,-3.852999999999838,296.17400000000066,292.3210000000008
1000,2018-08-15,SHORT,0.01,20.0,TP,20.0,292.3210000000008,312.3210000000008
1000,2018-08-21,LONG,0.01,-1.3819999999998345,TIME,-1.3819999999998345,312.3210000000008,310.939000000001
1000,2018-08-23,SHORT,0.01,1.0910000000001219,TIME,1.0910000000001219,310.939000000001,312.0300000000011
1000,2018-08-30,SHORT,0.01,-2.5930000000000746,TIME,-2.5930000000000746,312.0300000000011,309.43700000000104
1000,2018-08-31,LONG,0.01,-4.404999999999973,TIME,-4.404999999999973,309.43700000000104,305.03200000000106
1000,2018-09-12,SHORT,0.01,-12.273999999999887,TIME,-12.273999999999887,305.03200000000106,292.7580000000012
1000,2018-09-19,LONG,0.01,0.8669999999999618,TIME,0.8669999999999618,292.7580000000012,293.62500000000114
1000,2018-10-02,LONG,0.01,10.106999999999971,TIME,10.106999999999971,293.62500000000114,303.7320000000011
1000,2018-10-23,LONG,0.01,1.2690000000000055,TIME,1.2690000000000055,303.7320000000011,305.0010000000011
1000,2018-10-30,SHORT,0.01,8.155999999999949,TIME,8.155999999999949,305.0010000000011,313.15700000000106
