variant,date,side,lot,pts,state,pnl,before,after
0959,2018-01-12,LONG,0.01,9.639999999999873,TIME,9.639999999999873,300.0,309.6399999999999
0959,2018-01-17,SHORT,0.01,6.25,TIME,6.25,309.6399999999999,315.8899999999999
0959,2018-01-19,LONG,0.01,-3.507999999999811,TIME,-3.507999999999811,315.8899999999999,312.38200000000006
0959,2018-01-23,LONG,0.01,6.291999999999916,TIME,6.291999999999916,312.38200000000006,318.674
0959,2018-02-13,LONG,0.01,4.4090000000001055,TIME,4.4090000000001055,318.674,323.0830000000001
0959,2018-02-16,LONG,0.01,-11.094000000000051,TIME,-11.094000000000051,323.0830000000001,311.98900000000003
0959,2018-02-20,SHORT,0.01,12.826999999999998,TIME,12.826999999999998,311.98900000000003,324.81600000000003
0959,2018-02-23,SHORT,0.01,-1.8700000000001182,TIME,-1.8700000000001182,324.81600000000003,322.9459999999999
0959,2018-03-01,SHORT,0.01,-4.163000000000011,TIME,-4.163000000000011,322.9459999999999,318.7829999999999
0959,2018-03-13,SHORT,0.01,-7.22199999999998,TIME,-7.22199999999998,318.7829999999999,311.5609999999999
0959,2018-03-21,LONG,0.01,15.205999999999904,TIME,15.205999999999904,311.5609999999999,326.7669999999998
0959,2018-03-23,LONG,0.01,7.329999999999927,TIME,7.329999999999927,326.7669999999998,334.09699999999975
0959,2018-04-05,SHORT,0.01,1.390999999999849,TIME,1.390999999999849,334.09699999999975,335.4879999999996
0959,2018-04-25,SHORT,0.01,-0.44299999999998363,TIME,-0.44299999999998363,335.4879999999996,335.0449999999996
0959,2018-05-02,LONG,0.01,-1.002999999999929,TIME,-1.002999999999929,335.0449999999996,334.0419999999997
0959,2018-05-03,LONG,0.01,2.1189999999999145,TIME,2.1189999999999145,334.0419999999997,336.1609999999996
0959,2018-05-09,SHORT,0.01,-4.8940000000000055,TIME,-4.8940000000000055,336.1609999999996,331.2669999999996
0959,2018-05-22,SHORT,0.01,-1.7229999999999563,TIME,-1.7229999999999563,331.2669999999996,329.54399999999964
0959,2018-06-21,SHORT,0.01,-7.6340000000000146,TIME,-7.6340000000000146,329.54399999999964,321.9099999999996
0959,2018-07-04,LONG,0.01,-5.332999999999856,TIME,-5.332999999999856,321.9099999999996,316.57699999999977
0959,2018-07-19,SHORT,0.01,0.32999999999992724,TIME,0.32999999999992724,316.57699999999977,316.9069999999997
0959,2018-07-24,SHORT,0.01,-8.31899999999996,TIME,-8.31899999999996,316.9069999999997,308.58799999999974
0959,2018-08-10,SHORT,0.01,-2.8339999999998327,TIME,-2.8339999999998327,308.58799999999974,305.7539999999999
0959,2018-08-15,SHORT,0.01,20.0,TP,20.0,305.7539999999999,325.7539999999999
0959,2018-08-21,LONG,0.01,-1.4110000000000582,TIME,-1.4110000000000582,325.7539999999999,324.34299999999985
0959,2018-08-23,SHORT,0.01,0.637000000000171,TIME,0.637000000000171,324.34299999999985,324.98
0959,2018-08-30,SHORT,0.01,-1.2830000000001291,TIME,-1.2830000000001291,324.98,323.6969999999999
0959,2018-08-31,LONG,0.01,-3.4610000000000127,TIME,-3.4610000000000127,323.6969999999999,320.2359999999999
0959,2018-09-12,SHORT,0.01,-11.314000000000078,TIME,-11.314000000000078,320.2359999999999,308.9219999999998
0959,2018-09-14,LONG,0.01,-12.90300000000002,TIME,-12.90300000000002,308.9219999999998,296.0189999999998
0959,2018-09-19,LONG,0.01,0.41600000000016735,TIME,0.41600000000016735,296.0189999999998,296.43499999999995
0959,2018-10-02,LONG,0.01,10.387000000000171,TIME,10.387000000000171,296.43499999999995,306.8220000000001
0959,2018-10-23,LONG,0.01,1.5799999999999272,TIME,1.5799999999999272,306.8220000000001,308.40200000000004
0959,2018-10-30,SHORT,0.01,8.16599999999994,TIME,8.16599999999994,308.40200000000004,316.568
0959,2018-10-31,SHORT,0.01,-9.007000000000062,TIME,-9.007000000000062,316.568,307.5609999999999
0959,2018-11-01,LONG,0.01,9.38799999999992,TIME,9.38799999999992,307.5609999999999,316.94899999999984
0959,2018-11-09,SHORT,0.01,9.3599999999999,TIME,9.3599999999999,316.94899999999984,326.30899999999974
0959,2018-12-04,LONG,0.01,-2.849999999999909,TIME,-2.849999999999909,326.30899999999974,323.45899999999983
0959,2018-12-05,SHORT,0.01,-1.1539999999999964,TIME,-1.1539999999999964,323.45899999999983,322.30499999999984
0959,2018-12-06,SHORT,0.01,-5.370000000000118,TIME,-5.370000000000118,322.30499999999984,316.9349999999997
0959,2018-12-14,SHORT,0.01,-0.32999999999992724,TIME,-0.32999999999992724,316.9349999999997,316.6049999999998
0959,2018-12-28,LONG,0.01,-0.5169999999998254,TIME,-0.5169999999998254,316.6049999999998,316.08799999999997
0959,2019-01-03,LONG,0.01,4.625999999999976,TIME,4.625999999999976,300.0,304.626
0959,2019-01-08,SHORT,0.01,0.01999999999998181,TIME,0.01999999999998181,304.626,304.64599999999996
0959,2019-01-11,LONG,0.01,-6.660000000000082,TIME,-6.660000000000082,304.64599999999996,297.9859999999999
0959,2019-01-25,LONG,0.01,18.139999999999873,TIME,18.139999999999873,297.9859999999999,316.12599999999975
0959,2019-01-29,LONG,0.01,6.740000000000009,TIME,6.740000000000009,316.12599999999975,322.86599999999976
0959,2019-02-01,SHORT,0.01,0.0729999999998654,TIME,0.0729999999998654,322.86599999999976,322.9389999999996
0959,2019-03-08,LONG,0.01,4.013000000000147,TIME,4.013000000000147,322.9389999999996,326.95199999999977
0959,2019-03-14,SHORT,0.01,-1.5800000000001546,TIME,-1.5800000000001546,326.95199999999977,325.3719999999996
0959,2019-03-15,LONG,0.01,-1.9300000000000637,TIME,-1.9300000000000637,325.3719999999996,323.44199999999955
0959,2019-03-21,LONG,0.01,-6.70699999999988,TIME,-6.70699999999988,323.44199999999955,316.7349999999997
0959,2019-03-26,SHORT,0.01,1.5599999999999454,TIME,1.5599999999999454,316.7349999999997,318.2949999999996
0959,2019-04-23,SHORT,0.01,1.9960000000000946,TIME,1.9960000000000946,318.2949999999996,320.2909999999997
0959,2019-04-26,LONG,0.01,3.5799999999999272,TIME,3.5799999999999272,320.2909999999997,323.87099999999964
0959,2019-05-01,SHORT,0.01,5.958000000000084,TIME,5.958000000000084,323.87099999999964,329.8289999999997
0959,2019-05-08,LONG,0.01,-4.970000000000027,TIME,-4.970000000000027,329.8289999999997,324.8589999999997
0959,2019-05-28,SHORT,0.01,-1.1769999999999072,TIME,-1.1769999999999072,324.8589999999997,323.6819999999998
