key,family,variant,exit,tp,sl,rr,horizon_min,train_score,train_n,train_R,train_evR,train_wr,train_pf,train_ddR,train_streak,train_pos_years,oos_n,oos_R,oos_evR,oos_wr,oos_pf,oos_ddR,oos_streak,oos_pos_years,all_n,all_R,all_evR,all_pf,n_2018,R_2018,wr_2018,n_2019,R_2019,wr_2019,n_2020,R_2020,wr_2020,n_2021,R_2021,wr_2021,n_2022,R_2022,wr_2022,n_2023,R_2023,wr_2023,n_2024,R_2024,wr_2024,n_2025,R_2025,wr_2025,n_2026,R_2026,wr_2026,balance
asia_compression_break|r070|TP15_SL15|H720,asia_compression_break,r070,TP15_SL15,15.0,15.0,1.0,720,0.5879657385614335,220,6.5071333333333,0.0295778787878786,0.5136363636363637,1.118569493625524,7.630600000000005,5,3,176,24.25806666666663,0.137829924242424,0.5681818181818182,1.4142236075046577,5.727866666666706,5,4,396,30.765199999999925,0.0776898989898988,1.2711950664239209,34,1.811333333333338,0.5882352941176471,58,-4.266333333333311,0.4310344827586206,45,-0.4334000000000139,0.4888888888888889,40,2.3554666666666133,0.475,43,7.040066666666674,0.627906976744186,46,2.6331333333333538,0.5217391304347826,45,7.300333333333295,0.5777777777777777,50,3.324599999999978,0.54,35,11.0,0.6571428571428571,0.1310314416330248
asia_break_10_16|thu_fri|TP25_SL20|H1440,asia_break_10_16,thu_fri,TP25_SL20,25.0,20.0,1.25,1440,0.534847052379282,482,8.44645000000005,0.017523755186722,0.475103734439834,1.0759052358432286,7.003950000000043,8,3,324,44.28579999999995,0.1366845679012344,0.5308641975308642,1.4101471261046492,7.598849999999992,9,4,806,52.73225000000002,0.0654246277915633,1.2405101626373165,97,-1.1205499999999469,0.422680412371134,97,-2.846949999999992,0.4432989690721649,91,5.0057000000000365,0.5164835164835165,97,5.562149999999972,0.5051546391752577,100,1.8460999999999783,0.49,98,10.428349999999968,0.5,99,22.065850000000047,0.5959595959595959,81,1.5415999999999477,0.4814814814814814,46,10.25,0.5434782608695652,0.11760277566104785
asia_break_09_14|thu_fri|TP20_SL15|H1440,asia_break_09_14,thu_fri,TP20_SL15,20.0,15.0,1.3333333333333333,1440,0.1116637482203819,442,1.4998666666667706,0.003393363499246,0.4547511312217194,1.0110818305856168,13.459599999999892,6,3,290,42.10553333333331,0.1451914942528735,0.493103448275862,1.363342913817067,10.773000000000016,9,4,732,43.60540000000008,0.059570218579235,1.1735687525773364,96,-4.19379999999995,0.3958333333333333,87,-6.618266666666599,0.425287356321839,80,2.158066666666688,0.4875,91,9.939333333333355,0.5164835164835165,88,0.2145333333332768,0.4545454545454545,90,3.5708000000000077,0.4222222222222222,88,24.468999999999987,0.5795454545454546,78,10.732399999999988,0.4871794871794871,34,3.333333333333332,0.4705882352941176,0.09859819516871389
prevclose_cont_840|all|TP30_SL25|H1440,prevclose_cont_840,all,TP30_SL25,30.0,25.0,1.2,1440,0.2670549529318621,1304,10.36807999999995,0.0079509815950919,0.4723926380368098,1.0426256612723364,17.905840000000087,8,3,949,43.26392000000008,0.0455889567966281,0.4994731296101159,1.1367938428491824,25.699719999999903,8,4,2253,53.632000000000026,0.0238047048379938,1.0958558844524802,260,-4.872960000000037,0.4076923076923077,261,-7.017040000000033,0.4521072796934866,262,7.334080000000112,0.4961832061068702,261,7.304519999999925,0.4980842911877394,260,7.619479999999985,0.5076923076923077,260,2.842919999999932,0.4923076923076923,262,12.218360000000128,0.5267175572519084,261,6.977440000000026,0.475095785440613,166,21.225200000000008,0.5060240963855421,-0.016567216159883345
asia_mid_cont_840|all|TP40_SL30|H480,asia_mid_cont_840,all,TP40_SL30,40.0,30.0,1.3333333333333333,480,0.2295677080777019,1305,7.993133333333205,0.0061250063856959,0.4704980842911877,1.0479308850525446,10.752200000000022,14,2,949,14.331366666666664,0.0151015454864769,0.4720758693361433,1.0569580794597406,19.10480000000004,8,3,2254,22.32449999999987,0.0099043921916592,1.0533598623503817,261,-1.5059000000000042,0.4521072796934866,261,-3.2062000000000586,0.425287356321839,262,4.390599999999977,0.4770992366412214,261,-1.86003333333336,0.475095785440613,260,10.174666666666653,0.5230769230769231,260,0.2541666666666211,0.4269230769230769,262,2.816000000000062,0.4770992366412214,261,-0.9659666666668008,0.4942528735632184,166,12.227166666666784,0.5,-0.026642957408071797
asia_mid_cont_600|all|TP30_SL25|H480,asia_mid_cont_600,all,TP30_SL25,30.0,25.0,1.2,480,-0.1680918190459655,1305,0.1213200000000043,9.296551724138262e-05,0.4628352490421455,1.0006001087437408,22.104679999999934,9,2,949,8.21207999999979,0.0086534035827184,0.4868282402528978,1.030051404527193,23.275880000000143,11,3,2254,8.333399999999786,0.0036971606033716,1.0175280911354727,261,-3.169199999999991,0.4559386973180077,261,-11.105519999999968,0.4061302681992337,262,4.190160000000104,0.4961832061068702,261,13.24451999999992,0.475095785440613,260,-3.038640000000061,0.4807692307692308,260,-7.552840000000089,0.4384615384615384,262,6.506639999999935,0.5305343511450382,261,3.34067999999992,0.4980842911877394,166,5.917600000000014,0.4759036144578313,-0.04974361285570834
