tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
600,15.0,15.0,1.0,0.5,True,False,812,397,415,0.48891625615763545,-80.84800000000496,-0.0995665024630603,0.9841056457120738,487.24400000000196,9,208,221,226,157,123.7969999999982,92.18199999999797,-142.72700000000077,-154.10000000000036
600,15.0,15.0,1.0,0.52,True,False,712,350,362,0.49157303370786515,-83.15100000000439,-0.11678511235955673,0.9816957117629879,488.3610000000026,9,165,193,208,146,109.9659999999983,83.95699999999829,-137.97400000000061,-139.10000000000036
600,15.0,15.0,1.0,0.54,True,False,621,310,311,0.499194847020934,137.0669999999966,0.22071980676327954,1.035242726834219,345.0,11,136,162,190,133,118.9189999999985,117.52499999999895,-35.2770000000005,-64.10000000000036
600,15.0,15.0,1.0,0.56,True,False,516,266,250,0.5155038759689923,259.7079999999985,0.503310077519377,1.0815373636520327,315.0,8,112,132,159,113,167.570999999999,249.23400000000015,-62.9970000000003,-94.10000000000036
600,15.0,15.0,1.0,0.58,False,False,415,215,200,0.5180722891566265,176.02199999999834,0.42414939759035747,1.0672536617143331,296.0900000000006,13,79,107,128,101,199.64299999999912,153.15899999999988,-131.78000000000065,-45.0
600,15.0,15.0,1.0,0.6,False,False,336,173,163,0.5148809523809523,59.07499999999868,0.17581845238094845,1.0271207309811707,349.5730000000008,13,60,82,104,90,176.29199999999946,131.53300000000013,-158.7500000000009,-90.0
600,15.0,15.0,1.0,0.62,False,False,263,134,129,0.5095057034220533,-7.878000000001293,-0.029954372623579063,0.9954861059384228,246.79500000000053,10,46,59,83,75,108.81099999999924,49.557000000000016,-91.24600000000055,-75.0
600,15.0,15.0,1.0,0.64,False,False,207,106,101,0.5120772946859904,25.422999999998638,0.12281642512076636,1.0182952586904808,259.28200000000106,8,34,45,69,59,115.69899999999961,69.10399999999959,-174.38000000000056,15.0
600,15.0,15.0,1.0,0.66,False,False,149,78,71,0.5234899328859061,30.450999999998885,0.20436912751677103,1.0306862407213688,172.38400000000047,6,22,27,49,51,24.58999999999969,82.36099999999965,-121.50000000000045,45.0
600,15.0,15.0,1.0,0.68,False,False,108,57,51,0.5277777777777778,10.556999999999107,0.09774999999999173,1.0145101434933188,135.0,7,16,16,34,42,25.608999999999924,12.927999999999656,-57.98000000000047,30.0
600,15.0,15.0,1.0,0.7,False,False,86,47,39,0.5465116279069767,66.11799999999926,0.7688139534883635,1.1161676857122764,105.0,5,8,11,28,39,16.465999999999894,22.851999999999634,-48.20000000000027,75.0
600,20.0,20.0,1.0,0.5,True,False,756,373,383,0.4933862433862434,-13.324000000003025,-0.017624338624342626,0.9975270756816172,377.1899999999996,8,210,213,203,130,73.2269999999985,-149.1320000000003,299.77099999999837,-237.1899999999996
600,20.0,20.0,1.0,0.52,True,False,618,308,310,0.49838187702265374,23.797999999996364,0.03850809061488085,1.0054349886472265,355.3970000000013,8,161,169,178,110,62.58899999999812,-111.01900000000046,229.4179999999983,-157.1899999999996
600,20.0,20.0,1.0,0.54,True,False,501,250,251,0.499001996007984,-64.89100000000258,-0.12952295409182152,0.9822304604482537,352.46000000000004,8,120,136,148,97,36.11799999999835,-39.182000000000244,115.36299999999892,-177.1899999999996
600,20.0,20.0,1.0,0.56,False,False,375,191,184,0.5093333333333333,37.609999999997854,0.10029333333332761,1.0138987024428596,288.3599999999997,7,86,95,111,83,26.87699999999927,12.00299999999902,151.8199999999988,-153.08999999999924
600,20.0,20.0,1.0,0.58,False,False,306,154,152,0.5032679738562091,-51.12400000000093,-0.16707189542483966,0.9773782005217824,253.08999999999924,7,67,76,94,69,50.18499999999972,9.170999999999367,42.60999999999922,-153.08999999999924
