key,family,variant,exit,tp,sl,rr,horizon_min,train_score,train_n,train_R,train_evR,train_wr,train_pf,train_ddR,train_streak,train_pos_years,oos_n,oos_R,oos_evR,oos_wr,oos_pf,oos_ddR,oos_streak,oos_pos_years,all_n,all_R,all_evR,all_pf,n_2018,R_2018,wr_2018,n_2019,R_2019,wr_2019,n_2020,R_2020,wr_2020,n_2021,R_2021,wr_2021,n_2022,R_2022,wr_2022,n_2023,R_2023,wr_2023,n_2024,R_2024,wr_2024,n_2025,R_2025,wr_2025,n_2026,R_2026,wr_2026
asia_break_10_16|thu_fri|TP20_SL20|H480,asia_break_10_16,thu_fri,TP20_SL20,20.0,20.0,1.0,480,1.035264740957138,482,16.594350000000112,0.034428112033195256,0.5124481327800829,1.1852340520294233,5.175600000000043,6,4,324,28.258799999999997,0.08721851851851851,0.5432098765432098,1.2972854977218715,6.653499999999987,7,4,806,44.85315000000011,0.05564906947890833,1.2429196073806634,97,0.9954500000000048,0.4845360824742268,97,-3.0886000000000196,0.422680412371134,91,4.649300000000039,0.5384615384615384,97,8.26295000000001,0.5360824742268041,100,5.775250000000074,0.58,98,5.14575000000001,0.4897959183673469,99,10.776850000000069,0.6060606060606061,81,6.336199999999918,0.5185185185185185,46,6.0,0.5652173913043478
asia_break_10_16|thu_fri|TP25_SL20|H480,asia_break_10_16,thu_fri,TP25_SL20,25.0,20.0,1.25,480,0.9728683992049805,482,15.2611500000001,0.03166213692946079,0.508298755186722,1.168169073216907,5.059449999999972,6,4,324,34.639600000000044,0.10691234567901248,0.5308641975308642,1.3565441375139922,7.6710000000000065,7,4,806,49.900750000000144,0.06191160049627809,1.2655671076398103,97,1.015100000000006,0.4845360824742268,97,-2.8166000000000166,0.422680412371134,91,6.402500000000031,0.5384615384615384,97,6.511050000000011,0.5257731958762887,100,4.149100000000067,0.57,98,7.663000000000024,0.4897959183673469,99,11.961250000000122,0.6060606060606061,81,2.68784999999989,0.4691358024691358,46,12.32750000000001,0.5652173913043478
asia_break_10_16|thu_fri|TP15_SL20|H480,asia_break_10_16,thu_fri,TP15_SL20,15.0,20.0,0.75,480,0.904081413909437,482,14.181750000000113,0.029422717842323885,0.5186721991701245,1.1612832605676984,6.2757500000000395,6,4,324,22.196999999999992,0.06850925925925923,0.5679012345679012,1.2489999394242612,8.189499999999999,7,4,806,36.37875000000011,0.04513492555831279,1.2054422610042173,97,0.5391500000000061,0.4845360824742268,97,-3.9295500000000176,0.422680412371134,91,3.7463000000000304,0.5384615384615384,97,6.610900000000027,0.5463917525773195,100,7.214950000000067,0.6,98,4.124049999999989,0.4897959183673469,99,7.718550000000039,0.6161616161616161,81,5.6043999999999645,0.5679012345679012,46,4.75,0.6304347826086957
asia_break_10_16|thu_fri|TP20_SL20|H720,asia_break_10_16,thu_fri,TP20_SL20,20.0,20.0,1.0,720,0.8541569778425876,482,14.942850000000044,0.03100176348547727,0.487551867219917,1.152447805001967,6.464049999999986,8,3,324,33.71315000000003,0.10405293209876551,0.5370370370370371,1.3385653241477662,7.059200000000034,11,4,806,48.65600000000008,0.06036724565756833,1.24623986473407,97,-0.3663000000000008,0.4639175257731959,97,-3.3311500000000023,0.44329896907216493,91,6.859149999999988,0.5164835164835165,97,7.450800000000016,0.5051546391752577,100,4.330350000000042,0.51,98,7.92344999999999,0.4897959183673469,99,13.522200000000067,0.5959595959595959,81,6.267499999999973,0.5061728395061729,46,6.0,0.5652173913043478
asia_break_09_14|thu_fri|TP25_SL20|H480,asia_break_09_14,thu_fri,TP25_SL20,25.0,20.0,1.25,480,0.8052608775101137,442,11.073999999999977,0.025054298642533883,0.4796380090497738,1.1405695644171387,4.6392999999999915,7,4,290,22.14045,0.07634637931034483,0.5344827586206896,1.2609461995031044,11.73634999999997,6,4,732,33.214449999999985,0.045374931693989054,1.20298967830966,96,0.44854999999998846,0.4166666666666667,87,-1.6938500000000316,0.3793103448275862,80,3.0473500000000175,0.5125,91,8.121650000000022,0.5274725274725275,88,1.1502999999999817,0.5681818181818182,90,2.417099999999993,0.4777777777777778,88,13.822249999999986,0.625,78,1.65110000000002,0.5128205128205128,34,4.25,0.5
asia_break_09_14|thu_fri|TP20_SL20|H480,asia_break_09_14,thu_fri,TP20_SL20,20.0,20.0,1.0,480,0.7985338485517767,442,11.050299999999957,0.02500067873303158,0.4819004524886878,1.142072139831189,5.032649999999979,7,4,290,22.71194999999998,0.07831706896551717,0.5448275862068965,1.2751636180363894,8.61949999999997,5,4,732,33.76224999999993,0.04612329234972668,1.2105937962553475,96,0.27504999999998714,0.4166666666666667,87,-1.8316500000000246,0.3793103448275862,80,1.8601000000000107,0.5125,91,7.846950000000014,0.5274725274725275,88,2.8998499999999696,0.5795454545454546,90,1.1700000000000041,0.4777777777777778,88,14.252899999999952,0.625,78,5.28905000000002,0.5384615384615384,34,2.0,0.5294117647058824
asia_break_10_16|thu_fri|TP30_SL25|H480,asia_break_10_16,thu_fri,TP30_SL25,30.0,25.0,1.2,480,0.7846886311738878,482,11.211800000000085,0.023260995850622582,0.5062240663900415,1.1523066749332878,5.097079999999975,6,4,324,28.242479999999922,0.08716814814814791,0.5370370370370371,1.3381767551197419,12.102000000000015,7,4,806,39.45428,0.048950719602977665,1.2510975815275363,97,0.8120800000000056,0.4845360824742268,97,-2.1091600000000197,0.422680412371134,91,4.62372000000004,0.5274725274725275,97,6.468880000000008,0.5257731958762887,100,1.4162800000000515,0.57,98,6.428480000000008,0.4897959183673469,99,9.498000000000092,0.6161616161616161,81,0.3011999999998629,0.4691358024691358,46,12.014799999999957,0.5869565217391305
asia_break_10_16|thu_fri|TP15_SL25|H480,asia_break_10_16,thu_fri,TP15_SL25,15.0,25.0,0.6,480,0.7669480350777388,482,10.811040000000082,0.0224295435684649,0.5186721991701245,1.1525282834445008,5.065800000000036,6,4,324,19.25423999999998,0.05942666666666661,0.5864197530864198,1.262251317914263,8.374799999999999,7,4,806,30.065280000000065,0.03730183622828792,1.2083555443195457,97,0.43132000000000537,0.4845360824742268,97,-3.1888400000000185,0.422680412371134,91,3.323880000000026,0.5384615384615384,97,5.722240000000019,0.5463917525773195,100,4.522440000000051,0.6,98,2.6859999999999866,0.4897959183673469,99,6.891000000000031,0.6262626262626263,81,2.8772399999999663,0.5802469135802469,46,6.799999999999999,0.717391304347826
asia_break_10_16|thu_fri|TP40_SL30|H480,asia_break_10_16,thu_fri,TP40_SL30,40.0,30.0,1.3333333333333333,480,0.7211446468376699,482,9.571966666666732,0.01985885200553264,0.5062240663900415,1.1547575612718888,4.386533333333318,6,4,324,28.285033333333253,0.08729948559670757,0.5401234567901234,1.3915333295497367,8.435899999999995,7,4,806,37.856999999999985,0.04696898263027294,1.2823188472086053,97,0.676733333333338,0.4845360824742268,97,-1.833433333333354,0.422680412371134,91,3.6658000000000364,0.5274725274725275,97,5.576566666666674,0.5257731958762887,100,1.4863000000000355,0.57,98,6.560599999999999,0.4897959183673469,99,9.859066666666747,0.6161616161616161,81,0.38669999999988236,0.48148148148148145,46,11.478666666666626,0.5869565217391305
asia_break_10_16|thu_fri|TP15_SL20|H720,asia_break_10_16,thu_fri,TP15_SL20,15.0,20.0,0.75,720,0.7053472830279964,482,12.164250000000017,0.025237033195020783,0.495850622406639,1.1268918906231908,7.606499999999993,8,3,324,25.53984999999998,0.07882669753086413,0.5709876543209876,1.2755619165584116,7.896000000000004,11,4,806,37.7041,0.04677928039702233,1.1999730569585445,97,-0.8242499999999942,0.4639175257731959,97,-4.115700000000027,0.44329896907216493,91,5.874699999999995,0.5274725274725275,97,5.874150000000021,0.5154639175257731,100,5.355350000000019,0.53,98,6.172049999999992,0.5,99,8.63430000000003,0.6060606060606061,81,5.983499999999959,0.5802469135802469,46,4.75,0.6304347826086957
