,asia_compression_break|r070|TP15_SL15|H1440,asia_break_10_16|thu_fri|TP20_SL20|H480
asia_compression_break|r070|TP15_SL15|H1440,1.0,0.19160467763881275
asia_break_10_16|thu_fri|TP20_SL20|H480,0.19160467763881275,1.0
