family,variant,exit,rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,time_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl
asia_mid_cont_600,all,R60_R1,1.0,257,259,258,164,-84.86149999999975,12.30199999999877,127.4979999999914,-338.1545000000028,938,463,475,0.4936034115138593,463,475,0,-283.2160000000124,-0.3019360341151518,0.9404980777468842,454.6495000000027,8,2023-12-22,2024-01-04,9.846846481876321,9.846846481876321
asia_mid_cont_600,all,R60_R125,1.25,257,259,258,164,-136.98024999999927,63.616874999999595,111.84224999998924,-232.96187500000462,938,410,528,0.43710021321961623,410,528,0,-194.48300000001507,-0.2073379530917005,0.9627265684861878,402.83150000001035,9,2024-02-21,2024-03-04,12.3085581023454,9.846846481876321
asia_mid_fade_600,all,10_10,1.0,260,262,261,166,160.0,-320.0,-410.0,-180.0,949,437,512,0.46048472075869334,437,512,0,-750.0,-0.7903055848261328,0.853515625,960.0,10,2025-05-22,2025-06-04,10.0,10.0
asia_mid_fade_600,all,15_15,1.0,260,262,261,166,30.0,-270.0,-495.0,-120.0,949,446,503,0.46996838777660693,446,503,0,-855.0,-0.9009483667017913,0.8866799204771372,1065.0,9,2024-03-04,2024-03-14,15.0,15.0
asia_mid_fade_600,all,20_20,1.0,260,262,261,166,-40.0,-720.0,-540.0,-280.0,949,435,514,0.458377239199157,435,514,0,-1580.0,-1.6649104320337198,0.8463035019455253,1860.0,9,2023-07-27,2023-08-08,20.0,20.0
asia_mid_fade_600,all,20_15,1.3333333333333333,260,262,261,166,195.0,-360.0,-555.0,-215.0,949,380,569,0.40042149631190727,380,569,0,-935.0,-0.9852476290832455,0.8904510837727007,1375.0,14,2025-07-29,2025-08-15,20.0,15.0
asia_mid_fade_600,all,25_20,1.25,260,262,261,166,-115.0,-785.0,-405.0,-305.0,949,386,563,0.4067439409905163,386,563,0,-1610.0,-1.696522655426765,0.8570159857904085,1935.0,10,2024-03-04,2024-03-15,25.0,20.0
asia_mid_fade_600,all,30_25,1.2,260,262,261,166,210.0,-940.0,-90.0,-685.0,949,404,545,0.42571127502634354,404,545,0,-1505.0,-1.5858798735511064,0.8895412844036698,1895.0,12,2026-04-28,2026-05-13,30.0,25.0
asia_mid_fade_600,all,40_30,1.3333333333333333,260,262,261,166,-170.0,-1140.0,-410.0,-430.0,949,376,573,0.39620653319283455,376,573,0,-2150.0,-2.2655426765015805,0.8749272833042466,2480.0,11,2025-06-05,2025-06-19,40.0,30.0
asia_mid_fade_600,all,A25_R1,1.0,257,259,258,164,-60.95250000000004,-169.37937499999953,-411.6487499999994,112.54149999999902,938,417,521,0.4445628997867804,417,521,0,-529.4391249999999,-0.5644340351812366,0.872484865395401,710.1027499999985,13,2023-01-04,2023-01-20,8.288382329424303,8.288382329424303
asia_mid_fade_600,all,A25_R125,1.25,257,259,258,164,-96.55496875000004,-258.3506874999999,-383.2039374999987,72.25584375000113,938,359,579,0.38272921108742003,359,579,0,-665.8537499999975,-0.7098654051172681,0.8557228880990609,831.859062499998,13,2023-01-04,2023-01-20,10.360477911780379,8.288382329424303
asia_mid_fade_600,all,R60_R1,1.0,257,259,258,164,-76.45849999999996,-131.96699999999964,-522.1469999999927,-63.0664999999949,938,419,519,0.4466950959488273,419,519,0,-793.6389999999872,-0.8460970149253595,0.8417466593406332,848.9389999999935,11,2023-01-05,2023-01-19,9.846846481876321,9.846846481876321
asia_mid_fade_600,all,R60_R125,1.25,257,259,258,164,-122.58812500000016,-143.3831249999999,-720.3404999999973,-32.44974999999317,938,358,580,0.3816631130063966,358,580,0,-1018.7614999999905,-1.0860996801705656,0.8175597824101515,1140.553499999989,18,2025-07-31,2025-08-25,12.3085581023454,9.846846481876321
ensemble_600,majority,10_10,1.0,260,262,261,166,-400.0,240.0,190.0,-220.0,949,465,484,0.48998946259220233,465,484,0,-190.0,-0.20021074815595363,0.9607438016528925,460.0,13,2023-02-06,2023-02-22,10.0,10.0
ensemble_600,majority,15_15,1.0,260,262,261,166,-330.0,180.0,225.0,-210.0,949,470,479,0.4952581664910432,470,479,0,-135.0,-0.1422550052687039,0.9812108559498957,465.0,8,2026-07-13,2026-07-22,15.0,15.0
ensemble_600,majority,20_20,1.0,260,262,261,166,-360.0,520.0,260.0,-40.0,949,484,465,0.5100105374077977,484,465,0,380.0,0.40042149631190727,1.0408602150537634,580.0,8,2023-04-20,2023-05-01,20.0,20.0
ensemble_600,majority,20_15,1.3333333333333333,260,262,261,166,-190.0,445.0,180.0,-180.0,949,414,535,0.4362486828240253,414,535,0,255.0,0.26870389884088514,1.0317757009345794,480.0,10,2023-06-27,2023-07-10,20.0,15.0
ensemble_600,majority,25_20,1.25,260,262,261,166,-475.0,655.0,135.0,-80.0,949,427,522,0.4499473129610116,427,522,0,235.0,0.2476290832455216,1.0225095785440612,795.0,9,2023-04-19,2023-05-01,25.0,20.0
ensemble_600,majority,30_25,1.2,260,262,261,166,-285.0,655.0,20.0,-80.0,949,437,512,0.46048472075869334,437,512,0,310.0,0.3266596417281349,1.02421875,945.0,9,2023-06-23,2023-07-05,30.0,25.0
