family,param,tp,sl,robust_score,positive_train_years,train_n,train_net,train_expectancy,train_pf,train_positive_rate,train_max_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_expectancy,oos_pf,oos_positive_rate,oos_max_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_expectancy,all_pf,all_positive_rate,all_max_dd,all_tp,all_sl,all_eod
europe_09_10_orb,b=0.0,10.0,15.0,-1.0954945058332146,1,770,-595.8640000000016,-0.7738493506493528,0.8616762811212346,0.5285714285714286,646.5370000000025,356,248,166,164,-310.0,-1.8902439024390243,0.7350427350427351,0.524390243902439,330.0,86,78,0,934,-905.8640000000016,-0.9698758029978604,0.8346284514627353,0.5278372591006424,937.1140000000019,442,326,166
europe_09_10_orb,b=0.0,10.0,20.0,-1.2926985691083357,1,770,-732.807000000003,-0.9516974025974064,0.8411576393493502,0.551948051948052,766.932000000003,371,174,225,164,-419.1800000000003,-2.5559756097560995,0.6938459515914633,0.5792682926829268,439.1800000000003,95,68,1,934,-1151.9870000000033,-1.233390792291224,0.8074438501100603,0.556745182012848,1176.1120000000033,466,242,226
europe_09_10_orb,b=0.0,10.0,25.0,-1.6383034862153338,1,770,-999.0100000000034,-1.2974155844155888,0.7981645481901051,0.561038961038961,1028.1350000000034,378,121,271,164,-514.1800000000003,-3.135243902439026,0.6648502783245772,0.6219512195121951,534.1800000000003,102,61,1,934,-1513.1900000000037,-1.620117773019276,0.7666200993675623,0.5717344753747323,1532.3150000000037,480,182,272
europe_09_10_orb,b=0.0,10.0,30.0,-1.7384065039424472,0,770,-1118.035000000003,-1.4519935064935103,0.7802885283349157,0.5636363636363636,1142.208000000003,380,91,299,164,-459.1800000000003,-2.7998780487804895,0.7073758268649867,0.676829268292683,489.1800000000003,111,52,1,934,-1577.2150000000033,-1.6886670235546075,0.7631037795942848,0.5835117773019272,1591.3880000000033,491,143,300
europe_09_10_orb,b=0.0,10.0,35.0,-1.9641413283276061,0,770,-1286.5390000000027,-1.6708298701298736,0.7557430909096082,0.564935064935065,1310.7770000000028,381,67,322,164,-590.6700000000001,-3.601646341463415,0.6574197589578814,0.6951219512195121,620.6700000000001,113,49,2,934,-1877.2090000000028,-2.009859743040688,0.7314949147766481,0.5877944325481799,1891.4470000000028,494,116,324
europe_09_10_orb,b=0.0,15.0,15.0,-1.0973423986726796,1,770,-607.1290000000035,-0.7884792207792254,0.8748823020391905,0.4597402597402597,685.4300000000044,244,277,249,164,-339.9399999999996,-2.072804878048778,0.7563154121863802,0.4329268292682927,354.9399999999996,70,93,1,934,-947.0690000000031,-1.0139925053533225,0.8484074255421756,0.4550321199143469,985.9470000000033,314,370,250
europe_09_10_orb,b=0.0,15.0,20.0,-1.160221776505152,1,770,-615.4150000000047,-0.7992402597402659,0.8800839586683595,0.487012987012987,677.5810000000024,260,190,320,164,-374.1199999999999,-2.281219512195121,0.7675089175853541,0.5060975609756098,389.1199999999999,82,80,2,934,-989.5350000000046,-1.0594593147751656,0.8532114841373873,0.49036402569593146,1029.2260000000047,342,270,322
europe_09_10_orb,b=0.0,15.0,25.0,-1.517189722613367,1,770,-896.2920000000047,-1.1640155844155906,0.8372974323152721,0.4961038961038961,945.9830000000047,266,134,370,164,-429.1899999999996,-2.6170121951219487,0.7594563542104528,0.5548780487804879,444.1899999999996,90,71,3,934,-1325.4820000000043,-1.4191456102783773,0.818253493131657,0.5064239828693791,1360.1730000000043,356,205,373
europe_09_10_orb,b=0.0,15.0,30.0,-1.6806221935408818,0,770,-1051.9570000000037,-1.3661779220779269,0.8147780741097578,0.4974025974025974,1096.6480000000038,267,102,401,164,-334.1899999999996,-2.037743902439022,0.8183009378822892,0.6158536585365854,364.1899999999996,100,61,3,934,-1386.1470000000033,-1.484097430406856,0.8156398500749661,0.5182012847965739,1430.8380000000034,367,163,404
europe_09_10_orb,b=0.0,15.0,35.0,-1.9561849308676167,0,770,-1244.8950000000036,-1.6167467532467579,0.7885485204876392,0.4987012987012987,1289.6990000000037,268,75,427,164,-400.6799999999994,-2.4431707317073132,0.7965316744953665,0.6463414634146342,490.6799999999994,104,56,4,934,-1645.575000000003,-1.7618576017130654,0.7905494837544189,0.5246252676659529,1715.379000000003,372,131,431
