family,param,tp,sl,robust_score,positive_train_years,train_n,train_net,train_expectancy,train_pf,train_positive_rate,train_max_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_expectancy,oos_pf,oos_positive_rate,oos_max_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_expectancy,all_pf,all_positive_rate,all_max_dd,all_tp,all_sl,all_eod
asia_close_breakout,b=0.0,20.0,20.0,0.16774175225609472,2,687,373.6799999999978,0.5439301310043636,1.0875696880646224,0.4963609898107715,434.5280000000014,179,148,360,114,263.73,2.313421052631579,1.26373,0.5614035087719298,116.26999999999998,63,50,1,801,637.4099999999978,0.7957677902621696,1.121014271258327,0.5056179775280899,434.5280000000014,242,198,361
prevday_breakout,b=5.0,30.0,35.0,0.6554409771529273,2,435,539.282999999999,1.2397310344827563,1.1884002175771446,0.5218390804597701,250.76800000000026,62,36,337,105,-45.0570000000007,-0.4291142857142924,0.9705010442513794,0.5238095238095238,277.21000000000004,47,39,19,540,494.2259999999983,0.9152333333333301,1.1125839807938458,0.5222222222222223,277.21000000000004,109,75,356
open_10_30_orb,b=0.0,25.0,20.0,0.28218633620762273,3,774,360.88999999999965,0.46626614987080056,1.0715984250687536,0.4844961240310077,277.3510000000001,140,186,448,163,-30.240000000001146,-0.18552147239264508,0.9830634727721795,0.44171779141104295,277.9900000000007,70,88,5,937,330.6499999999985,0.3528815368196355,1.048440044512394,0.47705442902881534,297.9900000000007,210,274,453
morning_momentum_fade,th=5.0,30.0,35.0,1.1613174298143396,3,173,242.5270000000005,1.4018901734104074,1.161704825868292,0.5549132947976878,278.08100000000104,40,26,107,111,21.307000000000244,0.19195495495495715,1.0125562784338686,0.5315315315315315,470.797,56,46,9,284,263.83400000000074,0.9289929577464815,1.0825323854072268,0.545774647887324,470.797,96,72,116
prevday_rejection,ext=2.0,30.0,15.0,-1.7525907480837835,2,112,-123.31599999999935,-1.1010357142857086,0.8395357159122708,0.4107142857142857,234.49999999999955,13,44,55,68,21.75,0.31985294117647056,1.0329545454545455,0.35294117647058826,210.0,22,44,2,180,-101.56599999999935,-0.564255555555552,0.9288999961497945,0.3888888888888889,317.3959999999993,35,88,57
asia_rejection,ext=2.0,15.0,15.0,-0.7257302341184954,1,110,-25.143000000000256,-0.2285727272727296,0.9658465287559918,0.5,175.07100000000082,42,47,21,80,-150.0,-1.875,0.7777777777777778,0.4375,255.0,35,45,0,190,-175.14300000000026,-0.9218052631578961,0.8758887085036107,0.47368421052631576,325.0710000000008,77,92,21
afternoon_14_15_orb,b=2.0,25.0,30.0,0.705167944115916,3,762,697.7729999999967,0.9157125984251926,1.1617843899613738,0.5039370078740157,250.2360000000017,120,51,591,162,-902.9599999999982,-5.573827160493816,0.6353684819228851,0.41975308641975306,1005.8639999999987,62,78,22,924,-205.1870000000015,-0.22206385281385443,0.9697780816526603,0.48917748917748916,1005.8639999999987,182,129,613
morning_momentum_cont,th=3.0,10.0,15.0,-0.8420212656785491,1,323,-180.04000000000042,-0.5573993808049549,0.9044704274316954,0.5510835913312694,250.35300000000052,168,116,39,135,-275.0,-2.037037037037037,0.717948717948718,0.5185185185185185,310.0,70,65,0,458,-455.0400000000004,-0.9935371179039311,0.8408757429225653,0.5414847161572053,455.3530000000005,238,181,39
midday_momentum_cont,th=3.0,15.0,15.0,-1.102789872524213,1,254,-174.73000000000047,-0.6879133858267735,0.8964919950571119,0.48031496062992124,301.3909999999996,91,102,61,119,-375.0,-3.1512605042016806,0.6527777777777778,0.3949579831932773,450.0,47,72,0,373,-549.7300000000005,-1.4738069705093846,0.8014040046501512,0.45308310991957107,676.3909999999996,138,174,61
europe_09_10_orb,b=2.0,25.0,20.0,-0.5916909249274294,1,745,-318.48900000000117,-0.42750201342282035,0.9378335705238573,0.45369127516778524,662.2799999999988,123,178,444,163,-274.6900000000005,-1.6852147239263835,0.8569322916666664,0.4110429447852761,405.0,65,96,2,908,-593.1790000000017,-0.6532808370044071,0.9157795065770836,0.4460352422907489,863.5260000000007,188,274,446
