family,variant,exit,exit_type,initial_rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,eod_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl,avg_rr
asia_break_09_14,all,R60x1_R125,r60,1.25,219,221,189,93,-96.95900000000222,-122.28362500000458,58.46187499999792,-24.473999999996636,722,305,417,0.4224376731301939,289,405,28,-185.25475000000552,-0.2565855263157971,0.9540778846374308,437.00374999999997,8,2024-02-22,2024-03-04,12.778866862880909,10.223093490304727,1.25
asia_break_09_14,all,ASIAx025_R1,asia,1.0,219,221,189,93,-46.446500000000185,-69.53287499999999,18.399625000000697,-103.15149999999971,722,345,377,0.4778393351800554,345,374,3,-200.7312499999992,-0.2780211218836554,0.9267869961377219,316.074374999999,9,2026-02-04,2026-03-10,7.329649584487531,7.329649584487531,1.0
asia_break_09_14,all,ASIAx025_R125,asia,1.25,219,221,189,93,-87.00187500000045,-62.073406250000346,-23.796562499999595,-99.27746874999926,722,303,419,0.4196675900277008,301,414,7,-272.14931249999967,-0.3769381059556782,0.9107179236968483,350.9134374999997,11,2026-02-04,2026-03-12,9.162061980609415,7.329649584487531,1.25
asia_break_09_14,all,ASIAx033_R1,asia,1.0,219,221,189,93,-42.96297500000004,-41.20064999999934,-97.28779499999936,-177.2957149999989,722,343,379,0.47506925207756234,342,374,6,-358.7471349999977,-0.4968796883656478,0.8900898657097457,458.56725999999844,11,2026-02-04,2026-03-12,8.57617462603878,8.57617462603878,1.0
asia_break_09_14,all,ASIAx033_R125,asia,1.25,219,221,189,93,-80.68591875000025,-19.436181249999322,-12.426917500000144,-74.90787999999851,722,312,410,0.43213296398891965,306,404,12,-187.4568974999982,-0.25963559210526066,0.946082372099423,436.46693874999823,11,2026-02-04,2026-03-12,10.720218282548476,8.57617462603878,1.25
asia_break_09_14,all,PREVx025_R1,prev,1.0,220,222,190,93,-230.16237499999949,106.14774999999969,-36.80149999999969,171.98049999999773,725,348,377,0.48,329,339,57,11.164374999998245,0.015399137931032062,1.002834353513365,432.7704999999993,8,2025-11-20,2025-12-05,11.803635689655172,11.803635689655172,1.0
asia_break_09_14,all,PREVx025_R125,prev,1.25,220,222,190,93,-204.47656249999997,51.80459374999923,-106.37637499999931,207.4859687499972,725,308,417,0.42482758620689653,278,370,77,-51.5623750000029,-0.07112051724138331,0.9879361099513496,510.1007500000005,10,2025-11-20,2025-12-10,14.754544612068964,11.803635689655172,1.25
asia_break_10_16,all,F10_10,fixed,1.0,244,243,209,116,-382.11900000000014,163.73399999999992,59.218999999999596,-82.02300000000014,812,383,429,0.47167487684729065,346,362,104,-241.18900000000076,-0.29703078817734085,0.9370851952782527,475.21100000000024,8,2023-02-14,2023-02-23,10.0,10.0,1.0
asia_break_10_16,all,F15_15,fixed,1.0,244,243,209,116,-260.7960000000005,197.365,148.30799999999863,117.97699999999986,812,394,418,0.4852216748768473,299,269,244,202.853999999998,0.2498201970443325,1.0426307430842778,377.5230000000006,8,2023-02-14,2023-02-23,15.0,15.0,1.0
asia_break_10_16,all,F20_20,fixed,1.0,244,243,209,116,-223.342000000001,379.8189999999993,210.19999999999936,261.7069999999999,812,405,407,0.4987684729064039,242,198,372,628.3839999999975,0.773871921182263,1.119096571508281,436.6420000000012,8,2023-02-14,2023-02-23,20.0,20.0,1.0
asia_break_10_16,all,F20_15,fixed,1.3333333333333333,244,243,209,116,-226.91700000000128,286.25700000000006,227.0369999999989,231.70699999999988,812,374,438,0.4605911330049261,225,281,306,518.0839999999976,0.6380344827586177,1.1041737545613866,389.7400000000014,8,2023-02-14,2023-02-23,20.0,15.0,1.333333333333333
asia_break_10_16,all,F25_20,fixed,1.25,244,243,209,116,-205.83500000000072,401.76299999999856,42.87299999999823,240.23699999999963,812,387,425,0.4766009852216749,169,212,431,479.0379999999957,0.5899482758620637,1.0859936750296502,424.14100000000076,8,2023-02-14,2023-02-23,25.0,20.0,1.25
asia_break_10_16,all,F30_25,fixed,1.2,244,243,209,116,-155.0680000000002,326.494999999999,89.35099999999738,364.08699999999817,812,392,420,0.4827586206896552,135,155,522,624.8649999999943,0.7695381773398945,1.1061377340354306,440.0950000000007,8,2023-02-14,2023-02-23,30.0,25.0,1.1999999999999997
asia_break_10_16,all,F40_30,fixed,1.3333333333333333,244,243,209,116,-97.54099999999971,379.1699999999996,5.636999999998352,368.8709999999978,812,390,422,0.4802955665024631,85,126,601,656.1369999999961,0.8080504926108326,1.1043264494373581,502.98699999999917,8,2023-02-14,2023-02-23,40.0,30.0,1.333333333333333
asia_break_10_16,all,R60x075_R1,r60,1.0,241,240,206,114,-156.06674999999956,-69.33387500000265,153.77412499999207,4.808499999997025,801,379,422,0.4731585518102372,378,413,10,-66.81800000001311,-0.0834182272159964,0.9811622502269736,278.45275000000123,10,2023-02-10,2023-02-23,8.897678370786519,8.897678370786519,1.0
