strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
london_us_same1530,30.0,15.0,1440,0.28919656381433706,1291,276.77700000000596,0.21438962044926874,0.48024786986831913,1.046789623606381,966
london_us_same1530,30.0,20.0,1440,0.22957687536820032,1291,220.2980000000082,0.1706413632842821,0.4941905499612703,1.036129416976127,1071
london_us_same1530,20.0,15.0,1440,0.11350061588022049,1291,109.3860000000061,0.08472966692486918,0.48489542989930284,1.018685072167091,871
london_us_same1530,25.0,15.0,1440,0.10502497482333566,1291,101.25700000000666,0.07843299767622514,0.4810224632068164,1.0171220507298488,938
london_us_same1530,30.0,12.0,1440,0.09283822126343592,1291,89.5470000000073,0.06936250968242239,0.4546862896979086,1.015348710210929,854
london_us_same1530,20.0,20.0,1440,0.06426162265271194,1291,62.062000000008084,0.048072811773825004,0.49806351665375675,1.0102681920324987,970
london_us_same1530,25.0,20.0,1440,0.04982190613901341,1291,48.14500000000885,0.03729279628195883,0.4949651432997676,1.0078978601384045,1042
london_us_same1530,30.0,8.0,1440,0.02138950807600725,1291,20.690000000004375,0.016026336173512297,0.39736638264910923,1.003942231916798,636
london_us_same1530,30.0,5.0,1440,0.0048265344513083825,1291,4.672000000002527,0.003618900077461291,0.3020914020139427,1.001106149380834,419
london_us_same1530,30.0,25.0,1440,-0.0011649367116790654,1291,-1.1279999999906067,-0.0008737412858176659,0.4957397366382649,0.9998225925271205,1123
london_us_same1530,30.0,30.0,1440,-0.033790896536448255,1291,-32.75999999999044,-0.02537567776916378,0.4965143299767622,0.9948761381472,1166
london_us_same1530,30.0,10.0,1440,-0.04524802736125158,1291,-43.895999999993364,-0.03400154918667186,0.4314484895429899,0.9922910964587631,740
london_us_same1530,20.0,12.0,1440,-0.10466526404238201,1291,-101.78999999999246,-0.0788458559256332,0.458559256390395,0.9824007037643732,766
london_us_same1530,25.0,12.0,1440,-0.12029310714264908,1291,-117.06099999999219,-0.0906746707978251,0.4546862896979086,0.9799352812936075,829
london_us_same1530,20.0,8.0,1440,-0.14309073204416461,1291,-139.4799999999957,-0.10804027885359853,0.4004647560030984,0.9732607198671249,557
london_us_same1530,25.0,8.0,1440,-0.14618188810087698,1291,-142.50799999999526,-0.11038574748256798,0.39736638264910923,0.9728468058966195,613
london_us_same1530,25.0,5.0,1440,-0.16360461248970076,1291,-159.92399999999725,-0.1238760650658383,0.3020914020139427,0.9621361657576218,404
london_us_same1530,20.0,25.0,1440,-0.16864645953661764,1291,-164.3639999999907,-0.1273152594887612,0.49961270333075136,0.9739099668136392,1022
london_us_same1530,15.0,15.0,1440,-0.17244638247944605,1291,-168.2029999999927,-0.13028892331525382,0.49264136328427577,0.9707070583932721,781
london_us_same1530,12.0,15.0,1440,-0.1771237425454574,1291,-172.84299999999348,-0.13388303640588187,0.5096824167312161,0.9689212457466155,692
london_us_same1530,25.0,25.0,1440,-0.18283602552421313,1291,-178.28099999998994,-0.13809527498062737,0.4965143299767622,0.9719539763368918,1094
london_us_same1530,20.0,5.0,1440,-0.18721802917522734,1291,-183.26899999999773,-0.14195894655305788,0.3044151820294346,0.95645432121998,359
london_us_same1530,12.0,20.0,1440,-0.2032799825099483,1291,-198.5509999999922,-0.15379628195196918,0.52285050348567,0.9652450617778838,782
london_us_same1530,20.0,30.0,1440,-0.20372106312061475,1291,-198.81199999999035,-0.15399845081331553,0.5003872966692486,0.9686320617778568,1064
london_us_same1530,15.0,20.0,1440,-0.21314679373336215,1291,-208.21299999999087,-0.16128040278852895,0.5058094500387297,0.9647742078032963,876
london_us_same1530,25.0,30.0,1440,-0.2150164149749965,1291,-209.91299999998978,-0.1625972114639735,0.4972889233152595,0.9671605627007472,1137
london_us_same1530,10.0,15.0,1440,-0.22888710062108197,1291,-223.9469999999933,-0.17346785437644716,0.5290472501936483,0.9584354365339879,614
