strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits,oos_n,oos_net_points,oos_ev_points,oos_wr,oos_pf,oos_time_exits,oos_compound_final,oos_compound_dd,oos_stalled,full_net_points,full_ev_points,full_wr,full_pf,robust_score
prevclose_1000close_to_1001,30.0,30.0,480,-0.30398679293875336,1291,-298.6149999999968,-0.23130518977536546,0.4632068164213788,0.9426714969167805,1230,949,602.1909999999962,0.6345532139093742,0.5110642781875658,1.0868899038540616,658,285.97,0.046766666666666575,True,303.57599999999934,0.1355249999999997,0.48348214285714286,1.0250076074938466,1.2061971311225002
prevclose_1000close_to_1001,20.0,30.0,480,-0.3468252751418875,1291,-341.44799999999714,-0.26448334624322006,0.46553059643687067,0.9339937285459035,1160,949,560.8129999999969,0.5909515279241274,0.5384615384615384,1.0868734179234847,540,285.97,0.046766666666666575,True,219.36499999999978,0.09793080357142847,0.49642857142857144,1.0188644571148666,1.1151954704630098
prevclose_1000close_to_1001,25.0,30.0,480,-0.35455925014225037,1291,-349.1529999999973,-0.27045158791634183,0.4632068164213788,0.9329691447615981,1209,949,555.1129999999978,0.5849452054794497,0.5216016859852476,1.0818994503083657,605,285.97,0.046766666666666575,True,205.9600000000005,0.09194642857142879,0.48794642857142856,1.0171822022551098,1.0997515373050606
prevclose_1000close_to_1001,30.0,25.0,480,-0.31950692816385234,1291,-314.08999999999673,-0.24329202168861094,0.4616576297443842,0.9397953859677577,1210,949,531.5849999999971,0.5601527924130633,0.49841938883034775,1.0795703856293861,629,249.70199999999932,0.29188065576373995,True,217.49500000000035,0.09709598214285729,0.4772321428571429,1.0182803763171313,0.5435419070931824
prevclose_1000close_to_1001,25.0,25.0,480,-0.3700045248190282,1291,-364.6279999999972,-0.2824384198295873,0.4616576297443842,0.9301082874165096,1189,949,481.7769999999982,0.5076680716543711,0.5079030558482613,1.0734876016165602,577,249.70199999999932,0.29188065576373995,True,117.14900000000102,0.05229866071428617,0.48125,1.0099507030403716,0.43130820087529687
prevclose_1000close_to_1001,20.0,25.0,480,-0.3672694943314951,1291,-361.92299999999705,-0.280343144848952,0.46398140975987606,0.9302137513943353,1140,949,479.2299999999975,0.5049841938883008,0.5247629083245522,1.07634574043882,515,242.91199999999935,0.2976113024343848,True,117.30700000000047,0.052369196428571636,0.48973214285714284,1.0102332956215712,0.3910215894954814
prevclose_1000close_to_1001,25.0,20.0,480,-0.3313529550676632,1291,-325.9729999999961,-0.2524965143299737,0.4608830364058869,0.9369211406376453,1144,949,589.7849999999992,0.6214805057955735,0.49209694415173866,1.095486952941609,540,189.4349999999995,0.4606233859417847,True,263.8120000000031,0.11777321428571566,0.47410714285714284,1.023255008304164,0.1516326955995383
prevclose_1000close_to_1001,20.0,20.0,480,-0.33362109483106656,1291,-328.26799999999594,-0.2542742060418249,0.4632068164213788,0.936157347900913,1095,949,531.9279999999981,0.5605142255005249,0.5079030558482613,1.0893684224674396,481,198.35999999999945,0.42407692910711076,True,203.66000000000213,0.09091964285714381,0.48214285714285715,1.0183578213955062,0.12130641640865336
prevclose_1000close_to_1001,30.0,20.0,480,-0.2806763525163003,1291,-275.4349999999956,-0.21335011618899738,0.4608830364058869,0.9467007217515865,1165,949,558.6769999999979,0.5887007376185436,0.4815595363540569,1.0884679279869602,590,189.4349999999995,0.4606233859417847,True,283.24200000000224,0.12644732142857243,0.46964285714285714,1.0246667843506543,0.07881101389595713
prevclose_1000close_to_1001,5.0,30.0,120,-0.41618228059245477,1291,-424.41299999999796,-0.3287474825716483,0.48412083656080557,0.7978901983082165,1079,949,-183.72500000000082,-0.19359852476290917,0.5827186512118019,0.9238685114196193,535,290.80999999999995,0.030633333333333516,True,-608.1379999999988,-0.27149017857142804,0.5258928571428572,0.8652526427089419,-0.07706234169262655
prevclose_1000close_to_1001,4.0,30.0,120,-0.4277682895457019,1291,-437.5279999999982,-0.3389062742060404,0.4941905499612703,0.7866069952334719,992,949,-268.9860000000008,-0.2834415173867237,0.6027397260273972,0.8809007559432063,468,290.80999999999995,0.030633333333333516,True,-706.513999999999,-0.3154080357142853,0.5401785714285714,0.836031583427752,-0.07706234169262655
prevclose_1000close_to_1001,8.0,30.0,120,-0.434733347172504,1291,-443.9079999999974,-0.3438481797056525,0.4740511231603408,0.7929531650682522,1218,949,-148.94200000000546,-0.15694625922023758,0.5310853530031612,0.9450975506183887,687,290.80999999999995,0.030633333333333516,True,-592.8500000000029,-0.26466517857142985,0.4982142857142857,0.8779351867446482,-0.07706234169262655
prevclose_1000close_to_1001,12.0,30.0,120,-0.4440707020356827,1291,-453.9109999999978,-0.3515964368706412,0.47095274980635166,0.7890375623948476,1268,949,-92.74400000000674,-0.09772813487882691,0.5100105374077977,0.9677804188156438,786,290.80999999999995,0.030633333333333516,True,-546.6550000000045,-0.24404241071428773,0.4875,0.8913236230243495,-0.07706234169262655
prevclose_1000close_to_1001,30.0,30.0,120,-0.43894240789626615,1291,-448.36399999999753,-0.34729976762199655,0.47095274980635166,0.7916156198585262,1287,949,-258.0170000000053,-0.27188303477345127,0.48788198103266595,0.9177594168825588,897,290.80999999999995,0.030633333333333516,True,-706.3810000000028,-0.31534866071428697,0.478125,0.8664424639683682,-0.07706234169262655
prevclose_1000close_to_1001,15.0,30.0,120,-0.4379310402284772,1291,-447.2709999999977,-0.3464531371030191,0.47095274980635166,0.7921236091874969,1278,949,-217.47000000000912,-0.22915700737619507,0.5015806111696522,0.9269883071171179,841,290.80999999999995,0.030633333333333516,True,-664.7410000000068,-0.29675937500000305,0.48392857142857143,0.8704255052060497,-0.07706234169262655
