strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits,oos_n,oos_net_points,oos_ev_points,oos_wr,oos_pf,oos_time_exits,oos_compound_final,oos_compound_dd,oos_stalled,full_net_points,full_ev_points,full_wr,full_pf,robust_score
london_us_same1530,15.0,30.0,1440,-0.47240461185109245,1291,-466.1729999999893,-0.3610945003872884,0.5081332300542215,0.9247726953283931,966,937,-1567.5579999999982,-1.6729541088580557,0.535752401280683,0.8017117806799664,359,297.78200000000083,0.1803729005763583,True,-2033.7309999999875,-0.9128056552962241,0.5197486535008977,0.8557873954134193,-0.27798015034809764
london_us_same1530,20.0,30.0,1440,-0.20372106312061475,1291,-198.81199999999035,-0.15399845081331553,0.5003872966692486,0.9686320617778568,1064,937,-1580.0179999999982,-1.6862518676627516,0.49626467449306294,0.8166475193156157,424,292.54600000000073,0.2130635126011062,True,-1778.8299999999886,-0.7983976660682175,0.4986535008976661,0.8810580281000022,-0.34475582429351875
london_us_same1530,30.0,30.0,1440,-0.033790896536448255,1291,-32.75999999999044,-0.02537567776916378,0.4965143299767622,0.9948761381472,1166,937,-2044.7720000000004,-2.182254002134472,0.4535752401280683,0.7838016039586163,539,289.0460000000005,0.220166679706784,True,-2077.531999999991,-0.9324649910233354,0.4784560143626571,0.8689375398425324,-0.3674466492198989
london_us_same1530,25.0,30.0,1440,-0.2150164149749965,1291,-209.91299999998978,-0.1625972114639735,0.4972889233152595,0.9671605627007472,1137,937,-1525.2730000000006,-1.6278260405549634,0.4759871931696905,0.8300106455586218,488,289.8720000000005,0.22967844804676876,True,-1735.1859999999904,-0.7788087971274643,0.4883303411131059,0.8870678718324557,-0.3788607004926973
london_us_same1530,15.0,25.0,1440,-0.42822220044734594,1291,-421.8619999999896,-0.32677149496513525,0.5073586367157242,0.9313912661785413,927,937,-1198.831999999999,-1.279436499466381,0.5250800426894343,0.8381767209361313,325,240.7200000000007,0.3237138426269276,True,-1620.6939999999886,-0.7274210053859913,0.5148114901256733,0.8804541211209966,-0.7057188062747998
london_us_same1530,20.0,25.0,1440,-0.16864645953661764,1291,-164.3639999999907,-0.1273152594887612,0.49961270333075136,0.9739099668136392,1022,937,-1210.581999999999,-1.2919765208110983,0.48452508004268946,0.8497943482080831,389,240.08100000000059,0.3411300746741729,True,-1374.9459999999897,-0.6171211849192054,0.49326750448833034,0.9042474971401963,-0.7345012202657806
london_us_same1530,25.0,25.0,1440,-0.18283602552421313,1291,-178.28099999998994,-0.13809527498062737,0.4965143299767622,0.9719539763368918,1094,937,-1215.0110000000013,-1.2967033084311648,0.4631803628601921,0.8554254872682172,452,234.62800000000038,0.3670181913340924,True,-1393.2919999999913,-0.6253554757630122,0.48249551166965887,0.905608492019086,-0.7963084804711953
london_us_same1530,30.0,25.0,1440,-0.0011649367116790654,1291,-1.1279999999906067,-0.0008737412858176659,0.4957397366382649,0.9998225925271205,1123,937,-1694.8759999999997,-1.808832443970117,0.4407684098185699,0.8083675668170553,498,233.80200000000036,0.36921254765264194,True,-1696.0039999999904,-0.7612226211849149,0.47262118491921007,0.8884402757281546,-0.8031266928138507
london_us_same1530,12.0,25.0,1440,-0.4448963533244542,1291,-438.84199999999123,-0.33992408985282047,0.5236250968241674,0.9264326942855188,829,937,-1107.1309999999985,-1.181569903948771,0.5613660618996799,0.8367156864769392,280,230.52700000000073,0.4221236786230837,True,-1545.9729999999897,-0.6938837522441605,0.5394973070017953,0.8787050240613117,-0.896600000354647
london_us_same1530,30.0,20.0,120,-0.44654594875331793,1291,-446.0019999999988,-0.3454701781564669,0.4740511231603408,0.877723551736551,1237,937,-1200.997000000003,-1.2817470651013907,0.4621131270010672,0.7929747771629058,689,198.92499999999973,0.389564678372623,True,-1646.9990000000018,-0.7392275583482952,0.46903052064631956,0.8256904124376897,-0.9952016229515384
london_us_same1530,20.0,20.0,1440,0.06426162265271194,1291,62.062000000008084,0.048072811773825004,0.49806351665375675,1.0102681920324987,970,937,-965.1339999999989,-1.0300256136606178,0.4631803628601921,0.8716356928249661,337,198.74700000000053,0.44917659318548225,True,-903.0719999999908,-0.40532854578096533,0.4833931777378815,0.9334155778315003,-1.0855147053535237
london_us_same1530,30.0,20.0,1440,0.22957687536820032,1291,220.2980000000082,0.1706413632842821,0.4941905499612703,1.036129416976127,1071,937,-1306.0639999999996,-1.3938783351120594,0.4215581643543223,0.8395559874255404,441,197.4680000000003,0.4546378484669376,True,-1085.7659999999914,-0.4873276481148974,0.4636445242369838,0.9237404935137713,-1.1001627014594049
london_us_same1530,25.0,20.0,1440,0.04982190613901341,1291,48.14500000000885,0.03729279628195883,0.4949651432997676,1.0078978601384045,1042,937,-1059.0360000000012,-1.1302411953041636,0.439701173959445,0.8651641789942606,397,198.29400000000032,0.4582101541538467,True,-1010.8909999999923,-0.4537212746858134,0.47172351885098746,0.9275358277555238,-1.1013469280050585
london_us_same1530,15.0,20.0,1440,-0.21314679373336215,1291,-208.21299999999087,-0.16128040278852895,0.5058094500387297,0.9647742078032963,876,937,-942.5119999999993,-1.0058826040554956,0.503735325506937,0.8636909588701926,281,193.39600000000064,0.4511704727012657,True,-1150.7249999999901,-0.5164833931777335,0.5049371633752244,0.9102771904419805,-1.1157982834260565
london_us_same1530,8.0,20.0,1440,-0.42746521652228436,1291,-422.3009999999929,-0.3271115414407381,0.5654531371030209,0.9203619778092763,601,937,-812.3929999999996,-0.8670149413020273,0.6339381003201707,0.8480389580290987,155,199.8350000000005,0.4870448898289413,True,-1234.6939999999925,-0.5541714542190271,0.5942549371633752,0.8840534117545644,-1.1368577833513616
london_us_same1530,10.0,20.0,1440,-0.24779412682351157,1291,-242.58999999999196,-0.18790859798605108,0.5422153369481022,0.9560849712992792,701,937,-936.7779999999982,-0.9997630736392724,0.575240128068303,0.8424951055986843,204,195.90000000000055,0.49275249739773347,True,-1179.3679999999902,-0.5293393177737837,0.5561041292639138,0.8971931683294423,-1.1653068958023034
london_us_same1530,30.0,20.0,480,-0.402969614809862,1291,-398.1259999999945,-0.3083857474825674,0.46630518977536795,0.9201190531605999,1172,937,-815.6980000000049,-0.8705421558164407,0.4567769477054429,0.8817512113028543,545,188.63400000000024,0.4684539475538054,True,-1213.8239999999994,-0.5448043087971272,0.4622980251346499,0.8978446901371242,-1.1666547663194644
london_us_same1530,12.0,20.0,1440,-0.2032799825099483,1291,-198.5509999999922,-0.15379628195196918,0.52285050348567,0.9652450617778838,782,937,-886.4059999999984,-0.9460042689434347,0.5410885805763074,0.8603966981144707,243,193.93800000000056,0.5198615570866565,True,-1084.9569999999906,-0.48696454219030094,0.5305206463195691,0.9100542522853557,-1.2160362899307302
london_us_same1530,25.0,15.0,120,-0.43798599324383886,1291,-437.451,-0.33884663051897757,0.47327652982184354,0.8777365964036837,1190,937,-1131.808000000002,-1.2079060832443993,0.4450373532550694,0.7896406072908955,582,149.9949999999999,0.5077224512300788,True,-1569.259000000002,-0.7043352782764821,0.4614003590664273,0.8248261136357115,-1.4547641912939655
