family,param,tp,sl,score,positive_train_years,train_n,train_net,train_ev,train_pf,train_pos,train_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_ev,oos_pf,oos_pos,oos_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_ev,all_pf,all_pos,all_dd,all_tp,all_sl,all_eod
orb_10_15,b=0.0,10.0,15.0,-0.9578830471239868,0,783,-658.176000000004,-0.8405823754789323,0.8494488969933964,0.524904214559387,750.6330000000044,351,257,175,166,-387.02300000000014,-2.3314638554216875,0.6819920412350464,0.5,436.0,83,81,2,949,-1045.1990000000042,-1.1013688092729232,0.8129833214673409,0.5205479452054794,1130.4880000000044,434,338,177
orb_10_15,b=0.0,10.0,20.0,-0.8647787841758435,0,783,-638.8210000000026,-0.8158633461047288,0.8598334732465823,0.5555555555555556,715.2060000000029,370,176,237,166,-230.70300000000043,-1.3897771084337376,0.8140546125865736,0.608433734939759,331.6899999999996,101,61,4,949,-869.5240000000031,-0.9162528977871476,0.8500378301254038,0.5648050579557429,955.9090000000033,471,237,241
orb_10_15,b=0.0,10.0,25.0,-1.2378278730595174,0,783,-961.8850000000041,-1.228461047254156,0.8053384520735343,0.5644955300127714,1041.7130000000043,376,128,279,166,-325.70300000000043,-1.9620662650602436,0.7666387476418691,0.6445783132530121,431.6899999999996,107,55,4,949,-1287.5880000000045,-1.3567839831401522,0.7968150028806897,0.5785036880927292,1377.4160000000047,483,183,283
orb_10_15,b=0.0,10.0,30.0,-1.238259514652082,0,783,-954.1220000000055,-1.2185466155811053,0.8077745455527147,0.5683269476372924,1033.9500000000057,379,84,320,166,-360.70300000000043,-2.1729096385542195,0.7580316132723954,0.6807228915662651,441.6899999999996,113,49,4,949,-1314.825000000006,-1.3854847207586996,0.7962857089736075,0.5879873551106428,1404.6530000000062,492,133,324
orb_10_15,b=0.0,10.0,35.0,-1.317473972563471,0,783,-1007.4510000000071,-1.2866551724138022,0.8003816610876477,0.5721583652618135,1087.2790000000073,382,61,340,166,-425.70300000000043,-2.5644759036144604,0.7332191516842418,0.7048192771084337,486.6899999999996,117,45,4,949,-1433.1540000000075,-1.5101728134878898,0.7842476781267054,0.59536354056902,1527.9820000000077,499,106,344
orb_10_15,b=0.0,10.0,40.0,-1.3951121580785117,0,783,-1071.929000000006,-1.369002554278424,0.7907121996706613,0.5747126436781609,1151.7570000000062,383,43,357,166,-264.86300000000074,-1.5955602409638598,0.8239952739883959,0.7469879518072289,345.8499999999999,124,36,6,949,-1336.7920000000067,-1.408632244467868,0.7982705306763266,0.6048472075869337,1426.620000000007,507,79,363
orb_10_15,b=0.0,15.0,15.0,-1.200747605290733,0,783,-794.6160000000023,-1.0148352490421484,0.8401277986125638,0.4521072796934866,979.5710000000029,243,289,251,166,-482.02300000000014,-2.9037530120481936,0.6725438393285974,0.39759036144578314,512.0230000000001,66,98,2,949,-1276.6390000000024,-1.3452465753424683,0.8018362263542934,0.44257112750263433,1369.0760000000025,309,387,253
orb_10_15,b=0.0,15.0,20.0,-1.0780426272363663,0,783,-807.8240000000014,-1.0317037037037056,0.8455806172157009,0.48020434227330777,907.7080000000021,257,198,328,166,-376.28300000000036,-2.266765060240966,0.7657430228670786,0.4939759036144578,460.70300000000043,82,79,5,949,-1184.1070000000018,-1.2477418335089587,0.826825368434492,0.48261327713382507,1332.060000000002,339,277,333
orb_10_15,b=0.0,15.0,25.0,-1.4769428895640277,0,783,-1096.2220000000027,-1.4000280970625834,0.8048135759564775,0.4904214559386973,1163.1980000000028,263,144,376,166,-491.28300000000036,-2.9595361445783155,0.7309929512567328,0.536144578313253,565.7030000000004,89,72,5,949,-1587.505000000003,-1.6728187565858832,0.7866992092108027,0.49841938883034775,1728.9010000000033,352,216,381
orb_10_15,b=0.0,15.0,30.0,-1.5451176661652621,0,783,-1198.4590000000042,-1.5305989782886387,0.7915186502819241,0.4929757343550447,1265.4350000000043,265,101,417,166,-541.0830000000005,-3.2595361445783166,0.7262117824218493,0.5783132530120482,665.7030000000004,95,65,6,949,-1739.5420000000047,-1.8330263435194991,0.7748107977395403,0.5079030558482613,1931.1380000000047,360,166,423
orb_10_15,b=0.0,15.0,35.0,-1.689991862272636,0,783,-1316.785000000005,-1.6817177522350002,0.7766966911967325,0.4955300127713921,1383.7610000000052,267,74,442,166,-659.5930000000008,-3.9734518072289204,0.69389495881971,0.6024096385542169,774.2130000000006,99,60,7,949,-1976.3780000000058,-2.0825900948366765,0.7545371513225007,0.5142255005268704,2157.974000000006,366,134,449
orb_10_15,b=0.0,15.0,40.0,-1.7562817002083053,0,783,-1335.604000000004,-1.7057522349936194,0.7753812839151207,0.49936143039591313,1402.580000000004,269,53,461,166,-498.4630000000002,-3.0027891566265072,0.7625182650588175,0.6506024096385542,571.683,106,50,10,949,-1834.067000000004,-1.9326311907270854,0.772025321915459,0.5258166491043204,1974.263000000004,375,103,471
orb_10_15,b=0.0,20.0,15.0,-1.0140969301384293,0,783,-637.329000000004,-0.8139578544061354,0.8766460079583213,0.43039591315453385,816.5550000000044,171,301,311,166,-572.0230000000001,-3.445921686746989,0.6537439248727166,0.3253012048192771,617.0230000000001,54,110,2,949,-1209.3520000000042,-1.2743435194942088,0.8226415924466424,0.41201264488935724,1329.9200000000042,225,411,313
orb_10_15,b=0.0,20.0,20.0,-0.9494586534364169,0,783,-688.8240000000028,-0.8797241379310381,0.8740861602333049,0.45721583652618136,785.5270000000044,179,208,396,166,-406.28300000000036,-2.447487951807231,0.7775355736213937,0.42771084337349397,520.7030000000004,71,90,5,949,-1095.1070000000032,-1.1539589041095923,0.8499212197649924,0.4520547945205479,1298.8960000000036,250,298,401
orb_10_15,b=0.0,20.0,25.0,-1.3581403029925085,0,783,-1010.3390000000036,-1.2903435504470033,0.8279074814006555,0.4674329501915709,1083.3710000000035,182,152,449,166,-507.116,-3.054915662650602,0.7557577651986748,0.4759036144578313,606.5360000000001,78,82,6,949,-1517.4550000000036,-1.5990042149631227,0.8090576428973812,0.46891464699683877,1689.9070000000036,260,234,455
