tp,sl,rr,threshold,val_wr,val_ev,freq_ok,all_years_positive,n,pos,neg,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
10.0,10.0,1.0,0.54,0.512396694214876,0.1005454545454553,False,False,327,161,166,0.4923547400611621,-25.806000000001177,-0.07891743119266414,0.9825733807479271,108.29199999999992,6,86,86,90,65,-59.42900000000054,52.38699999999949,11.235999999999876,-30.0
15.0,15.0,1.0,0.52,0.5125284738041003,0.27902733485193554,True,False,632,297,335,0.4699367088607595,-451.15600000000177,-0.7138544303797496,0.8844328524482153,668.2010000000016,7,157,165,188,122,-204.46799999999985,4.140999999998712,-376.83900000000085,126.01000000000022
20.0,20.0,1.0,0.52,0.4956521739130435,0.011404347826088151,True,False,659,324,335,0.49165402124430957,-164.71600000000194,-0.24994840667678594,0.9623334526258255,280.6440000000007,7,156,177,199,127,-69.702,63.348999999999705,-31.17600000000175,-127.1869999999999
15.0,10.0,1.5,0.5,0.4696261682242991,-0.2812500000000016,False,False,336,154,182,0.4583333333333333,214.06799999999885,0.6371071428571394,1.1422847662751303,130.06700000000046,7,131,88,68,49,-91.65600000000018,16.434999999999718,179.2889999999993,110.0
20.0,15.0,1.3333333333333333,0.52,0.5117370892018779,0.10724178403756122,True,False,462,192,270,0.4155844155844156,-552.1840000000025,-1.1952034632034685,0.8161315446763004,626.1020000000024,11,130,129,127,76,-105.1970000000008,-116.2290000000014,-170.75800000000027,-160.0
25.0,20.0,1.25,0.54,0.5163043478260869,0.46514945652174083,False,False,433,200,233,0.4618937644341801,-109.93900000000053,-0.25390069284064787,0.965462937191232,454.49399999999787,10,97,101,141,94,-117.85399999999959,-13.614000000000033,142.00899999999956,-120.48000000000047
30.0,25.0,1.2,0.54,0.5153846153846153,-0.06832564102563853,True,False,404,172,232,0.42574257425742573,-841.3710000000005,-2.0826014851485164,0.7503844935187919,966.644,8,101,106,124,73,-235.20299999999997,-75.84199999999964,-113.34600000000091,-416.98
