strategy,trades,positive,negative,tp,sl,time,net_points
A 15/12,35,22,13,22,13,0,174.0
B 20/20,46,26,20,26,20,0,120.0
C 30/20,166,75,91,75,89,2,459.9499999999998
A 6/12,35,27,8,27,8,0,66.0
