tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,b_full_dd,ab_full_final,ab_full_dd,b_ret_2023,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026,b_train_score,ab_train_score,b_ret_2024,b_ret_2025,b_ret_2026
25.0,20.0,600.7780000000039,0.415353679647587,0.6482649842271293,3,928.4989999999993,0.6358664240496087,0.7043650793650794,504,195,4,0.09943833911456809,0.09979342760485778,198.51499999999896,0.3969738576783602,0.5381818181818182,1,1567.974999999997,0.7517677966914017,0.6889250814332247,614,195,4,0.19889340680787287,0.19547953573610372,1624.0420000000042,0.6782870563011746,198.51499999999896,0.3969738576783602,0.20265000000000244,0.3862066666666699,0.16788501954975787,0.342193094615977,1.4053307766059522,0.43371553975616217,-0.8488325184991409,0.19657146024751437,0.321233585890746,0.6278061497302783
30.0,20.0,585.3660000000045,0.4355551304105324,0.6466876971608833,3,906.3129999999971,0.6840076976555999,0.7003968253968254,504,195,4,0.09833489521925243,0.09999962500140654,193.2479999999989,0.4129733473471919,0.5381818181818182,1,1265.4789999999975,0.712299871551178,0.6856677524429967,614,195,2,0.19733450418472404,0.19518002917941418,1756.6269999999995,0.7124315823921006,193.2479999999989,0.4129733473471919,0.23045000000000226,0.40163666666666886,-0.07913367943665384,-0.014531940828902856,2.316340355723052,0.3804553919153316,-0.8973221554494252,0.2663388733119383,0.08106321531713401,0.793461074953054
12.0,20.0,718.154000000002,0.3899625491530182,0.6529968454258676,4,705.8630000000019,0.5446315300714185,0.7301587301587301,504,195,3,0.09651892434484745,0.0996943123148643,197.52999999999906,0.39996597792210375,0.5374449339207048,1,1632.547,0.6667907851408755,0.7100977198697068,614,195,4,0.1985600425712727,0.18390009811070235,1746.0560000000082,0.6009451527202023,197.52999999999906,0.39996597792210375,0.13954333333333424,0.36655666666666775,0.3197989106440311,1.1947959059204396,0.3747220110025118,0.7464521147165667,-0.8578460733111367,0.1261236226207625,1.1140396903735192,-0.13270046678617875
15.0,20.0,745.6880000000035,0.424208005521288,0.6498422712933754,4,689.0430000000006,0.613851166091416,0.7162698412698413,504,195,3,0.0981927622114973,0.09999283384690755,194.4589999999987,0.4092947101744272,0.5328185328185329,1,1464.305999999997,0.6931033797125492,0.6986970684039088,614,195,4,0.19983987829751415,0.1997443272611057,1724.1680000000051,0.6344017498068082,194.4589999999987,0.4092947101744272,0.17322666666666686,0.37324666666666717,0.25029249418652677,0.7536925729195716,0.6210520023115111,0.7378440000480282,-0.8861089894691431,0.1337053368488088,0.7794315185901683,-0.02957567358596591
20.0,20.0,616.6370000000038,0.41554155732381487,0.6482649842271293,3,613.3800000000006,0.6627912719657828,0.7083333333333334,504,195,3,0.09877811472090241,0.09986642865167808,193.51499999999896,0.4121622853115779,0.5381818181818182,1,1434.7219999999982,0.7165473419398002,0.6921824104234527,614,195,4,0.19810479743784418,0.1972688132801363,1623.9920000000056,0.689576601022783,193.51499999999896,0.4121622853115779,0.1984666666666688,0.3984866666666691,0.23827661329151217,0.4296477092051334,0.9317079607174712,0.45951694309557545,-0.894846530981627,0.34240696445458574,0.3951753758942771,-0.0891027354539784
15.0,15.0,460.59200000000465,0.4563757699994442,0.6451104100946372,3,601.3690000000017,0.5399210980541379,0.7043650793650794,504,195,4,0.09653231781334953,0.0999806704037218,196.93199999999933,0.396456558982265,0.5377777777777778,1,1083.6540000000002,0.7197780072911477,0.6889250814332247,614,195,4,0.19447515531272058,0.18054506555290414,823.3950000000079,0.6140057264246753,196.93199999999933,0.396456558982265,0.023493333333334032,0.37822333333333447,0.2669257764223081,0.5131836161211913,0.3671210894034471,0.11262285443072001,-0.856140337796771,0.2616398738959438,0.4362209074200245,0.08088157320051947
6.0,20.0,473.44000000000074,0.35477816777500326,0.668769716088328,3,541.0330000000004,0.46977784876643025,0.7678571428571429,504,195,3,0.09692536585287047,0.09924745616363911,198.4089999999992,0.3938656116822233,0.5384615384615384,1,887.3229999999992,0.5933885108572986,0.741042345276873,614,195,3,0.1994336085517128,0.16613066453650255,717.7090000000014,0.4790013488054494,198.4089999999992,0.3938656116822233,0.1499166666666678,0.4076333333333355,-0.0717563759501777,1.051907201240852,0.10319237420787442,0.2772921874994457,-0.8451704937020738,0.06874411189216523,1.0207572757601242,-0.27381337470957645
20.0,15.0,553.2740000000058,0.495383838868648,0.6435331230283912,4,467.14300000000253,0.6447134444455251,0.6984126984126984,504,195,4,0.09279106236487282,0.09997045317717157,196.30499999999915,0.39837814479624256,0.5374449339207048,1,1071.9720000000025,0.7533271982052885,0.6840390879478827,614,195,4,0.19967652403106884,0.19967652403106884,1547.3310000000147,0.6835896551533379,196.30499999999915,0.39837814479624256,0.04301666666666892,0.3791966666666713,0.22846391256746768,0.21579104759505818,0.734661117332174,0.3433027008885199,-0.8619233979555793,0.12381713299564523,0.23175163800163445,0.07849601632717085
12.0,15.0,655.6030000000044,0.45273290230910973,0.6482649842271293,4,457.5790000000038,0.5595308956005729,0.7162698412698413,504,195,3,0.09779951100244488,0.09990525651507094,193.93199999999933,0.40565074947976265,0.5377777777777778,1,1008.8940000000027,0.6950574107315028,0.6986970684039088,614,195,4,0.19968599377478727,0.1762114537444932,1225.9560000000156,0.6437819893166705,193.93199999999933,0.40565074947976265,0.017706666666668536,0.2027166666666691,0.33756357135929016,0.5165235913661625,0.37847010632687095,0.5705835300466643,-0.8839034042993773,0.24931872969291158,0.38053178548207733,-0.13103446966172128
10.0,20.0,564.1240000000014,0.3513387409374793,0.6561514195583596,3,443.80100000000107,0.5711911425044902,0.7321428571428571,504,195,3,0.09666482197964697,0.09974614605828147,195.85399999999913,0.40505713886475814,0.5374449339207048,1,727.9419999999986,0.6742478827323097,0.7117263843648208,614,195,3,0.19434772046319532,0.16462215100789943,819.820000000004,0.6362349236174037,195.85399999999913,0.40505713886475814,0.11227000000000098,0.3456233333333345,0.3693331714917738,0.4163666689581036,-0.07024785999473793,0.45718431056702913,-0.8732401284266319,0.18051372418567668,0.5378977698234375,-0.26741454702121603
6.0,15.0,431.88300000000186,0.3653341646609993,0.6656151419558359,4,413.8630000000014,0.4592954552713091,0.7579365079365079,504,195,3,0.09953640917427048,0.09976488741532467,197.14799999999923,0.392325000770583,0.5330188679245284,1,613.0130000000004,0.5573361443867187,0.7328990228013029,614,195,3,0.19977525284055436,0.19977525284055436,576.6920000000048,0.4896196618413689,197.14799999999923,0.392325000770583,0.046426666666668615,0.16248000000000284,-0.03990606290000853,0.7442231361270149,0.04965642888086386,0.27117112128026066,-0.8494665099842921,0.07562562116154004,0.8712496557279477,-0.34501149774555484
4.0,20.0,197.37299999999982,0.4024993112968519,0.6343115124153499,1,383.38000000000034,0.4829298074669755,0.7896825396825397,504,195,3,0.09943982233418404,0.09988612981201421,198.03999999999883,0.39099281947199555,0.5330188679245284,1,792.4969999999989,0.5769476077739308,0.758957654723127,614,195,3,0.19919921913906088,0.17556770549102657,197.37299999999982,0.4024993112968519,198.03999999999883,0.39099281947199555,0.19555333333333458,0.43420666666666885,-0.08751411930405284,0.9243036311027757,0.04897438375003471,-0.8620612053780519,-0.8431537504501786,0.004990715596125517,0.6628381827462984,-0.360372384797624
8.0,20.0,199.0129999999997,0.40500955211207984,0.5752895752895753,1,367.7460000000008,0.5169988552168199,0.7420634920634921,504,195,3,0.09658196428398946,0.09989361330183351,198.95499999999925,0.395888684773864,0.536036036036036,1,915.6159999999986,0.6386133510946193,0.7198697068403909,614,195,3,0.19822862897151092,0.18787810468568023,199.0129999999997,0.40500955211207984,198.95499999999925,0.395888684773864,0.08253666666666737,0.3431900000000012,0.3643937194291189,0.6944880973168013,-0.017174458145845506,-0.8571752207835438,-0.8451535306010866,0.16303989703197264,0.5772576844669182,-0.38271343827738613
