reclaim,wait,tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reclaims,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reclaims,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
0.5,30,10.0,6.0,498.88399999999956,0.4055304811652746,0.629881154499151,3,456.22300000000223,0.5520138561223423,0.6788793103448276,2,155,191.0029999999988,0.44098864434558865,0.5375939849624061,1,1028.7320000000027,0.5923689720421424,0.6672473867595818,4,155,0.19977525284055436,0.19977525284055436,0.10350333333333084,0.7625803879160704,0.20775864432806057,0.45974923800820555
0.5,30,10.0,8.0,532.7989999999993,0.33642751514124014,0.6451612903225806,4,682.4000000000028,0.4553464192097612,0.7004310344827587,3,155,196.46999999999912,0.3946797628877435,0.5370370370370371,1,993.3610000000015,0.5842584890706051,0.6846689895470384,4,155,0.19564334869677028,0.1979019099183485,0.17082333333333133,0.6807403337252751,0.3862184617730018,0.21384205747830065
0.5,30,10.0,10.0,550.5039999999995,0.3495212304814974,0.6519524617996605,3,594.458000000001,0.3648892179834393,0.7155172413793104,3,155,198.4899999999991,0.38928032983600697,0.5388127853881278,1,1462.5389999999995,0.5158953729980554,0.6968641114982579,4,155,0.1947564266577729,0.19998400127989766,0.3627733333333323,0.5938502856919226,0.46487737428581544,0.5321940748361254
0.5,30,10.0,12.0,191.70599999999968,0.42260533282734,0.6151898734177215,1,849.8370000000014,0.3190531717303691,0.7306034482758621,4,155,197.8069999999991,0.394850599468297,0.5373831775700935,1,2200.1619999999994,0.5038999893150979,0.7090592334494773,4,155,0.19166849017938586,0.1990972928741087,0.4592966666666667,0.7018952052244329,0.5329572617911587,0.926313430143886
0.5,30,10.0,15.0,192.6559999999995,0.3837433586140517,0.6242774566473989,1,727.0399999999997,0.3593378271213324,0.74235807860262,3,149,197.20299999999907,0.3918593033009349,0.5226130653266332,1,2002.8859999999977,0.49707177232675115,0.7160278745644599,4,155,0.1990237883182991,0.1990237883182991,0.4022733333333335,0.7451067552212802,0.5200010897178311,0.7948840652181328
0.5,30,12.0,6.0,458.49199999999973,0.42300823733830933,0.6247877758913413,3,198.87600000000157,0.49907813208402374,0.6509433962264151,1,101,195.1559999999988,0.4288339967220812,0.5375939849624061,1,927.9860000000026,0.5597823226208725,0.6602787456445993,4,155,0.19396290459449628,0.19608515978489333,0.13683666666666405,0.14921815212388378,0.637961739236927,0.44549258083509424
0.5,30,12.0,8.0,515.7919999999992,0.4292280235114152,0.6417657045840407,3,501.32900000000245,0.44839578601812663,0.6918103448275862,3,155,196.62299999999914,0.394208372872585,0.5370370370370371,1,1082.9540000000018,0.5516843189381956,0.6777003484320557,4,155,0.19977525284055436,0.19977525284055436,0.16817999999999755,0.429308839391195,0.6549060005150664,0.3064102471307206
0.5,30,12.0,10.0,516.4979999999996,0.38229875813570785,0.6485568760611206,3,546.1200000000013,0.32148138622773675,0.7047413793103449,3,155,198.64299999999912,0.3888095750899991,0.5388127853881278,1,1706.3180000000007,0.4902992042200502,0.6881533101045296,4,155,0.17971106952796628,0.1956238935023523,0.3119666666666665,0.500754592342286,0.7442854192272665,0.6561081141938698
0.5,30,12.0,12.0,482.2339999999999,0.38253562005277053,0.6478632478632479,3,885.1930000000016,0.31533947369363996,0.7219827586206896,4,155,199.8069999999991,0.38873201518632816,0.5373831775700935,1,2036.7749999999996,0.4659216118369277,0.7020905923344948,4,155,0.17989251422275201,0.1995293601218128,0.50394,0.3644382976271203,0.6305371907538868,1.0291150905332378
0.5,30,12.0,15.0,192.6559999999995,0.3837433586140517,0.6242774566473989,1,910.3420000000006,0.349671206221679,0.7321814254859611,4,154,197.20299999999907,0.3918593033009349,0.5226130653266332,1,2065.405999999998,0.509470093076724,0.7090592334494773,4,155,0.1905840065713369,0.19902576886142317,0.5023900000000003,0.651393224573287,0.6194923896059588,0.7134525628709343
0.5,30,15.0,6.0,410.02300000000105,0.507199507199505,0.6230899830220713,3,493.613000000003,0.5326684119317111,0.665948275862069,3,155,932.4350000000002,0.46124568189810206,0.6160458452722063,4,1192.676000000003,0.5509851419298697,0.6567944250871081,4,155,0.17374307742425887,0.19750095458794648,0.22320999999999613,0.0701841875066509,0.8962105123778368,0.601603919019813
0.5,30,15.0,8.0,695.4620000000002,0.39720339850547665,0.6400679117147708,3,622.3660000000027,0.45782191319458787,0.6875,3,155,199.62299999999914,0.3849654313988904,0.5370370370370371,1,1263.226000000002,0.5695986129248565,0.6742160278745645,4,155,0.19536782877963424,0.19810414334815782,0.18335666666666461,0.43804488362201965,0.7104772426329429,0.44661977540751097
0.5,30,15.0,10.0,691.0210000000002,0.4204412240546149,0.6468590831918506,3,848.1040000000016,0.3783099543966414,0.7004310344827587,3,155,196.01599999999894,0.3968924033106698,0.5384615384615384,1,1633.2720000000006,0.561709430822945,0.6846689895470384,4,155,0.1965164189468029,0.1986685235551335,0.338543333333333,0.46769747212766344,0.8430976648064965,0.503557120131974
0.5,30,15.0,12.0,618.9430000000002,0.3915487290905983,0.6485568760611206,3,917.4890000000014,0.3664169472535752,0.7155172413793104,4,155,195.35299999999916,0.40235810238227265,0.5348837209302325,1,2058.919,0.5027542781671481,0.6968641114982579,4,155,0.19026802819296507,0.1998181654694227,0.39727333333333337,0.41690960012595957,0.6633229114578336,1.0840969755617613
0.5,30,15.0,15.0,192.6559999999995,0.3837433586140517,0.6242774566473989,1,1004.1010000000006,0.3775042324032208,0.7262931034482759,4,155,197.20299999999907,0.3918593033009349,0.5226130653266332,1,2549.5639999999976,0.5283358597711593,0.705574912891986,4,155,0.18536122931567312,0.19883408662455565,0.5090500000000004,0.7355090951260688,0.7494969396365752,0.8548165090894291
0.5,30,20.0,6.0,493.29899999999975,0.48081573151214513,0.6230899830220713,3,191.48599999999988,0.4854601639124017,0.6201117318435754,0,52,920.5679999999991,0.4610817107770862,0.6160458452722063,4,1158.7170000000042,0.5532782470578295,0.6480836236933798,4,155,0.19893074723361914,0.19893074723361914,0.15583666666666507,0.14847253504677327,0.6490731579925346,0.7644084133652651
0.5,30,20.0,8.0,686.1689999999994,0.4289803449826163,0.6400679117147708,3,602.4870000000037,0.469257690941139,0.6788793103448276,3,155,194.66899999999896,0.400228608752452,0.5370370370370371,1,1187.6650000000031,0.5962524460135036,0.6672473867595818,4,155,0.1976125928624794,0.19950074937468928,0.20456999999999947,0.6188736782973789,0.3703347270321744,0.48149788253197845
