reclaim,wait,tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reclaims,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reclaims,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
1.5,60,12.0,8.0,568.3190000000002,0.3952250044533886,0.6545138888888888,2,368.7179999999992,0.3476571031249031,0.7020316027088036,3,134,194.7709999999986,0.4086738721233849,0.5555555555555556,1,1061.5439999999971,0.5451905216382931,0.6853526220614828,4,134,0.1710512811740966,0.1999695046505406,0.3494866666666667,0.2600742010542245,0.3673687016795501,0.5218308809193419
1.5,60,12.0,10.0,569.2699999999998,0.3708501376621846,0.6597222222222222,2,757.1429999999996,0.3492966595283559,0.7178329571106095,3,134,196.82499999999868,0.4020694033908835,0.5555555555555556,1,1525.2709999999972,0.5153388231904418,0.6980108499095841,4,134,0.1933729167693965,0.1999230296335908,0.3831800000000005,0.3753138902143336,0.6440934865041021,0.6256188244121386
1.5,60,12.0,12.0,560.3479999999993,0.3804233243411496,0.6631944444444444,2,833.8969999999997,0.3163413420416428,0.7291196388261851,4,134,197.9629999999986,0.398612296727903,0.5477178423236515,1,2260.2249999999967,0.52165114579625,0.7070524412296564,4,134,0.1892408681424831,0.1997960415409275,0.6534100000000005,0.594770806998866,0.4515329760834727,0.9684513052755368
1.5,60,12.0,15.0,195.13799999999924,0.3957771468028277,0.6275071633237822,1,807.2639999999992,0.3459983909278986,0.7404063205417607,4,134,196.0789999999988,0.3889925867296573,0.5376884422110553,0,2857.6029999999955,0.5508560822235882,0.7160940325497287,4,134,0.186392855561847,0.1998398283775558,0.8551133333333345,0.7627728045366464,0.4765948077709105,0.9726612467321998
1.5,60,15.0,8.0,684.4150000000009,0.3678497382822036,0.6527777777777778,2,607.2449999999992,0.4005498456972759,0.6975169300225733,4,134,1262.1230000000007,0.3904578298621668,0.6408759124087591,4,1785.7689999999968,0.5931026374642597,0.6817359855334539,4,134,0.1742238689604215,0.1985890249775351,0.3736166666666667,0.4164771831054239,0.6785230311679262,0.8226428882726464
1.5,60,15.0,10.0,621.3750000000002,0.4149977546611571,0.6579861111111112,2,982.0159999999996,0.387381183084155,0.7133182844243793,4,134,1021.2950000000008,0.4078434778293334,0.6452554744525547,4,2235.1569999999974,0.5378273113760145,0.6943942133815552,4,134,0.178285296588734,0.1987761353347445,0.4793099999999997,0.4552888396166663,0.8396880375692679,0.8811966768701465
1.5,60,15.0,12.0,634.1959999999995,0.3798956330678384,0.6614583333333334,2,930.6599999999996,0.3235926191240769,0.7223476297968398,4,134,187.27999999999884,0.4310659614736167,0.5490196078431373,1,2678.692999999996,0.5389036977681362,0.701627486437613,4,134,0.1925496754093854,0.1987387048099242,0.8203766666666661,0.50948979423672,0.4662340844687695,1.216189718977445
1.5,60,15.0,15.0,198.13799999999924,0.3864879844685231,0.6275071633237822,1,1043.945999999999,0.3577265980595806,0.7358916478555305,4,134,196.0789999999988,0.3889925867296573,0.5376884422110553,0,3231.4499999999944,0.5956443811534794,0.7124773960216998,4,134,0.1996173999833658,0.1999992000032004,0.9057466666666673,0.7155533089392749,0.6643675770245983,0.9795093264724832
1.5,60,20.0,8.0,623.8590000000002,0.3855971714973967,0.6510416666666666,2,400.78,0.4887186873125436,0.6884875846501128,3,134,195.82999999999856,0.40545874066428,0.5555555555555556,1,1793.3839999999975,0.6263264416927868,0.674502712477396,4,134,0.1853613929290813,0.1968908474059022,0.6638599999999997,0.5344199632180533,0.2042855762627349,0.9442921819979556
1.5,60,20.0,10.0,550.5399999999997,0.4162030121174156,0.65625,2,692.9310000000007,0.3875523897098008,0.7020316027088036,4,134,197.88399999999865,0.3988522891939621,0.5555555555555556,1,1734.3019999999983,0.5158689529040724,0.6853526220614828,4,134,0.1733347585302371,0.1995639527632119,0.550193333333334,0.573739189520442,0.1686369350166705,1.02770717243734
1.5,60,20.0,12.0,483.0209999999997,0.372519934000374,0.6597222222222222,2,753.3840000000005,0.3616458971864846,0.7133182844243793,4,134,196.0089999999984,0.4045483129137245,0.5477178423236515,1,2664.119999999997,0.5470091069907632,0.6943942133815552,4,134,0.1915892326851237,0.1997882244820493,0.8434100000000004,0.612620089942004,0.0709832521506681,1.7893039618058515
1.5,60,20.0,15.0,197.8709999999994,0.3901923379180912,0.6257142857142857,1,914.58,0.3790935095679622,0.7268623024830699,4,134,196.0789999999988,0.3889925867296573,0.5376884422110553,0,3143.040999999997,0.582904560113936,0.705244122965642,4,134,0.1957985819986983,0.1993936439288129,0.8470466666666683,0.7889170820444844,0.2893043629144201,1.4592646088818777
1.5,120,12.0,8.0,577.3690000000001,0.326802087881555,0.6491525423728813,2,522.146999999999,0.4193580825921474,0.6943231441048034,3,149,196.1939999999986,0.4069158985861691,0.5572519083969466,1,1656.656999999996,0.56887636450685,0.6795774647887324,4,149,0.1675994624247249,0.1988971154945833,0.2984366666666649,0.4245361729875125,0.7204095865749016,0.7353426413884807
1.5,120,12.0,10.0,569.5540000000005,0.3737881811933567,0.6542372881355932,2,756.1719999999993,0.349694662579855,0.7096069868995634,3,149,198.24799999999868,0.4003387779794339,0.5572519083969466,1,1868.005999999997,0.5161264708363743,0.6919014084507042,4,149,0.1985101810909132,0.1999295248424928,0.3696666666666661,0.4442127038208778,0.835113670257672,0.7153312286617357
1.5,120,12.0,12.0,549.4039999999995,0.3586755535572882,0.6593220338983051,2,771.5459999999994,0.3062998215803542,0.7205240174672489,4,149,199.3859999999986,0.3968965517241407,0.5495867768595041,1,1682.223999999998,0.5241508945762284,0.7007042253521126,4,149,0.1999440156756113,0.1999440156756113,0.358476666666667,0.4225370083647586,0.5441685568655175,0.8791095859807174
1.5,120,12.0,15.0,195.13799999999924,0.3957771468028277,0.6275071633237822,1,797.1489999999997,0.3458112550036463,0.7300884955752213,4,143,197.5019999999988,0.3872753107025665,0.54,1,1932.0479999999973,0.5411463029396166,0.7095070422535211,4,149,0.1801723889417399,0.1998760768323642,0.3859366666666666,0.552908863079359,0.5705360323384994,0.9052825901732486
