reclaim,wait,tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reclaims,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reclaims,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026,growth_dd_score
2.0,120,15.0,12.0,565.2880000000009,0.4089628742679319,0.6626297577854672,2,718.4260000000004,0.3513668109850516,0.7060133630289532,4,140,1076.7870000000012,0.3801446744824141,0.6505847953216374,4,2459.898999999997,0.5359988134183048,0.6887298747763864,4,140,0.1885650135127039,0.1980735367812656,0.8588233333333355,0.8303586318943643,0.3107738460302502,0.8386283269514383,943.2140941724439
1.5,60,15.0,10.0,621.3750000000002,0.4149977546611571,0.6579861111111112,2,982.0159999999996,0.387381183084155,0.7133182844243793,4,134,1021.2950000000008,0.4078434778293334,0.6452554744525547,4,2235.1569999999974,0.5378273113760145,0.6943942133815552,4,134,0.178285296588734,0.1987761353347445,0.4793099999999997,0.4552888396166663,0.8396880375692679,0.8811966768701465,855.2410371819656
2.0,60,15.0,10.0,633.9320000000009,0.4072327675818271,0.6607142857142857,2,654.8310000000004,0.3876188092027164,0.7093821510297483,3,128,1082.2340000000013,0.4109589730260006,0.6472346786248132,4,2067.623999999997,0.5794041320697885,0.6910420475319927,4,128,0.1992778171905021,0.1998668886521579,0.7846666666666677,0.5717108703772826,0.5765103494499082,0.5585606773283172,755.0999341257475
2.0,120,15.0,10.0,573.5450000000014,0.3942106353936641,0.6557093425605537,2,654.8190000000004,0.3895705044938031,0.6993318485523385,3,140,1065.961000000002,0.3997610764474641,0.6433770014556041,4,2067.399999999998,0.579489890313203,0.6833631484794276,4,140,0.1993223041658366,0.1999116390555377,0.7738533333333355,0.718003743263248,0.4508130196905433,0.5586550060313642,754.9471962165799
2.0,240,30.0,8.0,533.3040000000019,0.4434620695096443,0.6416382252559727,2,763.1349999999993,0.525280268677214,0.6659340659340659,3,146,1001.364000000002,0.4017055473199659,0.6316546762589929,4,2229.159999999995,0.6628580323785831,0.6566371681415929,4,146,0.1865787673362786,0.1983812093318531,0.9241066666666672,0.5874241206308666,0.0020167803106345,1.4278557114228536,745.8941714499978
1.5,240,15.0,10.0,655.2050000000015,0.3909581527028227,0.6498316498316499,3,1017.2099999999988,0.4044881287206453,0.7019438444924406,4,154,1075.5220000000018,0.3821899576527551,0.6386913229018493,4,1892.228999999996,0.5719288407336828,0.6858638743455497,4,154,0.1812860249322676,0.1990346817933029,0.398536666666665,0.3792321021257898,0.6870161334918572,0.9383044347176774,696.7517455924377
1.5,120,15.0,10.0,632.5000000000009,0.396457422953082,0.652542372881356,2,979.5289999999987,0.388347955754424,0.7030567685589519,4,149,1165.6840000000009,0.3821899576527551,0.6409155937052933,4,1754.5549999999962,0.5640755982982145,0.6866197183098591,4,149,0.1809046135199069,0.1985226605345229,0.3702333333333323,0.4060816892500016,0.693007588261551,0.7930060139695807,651.7114395143883
1.5,60,15.0,8.0,684.4150000000009,0.3678497382822036,0.6527777777777778,2,607.2449999999992,0.4005498456972759,0.6975169300225733,4,134,1262.1230000000007,0.3904578298621668,0.6408759124087591,4,1785.7689999999968,0.5931026374642597,0.6817359855334539,4,134,0.1742238689604215,0.1985890249775351,0.3736166666666667,0.4164771831054239,0.6785230311679262,0.8226428882726464,642.5229072451283
1.5,120,15.0,8.0,672.2890000000018,0.3601301941265521,0.6474576271186441,2,552.6379999999981,0.4505107420695433,0.6877729257641921,4,149,1163.5840000000012,0.3887782154333561,0.6366237482117311,4,1814.5159999999955,0.6299637770828201,0.6742957746478874,4,149,0.1750506188039386,0.1946450369686544,0.3701099999999981,0.4754435775229677,0.6102009049296238,0.8581528618066718,627.8838170763008
2.0,60,20.0,8.0,464.7830000000004,0.4218365973593947,0.6535714285714286,2,621.5299999999997,0.4805864371207399,0.6864988558352403,4,128,900.2910000000002,0.397158728622028,0.6412556053811659,4,1794.2249999999958,0.6289782430304532,0.6727605118829981,4,128,0.1874341051973927,0.1989485568769063,0.8222699999999987,0.5764696413447643,0.0619603028917665,0.9604195689584571,621.4982908757047
2.0,120,12.0,8.0,692.4350000000006,0.4011933988675634,0.6522491349480969,2,458.9999999999998,0.4501960228516162,0.6948775055679287,3,140,1231.5130000000004,0.4029882787342748,0.6404657933042213,4,1664.2339999999967,0.5873606840479715,0.6797853309481217,4,140,0.1926348010178828,0.1993391905832167,0.5646500000000008,0.6737545137890246,0.3062195475859506,0.6216905695971893,602.5288056552217
1.5,240,15.0,8.0,705.8190000000027,0.3440284870722607,0.6447811447811448,3,554.9699999999982,0.4582876409643694,0.6846652267818575,4,154,1197.7390000000023,0.3887782154333561,0.6344238975817923,4,1723.5769999999948,0.6304394500702436,0.6719022687609075,4,154,0.1752907269744688,0.1943002035294643,0.3007799999999967,0.5516766862959102,0.6111471684527441,0.7667257428168193,596.1214889651891
0.5,60,15.0,6.0,412.6600000000021,0.5420522273983445,0.6175496688741722,3,187.7859999999996,0.5479937417258405,0.6222222222222222,0,53,951.141000000001,0.4557957133591743,0.6115007012622721,4,1510.5480000000036,0.5552241145808362,0.654639175257732,4,163,0.1930663440313528,0.1979303087382926,0.1854699999999971,0.2874106191355983,0.9363031171372642,0.7038535984515193,566.6667936687404
1.5,120,15.0,6.0,641.7410000000004,0.4191324566536292,0.6338983050847458,3,512.3489999999993,0.4527213679360524,0.665938864628821,3,149,1166.7319999999988,0.4186559275856417,0.6251788268955651,4,1544.2869999999966,0.575240431078892,0.6566901408450704,4,149,0.1792952799023447,0.198007549037807,0.6917333333333333,0.1937480296342959,0.59492515486481,0.5981659693238157,566.5608599939515
0.5,60,10.0,6.0,468.51700000000073,0.4445516782696058,0.6258278145695364,3,603.6810000000028,0.5301983295217951,0.6779661016949152,2,163,991.2689999999992,0.3851444641578934,0.6185133239831697,4,1496.4300000000026,0.5633845235226941,0.6666666666666666,4,163,0.1997752528405543,0.1997752528405543,0.0635033333333308,0.9391507940736838,0.3810353522292344,0.7513781117236029,556.2619236209626
