portfolio,components,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,oos_max_day_risk,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd_score
A_highWR_6_12 + B_star_20_25,2,111.9919999999986,0.7106561083050249,0.5240641711229946,1,7714.8039999999955,25.71601333333332,0.4631217275876166,0.6268041237113402,485,4,0.19490506579493327,0.198290673115856,111.9919999999986,0.7106561083050249,0.5516266666666676,1.2933566493658337,1.1852350753608678,2.3070948095082184,10.762696936764435
A_highWR_bodyclose_6_12 + B_star_20_25,2,252.6459999999995,0.527983595352017,0.548951048951049,2,5725.185999999997,19.083953333333323,0.43578066115905456,0.6205357142857143,448,4,0.19450974010701888,0.19821720574212967,5717.820999999996,0.527983595352017,0.44553000000000176,0.8802584519172938,1.0863438522132216,2.3654086031744956,8.270968703379554
A_highWR_6_12 + B_highWRmom_5_20,2,118.33999999999946,0.6778680603759216,0.5319148936170213,1,3574.544999999996,11.915149999999986,0.4700413325930488,0.7711340206185567,485,4,0.19577959288505983,0.1997671602765225,118.33999999999946,0.6778680603759216,0.860783333333333,0.8596075129649645,1.0571709029398022,0.6738326750314336,4.943791278365521
A_highWR_6_12 + B_highWR_5_20,2,117.55700000000002,0.6688609834144582,0.5209790209790209,1,3557.8559999999948,11.859519999999982,0.4661529923046224,0.768,500,4,0.19721143037450467,0.19946189612911006,117.55700000000002,0.6688609834144582,0.9308799999999997,0.9238361092696867,0.8779963191252074,0.7000003822527703,4.944641586182058
A_highWR_bodyclose_6_12 + B_highWRmom_5_20,2,207.52399999999943,0.5978849347824086,0.5641891891891891,2,3105.9519999999966,10.353173333333322,0.4088331490152717,0.7767857142857143,448,4,0.19216138418943224,0.19901289603566372,1880.0119999999974,0.5978849347824086,0.7702200000000001,0.6345821423325857,1.0838756276848351,0.7169897266483594,4.649977949498355
A_highWR_bodyclose_6_12 + B_highWR_5_20,2,202.06699999999978,0.5704930958883031,0.5585284280936454,2,2677.6109999999953,8.925369999999985,0.40535643025264456,0.7732181425485961,463,4,0.19829630425262965,0.19938025969278889,1236.5049999999978,0.5704930958883031,0.8156499999999998,0.5673542074004649,0.825648624272314,0.717946941218818,4.0275681077406
B_star_20_25,1,826.9280000000042,0.2762426036159345,0.5237068965517241,4,2038.7339999999995,6.795779999999998,0.4126803971337179,0.56957928802589,309,4,0.0986452067307598,0.09950339278139848,6363.541000000001,0.46105284730679236,0.1705700000000001,0.7595017811835334,0.4788067701808998,1.2312117093158408,3.036485667069164
A_highWR_6_12,1,184.69699999999875,0.6775372250466803,0.5909090909090909,2,1066.5969999999998,3.5553233333333325,0.38413401004523,0.7272727272727273,176,4,0.1,0.1,614.4779999999987,0.6775372250466803,0.40555000000000074,0.27731018699678534,0.2673613109616282,0.5625574094231298,1.651793337655048
B_highWRmom_5_20,1,377.4939999999999,0.3841027355872768,0.6357758620689655,2,1034.4749999999985,3.448249999999995,0.2903917171782996,0.7961165048543689,309,4,0.09984307995933078,0.09984307995933078,1290.0669999999977,0.3841027355872768,0.26333000000000006,0.532835178984638,0.5913351223786161,0.11898645176992373,1.8428258825323987
B_highWR_5_20,1,199.10500000000025,0.3699009462324763,0.5,0,990.884999999998,3.302949999999993,0.3109436886077375,0.7901234567901234,324,4,0.09949044311385206,0.09988949724367444,199.10500000000025,0.3699009462324763,0.26139666666666694,0.5848913505928566,0.468746300560398,0.12487441607020244,1.7088663662352885
A_highWR_bodyclose_6_12,1,264.35399999999913,0.49058892100816825,0.6027397260273972,2,898.9879999999998,2.996626666666666,0.34873947075059475,0.7338129496402878,139,4,0.09961626982726945,0.1,832.5639999999989,0.49058892100816825,0.4468533333333342,0.07587039460346023,0.2569659177537753,0.5315270499567284,1.4644705808159522
A_smooth_15_20,1,504.6109999999994,0.3375545041284002,0.5779816513761468,4,594.8459999999995,1.9828199999999985,0.28634044660440255,0.6181818181818182,110,3,0.09920561106936208,0.09920561106936208,1412.4929999999974,0.3375545041284002,0.2602900000000008,0.04036901559693851,-0.07246472607093013,0.6304029645384637,1.0665934583619303
