variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years,oos_n,oos_ev,oos_pf,oos_wr,oos_pos_years,oos_final,oos_dd,oos_stalled,full_ev,full_pf,full_wr,robust,robust_score
1000,BIG_GAP,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4,194,1.4636288659793801,1.214411927278878,0.4845360824742268,3,739.052000000001,0.6274246107271689,False,1.2220071090047402,1.2221849295621119,0.48104265402843605,True,3.358382263700505
1000,gap_ratio_range>=0.35,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4,194,1.4636288659793801,1.214411927278878,0.4845360824742268,3,739.052000000001,0.6274246107271689,False,1.2220071090047402,1.2221849295621119,0.48104265402843605,True,3.358382263700505
1000,HIGH_VOL & BIG_GAP,20.0,15.0,480,2.9170476548275084,198,1.1854292929292982,1.3342156899041144,0.494949494949495,3,158,1.3710569620253148,1.2208363618940623,0.46835443037974683,3,643.3609999999981,0.5362305125106587,False,1.2678146067415752,1.2681412170090158,0.48314606741573035,True,3.1375285376867708
1000,HIGH_VOL & BIG_GAP,30.0,15.0,480,2.9619514658363943,198,1.2022272727272805,1.3389516521758962,0.494949494949495,3,158,1.4097215189873353,1.211392869989246,0.43037974683544306,3,560.183999999995,0.6936572935485567,False,1.2943174157303385,1.2624096996204324,0.46629213483146065,True,2.8748593253570927
1000,ThuFri & HIGH_VOL,30.0,20.0,480,3.3334112214529537,342,1.3251081871345014,1.364645582809991,0.5175438596491229,4,256,0.9057499999999985,1.1393674274799157,0.4921875,3,350.150999999983,0.9121647648333167,False,1.1455836120401321,1.235694004013678,0.5066889632107023,True,0.9521081067583754
1000,ThuFri & HIGH_VOL,30.0,15.0,480,3.104019499817624,342,1.2421432748538008,1.337910254482861,0.5087719298245614,4,256,0.8082187499999991,1.1306137084296293,0.453125,3,295.3729999999882,0.9085294457264913,False,1.056382943143812,1.2223362949218446,0.48494983277591974,True,0.5707966307759054
