variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years,oos_n,oos_ev,oos_pf,oos_wr,oos_pos_years,oos_final,oos_dd,oos_stalled,full_ev,full_pf,full_wr,robust,robust_score
1000,HIGH_VOL & BIG_GAP,20.0,30.0,1440,2.8750372977195933,198,1.1845707070707086,1.2582335370546327,0.494949494949495,4,158,2.838303797468356,1.386836657235526,0.6075949367088608,3,292.4399999999998,0.025200000000000576,True,1.918530898876406,1.3303417044449297,0.5449438202247191,False,6.717544590937184
1000,gap_ratio_range>=0.35,20.0,30.0,1440,3.031985620743753,228,1.2436885964912288,1.2770857823522113,0.5,4,194,2.639015463917527,1.3519720220298332,0.6030927835051546,3,292.4399999999998,0.025200000000000576,True,1.8851421800947878,1.3210446410771524,0.54739336492891,False,6.149867579607017
1000,BIG_GAP,20.0,30.0,1440,3.031985620743753,228,1.2436885964912288,1.2770857823522113,0.5,4,194,2.639015463917527,1.3519720220298332,0.6030927835051546,3,292.4399999999998,0.025200000000000576,True,1.8851421800947878,1.3210446410771524,0.54739336492891,False,6.149867579607017
1000,BIG_GAP,30.0,30.0,1440,2.9215925469334683,228,1.220192982456141,1.2714378682579346,0.4956140350877193,3,194,2.638999999999996,1.3009650921972555,0.5360824742268041,3,292.4399999999998,0.025200000000000576,True,1.8724407582938374,1.2898634193296568,0.514218009478673,False,6.015223921077461
1000,gap_ratio_range>=0.35,30.0,30.0,1440,2.9215925469334683,228,1.220192982456141,1.2714378682579346,0.4956140350877193,3,194,2.638999999999996,1.3009650921972555,0.5360824742268041,3,292.4399999999998,0.025200000000000576,True,1.8724407582938374,1.2898634193296568,0.514218009478673,False,6.015223921077461
1000,HIGH_VOL & BIG_GAP,25.0,30.0,1440,2.790108464251155,198,1.1507222222222238,1.2508546495689046,0.494949494949495,4,158,2.6022848101265827,1.311152295949642,0.5632911392405063,3,292.4399999999998,0.025200000000000576,True,1.7949550561797762,1.2865898754126717,0.5252808988764045,False,5.957253556407843
1000,gap_ratio_range>=0.35,25.0,30.0,1440,2.6757448318741197,228,1.1026403508771931,1.2452877131737186,0.4956140350877193,4,194,2.588922680412371,1.3104964595128263,0.5618556701030928,3,292.4399999999998,0.025200000000000576,True,1.7859075829383886,1.285204433224434,0.5260663507109005,False,5.924673729814153
1000,BIG_GAP,25.0,30.0,1440,2.6757448318741197,228,1.1026403508771931,1.2452877131737186,0.4956140350877193,4,194,2.588922680412371,1.3104964595128263,0.5618556701030928,3,292.4399999999998,0.025200000000000576,True,1.7859075829383886,1.285204433224434,0.5260663507109005,False,5.924673729814153
1000,HIGH_VOL & BIG_GAP,20.0,30.0,480,3.557822758526288,198,1.4177373737373749,1.4037052430541073,0.5151515151515151,3,158,2.3037974683544276,1.336290969294047,0.5632911392405063,3,299.35299999999984,0.0021566666666672065,True,1.8109887640449431,1.362659226487637,0.5365168539325843,False,5.377486391444258
1000,BIG_GAP,30.0,25.0,1440,2.357603736019505,228,0.9957500000000018,1.21702609693146,0.49122807017543857,3,194,2.4231804123711314,1.2843988021416255,0.520618556701031,3,249.58299999999986,0.19234030159860185,True,1.6519620853080568,1.2582864341157074,0.504739336492891,False,5.111094104940601
1000,gap_ratio_range>=0.35,30.0,25.0,1440,2.357603736019505,228,0.9957500000000018,1.21702609693146,0.49122807017543857,3,194,2.4231804123711314,1.2843988021416255,0.520618556701031,3,249.58299999999986,0.19234030159860185,True,1.6519620853080568,1.2582864341157074,0.504739336492891,False,5.111094104940601
1000,HIGH_VOL & BIG_GAP,30.0,30.0,1440,3.213921641044398,198,1.3177020202020235,1.2872558399677634,0.494949494949495,4,158,2.2523797468354387,1.2533067695621314,0.5316455696202531,3,292.4399999999998,0.025200000000000576,True,1.7325308988764043,1.2666367800628398,0.5112359550561798,False,5.018279573937847
1000,BIG_GAP,20.0,25.0,1440,2.5729061675885387,228,1.0631052631578963,1.2320519423824032,0.4956140350877193,4,194,2.235154639175258,1.2984468539949154,0.5824742268041238,3,249.58299999999986,0.19234030159860185,True,1.601914691943129,1.2706777755355037,0.5355450236966824,False,4.712967822151451
1000,gap_ratio_range>=0.35,20.0,25.0,1440,2.5729061675885387,228,1.0631052631578963,1.2320519423824032,0.4956140350877193,4,194,2.235154639175258,1.2984468539949154,0.5824742268041238,3,249.58299999999986,0.19234030159860185,True,1.601914691943129,1.2706777755355037,0.5355450236966824,False,4.712967822151451
1000,gap_ratio_range_Q4,20.0,30.0,480,2.9197755526978244,257,1.1879105058365809,1.3316365492930984,0.5136186770428015,3,211,1.8797535545023683,1.2724929975067893,0.5545023696682464,3,299.35299999999984,0.0021566666666672065,True,1.4998311965811986,1.2954066254285355,0.532051282051282,False,4.26687196069045
1000,gap_ratio_range>=0.35,20.0,20.0,1440,2.6922485271266954,228,1.1090043859649155,1.247284644377899,0.49122807017543857,4,194,2.091113402061854,1.2904484282137545,0.5515463917525774,3,191.933,0.37889780596725087,True,1.560495260663508,1.272204794809612,0.518957345971564,False,3.869329025648347
1000,BIG_GAP,20.0,20.0,1440,2.6922485271266954,228,1.1090043859649155,1.247284644377899,0.49122807017543857,4,194,2.091113402061854,1.2904484282137545,0.5515463917525774,3,191.933,0.37889780596725087,True,1.560495260663508,1.272204794809612,0.518957345971564,False,3.869329025648347
1000,HIGH_VOL & BIG_GAP,30.0,25.0,1440,2.431962239184842,198,1.0087474747474792,1.212607510857533,0.4898989898989899,4,158,1.8607594936708847,1.2135391056197826,0.5126582278481012,3,243.09699999999975,0.2133292343537637,True,1.3868876404494401,1.213161261131741,0.5,False,3.641880428440719
1000,HIGH_VOL & BIG_GAP,20.0,25.0,480,3.188559454231673,198,1.2897323232323252,1.3559613103410786,0.51010101010101,3,158,1.7497278481012637,1.253644470011624,0.5379746835443038,3,241.17599999999948,0.19608000000000175,True,1.4938876404494383,1.2942578596168954,0.5224719101123596,False,3.4799089716573133
1000,gap_ratio_range_Q4,30.0,30.0,480,3.182865292311937,257,1.285692607003898,1.358935001873851,0.5136186770428015,3,211,1.545824644549757,1.1957405872655698,0.5023696682464455,3,299.35299999999984,0.0021566666666672065,True,1.4029743589743602,1.2538144140201897,0.5085470085470085,False,3.3893750838785954
1000,BIG_GAP,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4,194,1.4636288659793801,1.214411927278878,0.4845360824742268,3,739.052000000001,0.6274246107271689,False,1.2220071090047402,1.2221849295621119,0.48104265402843605,True,3.358382263700505
1000,gap_ratio_range>=0.35,20.0,15.0,1440,2.4691632693347745,228,1.0164166666666694,1.2325128500465046,0.4780701754385965,4,194,1.4636288659793801,1.214411927278878,0.4845360824742268,3,739.052000000001,0.6274246107271689,False,1.2220071090047402,1.2221849295621119,0.48104265402843605,True,3.358382263700505
1000,gap_ratio_range>=0.35,30.0,20.0,1440,2.474869672022021,228,1.041649122807021,1.2319124752459787,0.4868421052631579,3,194,1.9120103092783463,1.2321251785072844,0.4845360824742268,3,191.933,0.37889780596725087,True,1.441767772511848,1.2320421044602505,0.48578199052132703,False,3.347587973584753
1000,BIG_GAP,30.0,20.0,1440,2.474869672022021,228,1.041649122807021,1.2319124752459787,0.4868421052631579,3,194,1.9120103092783463,1.2321251785072844,0.4845360824742268,3,191.933,0.37889780596725087,True,1.441767772511848,1.2320421044602505,0.48578199052132703,False,3.347587973584753
1000,gap_ratio_range>=0.35,20.0,30.0,480,3.546960392133574,228,1.3932587719298286,1.4022532350524064,0.5175438596491229,4,194,1.4997525773195877,1.209403404122401,0.5412371134020618,2,299.35299999999984,0.0021566666666672065,True,1.4422156398104287,1.2792911154940803,0.5284360189573459,False,3.3087036207165634
1000,BIG_GAP,20.0,30.0,480,3.546960392133574,228,1.3932587719298286,1.4022532350524064,0.5175438596491229,4,194,1.4997525773195877,1.209403404122401,0.5412371134020618,2,299.35299999999984,0.0021566666666672065,True,1.4422156398104287,1.2792911154940803,0.5284360189573459,False,3.3087036207165634
1000,HIGH_VOL & BIG_GAP,20.0,15.0,480,2.9170476548275084,198,1.1854292929292982,1.3342156899041144,0.494949494949495,3,158,1.3710569620253148,1.2208363618940623,0.46835443037974683,3,643.3609999999981,0.5362305125106587,False,1.2678146067415752,1.2681412170090158,0.48314606741573035,True,3.1375285376867708
1000,HIGH_VOL & BIG_GAP,20.0,20.0,480,2.904952989237683,198,1.1860000000000044,1.3228945946354747,0.5050505050505051,3,158,1.744069620253161,1.2679419277490336,0.5126582278481012,3,199.8949999999993,0.33368333333333566,True,1.4336825842696639,1.2907048007008022,0.5084269662921348,False,3.132354204049888
1000,HIGH_VOL & BIG_GAP,30.0,30.0,480,3.748059837479761,198,1.4850404040404075,1.4228699957862285,0.5151515151515151,3,158,1.433556962025312,1.178417431662394,0.5,3,299.35299999999984,0.0021566666666672065,True,1.4621910112359549,1.2649267499471966,0.5084269662921348,False,3.118030646402246
1000,HIGH_VOL & BIG_GAP,25.0,30.0,480,3.2950514777611435,198,1.3232323232323266,1.3767946282316976,0.5151515151515151,3,158,1.3935189873417675,1.1759049466475344,0.5126582278481012,3,299.35299999999984,0.0021566666666672065,True,1.3544269662921347,1.2476488368091665,0.5140449438202247,False,3.0273100288495365
1000,HIGH_VOL & BIG_GAP,30.0,15.0,480,2.9619514658363943,198,1.2022272727272805,1.3389516521758962,0.494949494949495,3,158,1.4097215189873353,1.211392869989246,0.43037974683544306,3,560.183999999995,0.6936572935485567,False,1.2943174157303385,1.2624096996204324,0.46629213483146065,True,2.8748593253570927
1000,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,1440,2.558965131158979,138,1.0611086956521723,1.223113561150421,0.47101449275362317,4,114,1.6560438596491207,1.2294157820034217,0.543859649122807,2,198.4000000000001,0.33866666666666634,True,1.3302460317460298,1.2266195610142585,0.503968253968254,False,2.8551797032528476
