family,threshold,tp,sl,rr,horizon_min,train_score,train_n,train_R,train_evR,train_wr,train_pf,train_ddR,train_streak,train_pos_years,oos_n,oos_R,oos_evR,oos_wr,oos_pf,oos_ddR,oos_streak,oos_pos_years,all_n,all_R,all_evR,all_wr,all_pf,all_ddR,n_2018,R_2018,wr_2018,n_2019,R_2019,wr_2019,n_2020,R_2020,wr_2020,n_2021,R_2021,wr_2021,n_2022,R_2022,wr_2022,n_2023,R_2023,wr_2023,n_2024,R_2024,wr_2024,n_2025,R_2025,wr_2025,n_2026,R_2026,wr_2026
prev_1000close_to_1001,0.0,30.0,40.0,0.75,480,-0.2003561560668658,1304,-5.816749999999946,-0.004460697852760695,0.4593558282208589,0.9550213178500631,14.26499999999993,13,2,949,10.85102499999989,0.011434167544783868,0.5184404636459431,1.0603905144090116,19.70342500000007,9,3,2253,5.034274999999942,0.002234476253883685,0.4842432312472259,1.0162919767934535,19.70342500000006,260,-2.279724999999945,0.4576923076923077,261,-7.4047999999999945,0.42528735632183906,262,0.12957500000005595,0.4961832061068702,261,4.754599999999965,0.4367816091954023,260,-1.0164000000000275,0.4807692307692308,260,-9.28077500000007,0.4230769230769231,262,10.3888,0.5572519083969466,261,9.141349999999964,0.5555555555555556,166,0.6016499999999958,0.5481927710843374
prev_1000close_to_1001,0.0,30.0,50.0,0.6,480,-0.23736573921742718,1304,-5.554319999999963,-0.004259447852760708,0.4593558282208589,0.9467767075173908,11.997739999999947,13,1,949,12.555099999999882,0.013229820864067316,0.5247629083245522,1.0883581545869017,13.137760000000076,9,3,2253,7.000779999999916,0.0031073146915223775,0.4869063470927652,1.028406250139479,14.730080000000056,260,-1.823779999999956,0.4576923076923077,261,-5.509579999999996,0.42528735632183906,262,-1.2825399999999587,0.4961832061068702,261,4.060039999999967,0.4367816091954023,260,-0.9984600000000186,0.4807692307692308,260,-7.4173000000000595,0.4230769230769231,262,8.668559999999992,0.5572519083969466,261,6.426519999999956,0.5555555555555556,166,4.8773199999999886,0.5843373493975904
prev_1000close_to_1001,0.0,20.0,50.0,0.4,480,-0.24141411656245107,1304,-6.210979999999964,-0.00476302147239261,0.4616564417177914,0.9398401492116334,10.715679999999937,13,1,949,8.49075999999991,0.00894706006322435,0.5489989462592202,1.0631873615155982,12.280859999999993,9,3,2253,2.279779999999949,0.001011886373723901,0.49844651575676874,1.009594402926878,15.407879999999983,260,-1.762239999999956,0.4576923076923077,261,-5.416099999999996,0.42528735632183906,262,-1.6115599999999672,0.5,261,3.401739999999973,0.44061302681992337,260,-0.822820000000019,0.4846153846153846,260,-7.837340000000058,0.4269230769230769,262,8.68541999999999,0.5572519083969466,261,6.1111599999999715,0.5900383141762452,166,1.5315200000000102,0.6626506024096386
prev_1000close_to_1001,0.0,50.0,50.0,1.0,480,-0.25248673992472415,1304,-6.432479999999956,-0.004932883435582788,0.4578220858895706,0.9387479926990623,11.110859999999944,13,1,949,14.645699999999842,0.015432771338250623,0.5110642781875658,1.098364758179331,15.741480000000092,9,3,2253,8.213219999999884,0.0036454593874833043,0.480248557478917,1.03234717971892,15.741480000000092,260,-1.823779999999956,0.4576923076923077,261,-5.410519999999996,0.42528735632183906,262,-1.520119999999952,0.49236641221374045,261,4.043399999999965,0.4367816091954023,260,-1.7214600000000153,0.47692307692307695,260,-7.020720000000051,0.4230769230769231,262,11.271039999999978,0.5572519083969466,261,5.391139999999931,0.5402298850574713,166,5.004239999999981,0.5301204819277109
prev_1000close_to_1001,0.0,40.0,50.0,0.8,480,-0.2673958943098462,1304,-6.8946599999999565,-0.005287315950920212,0.4578220858895706,0.9343469758697294,11.220699999999944,13,1,949,15.04855999999982,0.01585728134878801,0.5173867228661749,1.103249918627161,11.540120000000085,9,3,2253,8.153899999999862,0.0036191300488237293,0.4829116733244563,1.0325160333047376,15.618760000000036,260,-1.823779999999956,0.4576923076923077,261,-5.309579999999996,0.42528735632183906,262,-1.9308999999999519,0.49236641221374045,261,4.291059999999961,0.4367816091954023,260,-2.121460000000015,0.47692307692307695,260,-6.965640000000053,0.4230769230769231,262,10.374859999999984,0.5572519083969466,261,7.358359999999911,0.5478927203065134,166,4.280979999999971,0.5542168674698795
prev_1000close_to_1001,0.0,25.0,50.0,0.5,480,-0.2700638116661792,1304,-6.6650799999999695,-0.005111257668711633,0.4593558282208589,0.9361330455825395,11.999619999999947,13,1,949,11.200139999999912,0.011802044257112659,0.5342465753424658,1.0807100958420404,14.00354000000004,9,3,2253,4.535059999999939,0.0020128983577452015,0.4909010208610741,1.0186529100087762,15.48160000000003,260,-1.823779999999956,0.4576923076923077,261,-5.504239999999995,0.42528735632183906,262,-2.0837199999999623,0.4961832061068702,261,3.3761199999999643,0.4367816091954023,260,-0.6294600000000214,0.4807692307692308,260,-7.165360000000059,0.4230769230769231,262,8.904180000000002,0.5572519083969466,261,6.37899999999996,0.5708812260536399,166,3.0823200000000073,0.6144578313253012
prev_1000close_to_1001,0.0,20.0,40.0,0.5,480,-0.28535524340020413,1304,-6.887574999999952,-0.00528188266871162,0.4616564417177914,0.9462644757634948,12.912424999999926,13,1,949,7.409099999999912,0.007807270811380307,0.5426765015806112,1.0438035629747529,16.953975000000046,9,2,2253,0.5215249999999578,0.0002314802485574602,0.4957833999112295,1.0017540910783687,18.392850000000024,260,-2.2027999999999452,0.4576923076923077,261,-7.287949999999997,0.42528735632183906,262,-0.531699999999955,0.5,261,3.93172499999997,0.44061302681992337,260,-0.7968500000000289,0.4846153846153846,260,-9.805825000000066,0.4269230769230769,262,10.409874999999992,0.5572519083969466,261,9.463899999999992,0.5900383141762452,166,-2.6588500000000064,0.6265060240963856
prev_1000close_to_1001,0.0,50.0,40.0,1.25,480,-0.288917996262561,1304,-6.914449999999935,-0.0053024923312882935,0.4578220858895706,0.9468710392628515,13.156399999999916,13,1,949,13.677349999999844,0.014412381454162113,0.5047418335089568,1.0725251434743615,23.4950000000001,9,3,2253,6.762899999999913,0.003001731025299562,0.47758544163337774,1.021218116077643,23.49500000000011,260,-2.279724999999945,0.4576923076923077,261,-7.280974999999994,0.42528735632183906,262,-0.16739999999993516,0.49236641221374045,261,4.733799999999963,0.4367816091954023,260,-1.9201500000000238,0.47692307692307695,260,-8.785050000000057,0.4230769230769231,262,13.64189999999998,0.5572519083969466,261,7.5427749999999385,0.5402298850574713,166,1.2777249999999878,0.4939759036144578
prev_1000close_to_1001,0.0,40.0,40.0,1.0,480,-0.3073632482971828,1304,-7.49217499999994,-0.005745532975460077,0.4578220858895706,0.9424319401527459,13.293699999999916,13,1,949,14.082599999999813,0.014839409905163133,0.5110642781875658,1.0764893316267619,18.28512500000013,9,2,2253,6.590424999999878,0.0029251775410563154,0.480248557478917,1.0209714768122606,18.69577500000003,260,-2.279724999999945,0.4576923076923077,261,-7.1547999999999945,0.42528735632183906,262,-0.6808749999999351,0.49236641221374045,261,5.0433749999999575,0.4367816091954023,260,-2.4201500000000236,0.47692307692307695,260,-8.71620000000006,0.4230769230769231,262,12.52167499999999,0.5572519083969466,261,10.30614999999991,0.5478927203065134,166,-0.02902500000002206,0.5180722891566265
prev_1000close_to_1001,0.0,25.0,40.0,0.625,480,-0.3107664653015835,1304,-7.205199999999955,-0.005525460122699352,0.4593558282208589,0.9442849700216226,14.267349999999928,13,1,949,9.191324999999917,0.009685273972602652,0.5279241306638567,1.052262679051344,20.680150000000054,9,2,2253,1.9861249999999675,0.000881546826453603,0.4882379050155348,1.0065078263892624,20.68015000000005,260,-2.279724999999945,0.4576923076923077,261,-7.398124999999995,0.42528735632183906,262,-0.8718999999999484,0.4961832061068702,261,3.899699999999962,0.4367816091954023,260,-0.5551500000000313,0.4807692307692308,260,-8.965850000000067,0.4230769230769231,262,10.683325000000009,0.5572519083969466,261,9.081949999999974,0.5708812260536399,166,-1.6080999999999896,0.5783132530120482
