family,threshold,tp,sl,rr,horizon_min,train_score,train_n,train_R,train_evR,train_wr,train_pf,train_ddR,train_streak,train_pos_years,oos_n,oos_R,oos_evR,oos_wr,oos_pf,oos_ddR,oos_streak,oos_pos_years,all_n,all_R,all_evR,all_wr,all_pf,all_ddR,n_2018,R_2018,wr_2018,n_2019,R_2019,wr_2019,n_2020,R_2020,wr_2020,n_2021,R_2021,wr_2021,n_2022,R_2022,wr_2022,n_2023,R_2023,wr_2023,n_2024,R_2024,wr_2024,n_2025,R_2025,wr_2025,n_2026,R_2026,wr_2026
prev_0959_to_1000,0.0,30.0,50.0,0.6,480,-0.24359581202196964,1304,-5.59079999999997,-0.004287423312883412,0.46088957055214724,0.9464295261962379,12.427520000000012,10,1,949,14.89812,0.015698756585879874,0.5173867228661749,1.1054635751510054,11.788820000000122,14,3,2253,9.307320000000036,0.0041310785619174594,0.48468708388814913,1.0378921439466013,14.170259999999962,260,-2.2196600000000397,0.45,261,-5.210059999999971,0.421455938697318,262,-1.444340000000007,0.5076335877862596,261,4.303660000000054,0.4559386973180077,260,-1.0204000000000046,0.46923076923076923,260,-5.559359999999988,0.4230769230769231,262,6.769240000000032,0.5305343511450382,261,7.4138,0.5478927203065134,166,6.2744399999999585,0.5963855421686747
prev_0959_to_1000,0.0,50.0,50.0,1.0,480,-0.24505824113034763,1304,-5.822799999999974,-0.004465337423312864,0.4601226993865031,0.9443880633564253,11.98337999999999,10,1,949,16.49420000000001,0.017380611169652276,0.5026343519494204,1.1121736062391,14.7513800000001,14,3,2253,10.671400000000041,0.004736529072347999,0.4780292942743009,1.0423895749467342,14.751380000000093,260,-2.2196600000000397,0.45,261,-5.132199999999971,0.421455938697318,262,-2.0904600000000073,0.5038167938931297,261,4.78088000000005,0.4559386973180077,260,-1.1613600000000084,0.46923076923076923,260,-5.039199999999992,0.4230769230769231,262,9.32392000000002,0.5305343511450382,261,5.36416000000003,0.5325670498084292,166,6.845319999999956,0.536144578313253
prev_0959_to_1000,0.0,40.0,50.0,0.8,480,-0.2630286970096525,1304,-6.4254599999999735,-0.00492749999999998,0.4601226993865031,0.938632226003671,12.00381999999999,10,1,949,13.421780000000004,0.014143076923076927,0.5068493150684932,1.092342518062539,14.128100000000064,14,3,2253,6.996320000000025,0.003105335108743908,0.4798047048379938,1.0279794692238318,14.460399999999948,260,-2.2196600000000397,0.45,261,-5.010059999999971,0.421455938697318,262,-2.4330400000000094,0.5038167938931297,261,4.798660000000054,0.4559386973180077,260,-1.561360000000008,0.46923076923076923,260,-5.038039999999988,0.4230769230769231,262,8.425140000000015,0.5305343511450382,261,7.16790000000003,0.5402298850574713,166,2.866779999999946,0.5481927710843374
prev_0959_to_1000,0.0,20.0,50.0,0.4,480,-0.2693759413982123,1304,-6.731599999999974,-0.0051622699386502865,0.4624233128834356,0.934661775003014,11.766719999999996,10,1,949,11.061519999999994,0.01165597471022128,0.5426765015806112,1.0837379860829328,9.312200000000026,14,3,2253,4.329920000000028,0.001921846426986253,0.49622725255215266,1.0184154916189252,15.139259999999934,260,-2.195300000000038,0.45,261,-5.084039999999978,0.421455938697318,262,-2.349100000000016,0.5114503816793893,261,3.710040000000048,0.4559386973180077,260,-0.8131999999999913,0.47307692307692306,260,-5.721999999999979,0.4269230769230769,262,6.679500000000031,0.5305343511450382,261,5.264219999999987,0.5823754789272031,166,4.839799999999961,0.6807228915662651
prev_0959_to_1000,0.0,25.0,50.0,0.5,480,-0.2722207773908094,1304,-6.345119999999973,-0.004865889570552126,0.4616564417177914,0.93900505426573,12.960819999999995,10,1,949,12.502500000000008,0.013174394099051643,0.5268703898840885,1.0908072354682279,12.527780000000078,14,3,2253,6.157380000000035,0.002732969374167792,0.4891256102973813,1.0254743787915988,14.400999999999996,260,-2.2196600000000397,0.45,261,-5.182919999999972,0.421455938697318,262,-2.7478200000000146,0.5076335877862596,261,4.021200000000054,0.4559386973180077,260,-0.21592000000000056,0.47307692307692306,260,-5.287619999999993,0.4230769230769231,262,6.650300000000048,0.5305343511450382,261,6.710039999999981,0.5632183908045977,166,4.429779999999971,0.6265060240963856
prev_0959_to_1000,0.0,30.0,40.0,0.75,480,-0.27945120636319465,1304,-5.895824999999964,-0.004521338190184021,0.46088957055214724,0.9544237028516568,14.831475000000008,10,1,949,11.600725000000041,0.01222415700737623,0.5089567966280295,1.0644779081783589,18.28047500000008,14,3,2253,5.704900000000077,0.0025321349312028745,0.48113626276076343,1.0184457762675654,18.28047500000008,260,-2.7745750000000493,0.45,261,-7.059649999999966,0.421455938697318,262,-0.042925000000010094,0.5076335877862596,261,4.992150000000067,0.4559386973180077,260,-1.010825000000005,0.46923076923076923,260,-6.977024999999981,0.4230769230769231,262,8.047475000000038,0.5305343511450382,261,9.489625000000013,0.5440613026819924,166,1.040649999999971,0.5542168674698795
prev_0959_to_1000,0.0,15.0,50.0,0.3,720,-0.2794787329002846,1304,-8.407000000000036,-0.0064470858895705795,0.47929447852760737,0.9275693329572369,14.46923999999999,10,2,949,5.95258000000006,0.006272476290832518,0.5858798735511064,1.0448094998928052,12.182320000000011,9,3,2253,-2.4544199999999767,-0.0010894007989347434,0.5241899689303151,0.9901393884751186,16.601319999999845,260,-3.1987799999999798,0.4346153846153846,261,-6.53916000000002,0.4329501915708812,262,-0.3218800000000108,0.5305343511450382,261,0.7744199999999957,0.46360153256704983,260,0.8783999999999783,0.5346153846153846,260,-6.360359999999969,0.45,262,6.03370000000003,0.549618320610687,261,3.4494399999999903,0.6628352490421456,166,2.829800000000003,0.7349397590361446
prev_0959_to_1000,0.0,50.0,40.0,1.25,480,-0.2811951919692947,1304,-6.185824999999973,-0.004743730828220838,0.4601226993865031,0.9523388230761823,14.276299999999972,10,1,949,14.594725000000032,0.015379056902002142,0.49420442571127504,1.0779586624349013,22.160025000000108,14,3,2253,8.408900000000056,0.003732312472259235,0.4744784731469152,1.0265266176669723,22.160025000000097,260,-2.7745750000000493,0.45,261,-6.962324999999965,0.421455938697318,262,-0.8505750000000099,0.5038167938931297,261,5.588675000000064,0.4559386973180077,260,-1.1870250000000107,0.46923076923076923,260,-6.326824999999985,0.4230769230769231,262,11.240825000000026,0.5305343511450382,261,7.0070000000000405,0.5287356321839081,166,2.673724999999955,0.4939759036144578
prev_0959_to_1000,0.0,15.0,40.0,0.375,720,-0.29391308468897426,1304,-9.999875000000031,-0.007668615797546036,0.47929447852760737,0.9308341198168603,17.87852500000002,10,3,949,1.8070750000000588,0.0019041886195996405,0.5763962065331928,1.01073652027006,16.35680000000002,9,2,2253,-8.192799999999973,-0.0036363959165556918,0.5201952951620062,0.9738156510355743,20.529875000000008,260,-3.9984749999999725,0.4346153846153846,261,-8.637775000000023,0.4329501915708812,262,0.6959999999999922,0.5305343511450382,261,0.4831999999999943,0.46360153256704983,260,1.4571749999999783,0.5346153846153846,260,-8.237549999999963,0.45,262,7.846225000000032,0.549618320610687,261,5.680224999999984,0.6551724137931034,166,-3.4818249999999917,0.6927710843373494
prev_0959_to_1000,0.0,50.0,50.0,1.0,720,-0.2952608814605969,1304,-9.612299999999978,-0.007371395705521456,0.46088957055214724,0.9213397101935056,12.909499999999978,10,2,949,23.864920000000122,0.02514743940990529,0.512118018967334,1.1448965520758687,15.446420000000014,11,3,2253,14.252620000000139,0.006326063027075073,0.48246782068353306,1.0496774314079045,15.446420000000023,260,-3.168539999999976,0.4346153846153846,261,-5.957800000000011,0.42911877394636017,262,0.7377200000000133,0.5038167938931297,261,0.5832600000000092,0.4367816091954023,260,-1.8069400000000133,0.5,260,-3.570699999999966,0.4423076923076923,262,14.298580000000062,0.5267175572519084,261,4.551819999999999,0.5517241379310345,166,8.585220000000026,0.536144578313253
