start_hour,mode,tp,sl,train_n,train_tp_count,train_sl_count,train_eod_count,train_tp_rate_all,train_win_rate_resolved,train_positive_pnl_rate,train_net,train_expectancy,train_median_pnl,train_profit_factor,train_max_drawdown,train_max_losing_streak,oos_n,oos_tp_count,oos_sl_count,oos_eod_count,oos_tp_rate_all,oos_win_rate_resolved,oos_positive_pnl_rate,oos_net,oos_expectancy,oos_median_pnl,oos_profit_factor,oos_max_drawdown,oos_max_losing_streak,all_n,all_tp_count,all_sl_count,all_eod_count,all_tp_rate_all,all_win_rate_resolved,all_positive_pnl_rate,all_net,all_expectancy,all_median_pnl,all_profit_factor,all_max_drawdown,all_max_losing_streak,neighbor_score
10,exec,15.0,22.5,756,292,122,342,0.3862433862433862,0.7053140096618358,0.5370370370370371,460.03149999999573,0.6085072751322694,2.019999999999982,1.102789642775706,379.4240000000002,7,153,90,57,6,0.5882352941176471,0.6122448979591837,0.5882352941176471,26.85200000000259,0.17550326797387314,15.0,1.0202940260651134,200.03949999999804,6,909,382,179,348,0.42024202420242024,0.6809269162210339,0.5456545654565457,486.8834999999983,0.5356254125412523,2.9200000000000728,1.0839655031327744,379.4240000000002,7,0.6986774691357973
10,exec,15.0,27.5,756,298,82,376,0.3941798941798942,0.7842105263157895,0.5476190476190477,516.9964999999945,0.683857804232797,2.5239999999998872,1.1146404749473928,392.846,7,153,101,45,7,0.6601307189542484,0.6917808219178082,0.6666666666666666,242.417000000004,1.5844248366013334,15.0,1.1896626994682966,230.03949999999804,3,909,399,127,383,0.4389438943894389,0.7585551330798479,0.5676567656765676,759.4134999999985,0.8354383938393823,4.643000000000029,1.1312078012829765,392.846,7,0.6977389770723047
10,exec,15.0,25.0,756,298,97,361,0.3941798941798942,0.7544303797468355,0.5476190476190477,588.7219999999968,0.7787328042328,2.5239999999998872,1.1326549489127402,387.09799999999996,7,153,96,50,7,0.6274509803921569,0.6575342465753424,0.6339869281045751,154.917000000004,1.012529411764732,15.0,1.120030403332283,217.53949999999804,5,909,394,147,368,0.43344334433443343,0.7282809611829945,0.5621562156215621,743.6390000000008,0.818084708470848,3.7464999999997417,1.1298106724402273,387.09799999999996,7,0.6903659611992888
10,exec,15.0,20.0,756,289,150,317,0.38227513227513227,0.6583143507972665,0.533068783068783,535.8469999999957,0.7087923280423223,1.6889999999999645,1.1230516803876307,369.9265000000007,7,153,83,66,4,0.5424836601307189,0.5570469798657718,0.5424836601307189,-102.5744999999979,-0.6704215686274373,15.0,0.9238821304499321,255.17949999999837,6,909,372,216,321,0.40924092409240925,0.6326530612244898,0.5346534653465347,433.27249999999776,0.4766474147414717,2.22199999999998,1.075983065906998,369.9265000000007,7,0.6586498015872959
10,exec,30.0,27.5,756,99,95,562,0.13095238095238096,0.5103092783505154,0.4880952380952381,459.2504999999901,0.6074742063491932,-0.6900000000000546,1.090529786435684,333.52200000000107,7,153,72,57,24,0.47058823529411764,0.5581395348837209,0.5228758169934641,530.2060000000024,3.4653986928104734,5.565000000001419,1.313526826434236,228.50699999999597,5,909,171,152,586,0.18811881188118812,0.5294117647058824,0.49394939493949397,989.4564999999925,1.0885110011001018,-0.4600000000000364,1.1462822278572624,377.29349999999704,7,0.6163207671957559
10,exec,30.0,25.0,756,99,112,545,0.13095238095238096,0.46919431279620855,0.4880952380952381,552.0574999999931,0.7302347883597792,-0.6900000000000546,1.110852370964562,331.2395000000008,7,153,69,63,21,0.45098039215686275,0.5227272727272727,0.49673202614379086,450.1355000000026,2.942062091503285,-1.9235000000007858,1.2694997733889828,226.6474999999964,5,909,168,175,566,0.1848184818481848,0.4897959183673469,0.48954895489548955,1002.1929999999957,1.1025225522552207,-0.7100000000000364,1.1506971596725142,353.16399999999703,7,0.6125286596119818
10,exec,30.0,22.5,756,96,140,520,0.12698412698412698,0.4067796610169492,0.4775132275132275,377.90699999999174,0.4998769841269732,-1.31350000000009,1.0752785243849876,341.44050000000107,7,153,64,72,17,0.41830065359477125,0.47058823529411764,0.45751633986928103,274.5040000000022,1.7941437908496873,-8.474999999999909,1.1623967398072401,209.1474999999964,6,909,160,212,537,0.17601760176017603,0.43010752688172044,0.47414741474147415,652.4109999999939,0.717723872387232,-1.6269999999999527,1.0972231877565815,347.7134999999971,7,0.6089074074073969
10,exec,18.0,27.5,756,233,85,438,0.3082010582010582,0.7327044025157232,0.5224867724867724,472.3774999999923,0.6248379629629528,0.6527500000001965,1.1005141274398533,378.78400000000147,7,153,94,47,12,0.6143790849673203,0.6666666666666666,0.6274509803921569,326.63900000000376,2.134895424836626,18.0,1.23756583009744,220.3989999999976,5,909,327,132,450,0.35973597359735976,0.7124183006535948,0.5401540154015402,799.0164999999961,0.8790060506050562,2.0499999999999545,1.1315350065206426,378.78400000000147,7,0.6045261243386163
10,exec,17.5,27.5,756,241,85,430,0.3187830687830688,0.7392638036809815,0.5238095238095238,425.83099999999286,0.5632685185185091,0.7424999999998363,1.0906647254728026,391.7730000000015,7,153,95,46,12,0.6209150326797386,0.6737588652482269,0.6339869281045751,324.63900000000376,2.121823529411789,17.5,1.2409300295894248,204.3989999999976,4,909,336,131,442,0.3696369636963696,0.7194860813704497,0.5423542354235423,750.4699999999966,0.8255995599559919,2.2349999999996726,1.1241635172322846,391.7730000000015,7,0.6045261243386163
10,exec,15.0,30.0,756,298,70,388,0.3941798941798942,0.8097826086956522,0.5476190476190477,476.7534999999957,0.630626322751317,2.5239999999998872,1.1047818295685221,400.26700000000005,7,153,104,42,7,0.6797385620915033,0.7123287671232876,0.6862745098039216,264.917000000004,1.731483660130745,15.0,1.2036807806570298,237.53949999999804,3,909,402,112,395,0.44224422442244227,0.7821011673151751,0.570957095709571,741.6704999999997,0.8159191419141911,5.070000000000164,1.1267680309998365,400.26700000000005,7,0.5973339947089881
