date,year,weekday,direction,setup,both_pre,asia_range,signal_spread,outcome,pnl,exit_idx,exit_time,full_mfe,full_mae,pre_exit_mfe,pre_exit_mae
2023-01-03,2023,1,LONG,prebroken,False,20.164999999999964,0.3670000000001892,EOD,-8.376999999999953,838,2023-01-03 23:59:00+02:00,2.3099999999999454,19.899999999999864,2.3099999999999454,19.899999999999864
2023-01-04,2023,2,LONG,prebroken,False,12.824999999999818,0.4169999999999163,EOD,-3.7070000000001073,838,2023-01-04 23:59:00+02:00,7.529999999999973,10.567000000000007,7.529999999999973,10.567000000000007
2023-01-05,2023,3,SHORT,prebroken,False,8.725500000000011,0.31999999999993634,TP,20.0,436,2023-01-05 17:17:00+02:00,24.603000000000065,1.5299999999999727,20.7829999999999,1.5299999999999727
2023-01-06,2023,4,LONG,fresh,False,10.347499999999854,1.1079999999999472,TP,20.0,104,2023-01-06 17:15:00+02:00,28.29600000000005,5.564000000000078,20.195999999999913,5.564000000000078
2023-01-09,2023,0,LONG,prebroken,False,14.818500000000085,0.3669999999999618,EOD,-4.120000000000118,838,2023-01-09 23:59:00+02:00,6.399999999999864,6.0900000000001455,6.399999999999864,6.0900000000001455
2023-01-10,2023,1,LONG,fresh,False,8.173999999999978,0.3169999999997799,EOD,0.05050000000005639,782,2023-01-10 23:59:00+02:00,4.3875000000000455,5.979499999999916,4.3875000000000455,5.979499999999916
2023-01-11,2023,2,LONG,fresh,False,12.63350000000014,0.37999999999988177,EOD,-9.962000000000216,789,2023-01-11 23:59:00+02:00,1.6879999999998745,17.845000000000027,1.6879999999998745,17.845000000000027
2023-01-12,2023,3,LONG,fresh,False,10.442999999999984,0.3400000000001455,EOD,11.044499999999971,736,2023-01-12 23:59:00+02:00,16.221499999999878,12.49350000000004,16.221499999999878,12.49350000000004
2023-01-13,2023,4,LONG,fresh,False,8.615000000000009,0.30999999999994543,TP,20.0,633,2023-01-13 20:41:00+02:00,20.633000000000038,7.5499999999999545,20.083000000000084,7.5499999999999545
2023-01-16,2023,0,SHORT,fresh,False,15.664999999999964,0.36000000000012733,EOD,-0.86200000000008,824,2023-01-16 23:59:00+02:00,2.184999999999718,6.355000000000246,2.184999999999718,6.355000000000246
2023-01-17,2023,1,SHORT,fresh,False,12.11850000000004,0.35999999999989996,EOD,-2.7154999999997926,737,2023-01-17 23:59:00+02:00,2.7845000000002074,10.068499999999858,2.7845000000002074,10.068499999999858
2023-01-18,2023,2,LONG,fresh,False,13.724999999999909,0.31999999999993634,EOD,-7.251999999999725,834,2023-01-18 23:59:00+02:00,15.248000000000275,9.111999999999625,15.248000000000275,9.111999999999625
