tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd
4.0,25.0,20.0,0.5,ORIG,TP2,810.788000000003,2.7026266666666765,0.32575253100980767,0.5474137931034483,464,4,0.9544582227515472,2159.2659999999996,7.197553333333332,0.3559785495417572,0.5889967637540453,309,4,5556.805999999999,0.370430998689345,0.6256600000000019,0.767782521150391,0.5468599213124401,0.6191062494751121,3.4805499572088436
6.0,25.0,25.0,0.5,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853,2068.056999999997,6.893523333333324,0.37248243968448735,0.5857605177993528,309,4,3556.527999999998,0.445424344287637,0.31165333333333445,0.9052671437575026,0.45927052279865577,0.8902989569822592,3.2555819789721405
5.0,20.0,25.0,0.3,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845,1543.1219999999998,5.143739999999999,0.3539300530170216,0.5825242718446602,309,4,3955.5009999999984,0.3947083877061454,0.1705700000000001,0.8524365622446093,0.42673422267040517,0.6626284044554489,2.4947931667145973
4.0,20.0,25.0,0.3,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876,1523.446,5.078153333333333,0.3539300530170216,0.5825242718446602,309,4,3858.980999999999,0.3896922587544464,0.1705700000000001,0.7812461735166105,0.47628061043416103,0.6497402122051534,2.462982622669294
5.0,20.0,20.0,0.7,ORIG,TP2,812.1860000000027,2.7072866666666755,0.31853946047106046,0.5689655172413793,464,4,0.965918631677796,1521.278999999999,5.070929999999997,0.3813892178707405,0.5889967637540453,309,4,4368.672999999999,0.36229209773343046,0.21770666666666716,0.7851097144358821,0.8651095960571746,0.25076483273985684,2.364987640522017
4.0,25.0,25.0,0.7,ORIG,TP2,704.5360000000012,2.3484533333333375,0.22526792826281108,0.5387931034482759,464,4,0.9496452522931489,1464.045,4.88015,0.3180779879263367,0.5954692556634305,309,4,2908.7759999999994,0.3699939709771198,0.31165333333333445,0.7906026999003863,0.24757484796230034,0.6655138873878728,2.497218905439032
5.0,20.0,25.0,0.5,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845,1433.1219999999998,4.777073333333333,0.3539300530170216,0.5825242718446602,309,4,3430.9589999999994,0.36245603813487787,0.1705700000000001,0.8524365622446093,0.42673422267040517,0.5441095028455312,2.316954182928088
4.0,20.0,25.0,0.5,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876,1404.446,4.681486666666666,0.3539300530170216,0.5825242718446602,309,4,3072.4969999999994,0.3711911912198347,0.1705700000000001,0.7812461735166105,0.47628061043416103,0.520875070117798,2.2705931765729797
4.0,30.0,25.0,0.7,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703,1342.438999999998,4.47479666666666,0.37701003786237514,0.5825242718446602,309,4,2431.453999999995,0.4569857524147486,0.37093000000000065,0.7069896590878755,0.22273374080726005,0.5638505205499866,2.099827983723005
5.0,20.0,25.0,0.7,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845,1271.929,4.239763333333333,0.3740310896512954,0.5922330097087378,309,4,3311.7159999999985,0.37064097544513797,0.1705700000000001,0.8524365622446093,0.41721417569274766,0.3796387791250735,1.997915640825429
6.0,20.0,25.0,0.5,ORIG,TP2,735.1670000000022,2.450556666666674,0.256644982856669,0.5387931034482759,464,4,0.9498444827760055,1267.9689999999996,4.226563333333332,0.39704188940452645,0.5857605177993528,309,4,2944.017999999999,0.4525175860014506,0.1705700000000001,0.9236269509726078,0.4329200233301018,0.30992728072903164,1.9289461095945455
4.0,20.0,25.0,0.7,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876,1267.929,4.226430000000001,0.3539300530170216,0.5889967637540453,309,4,2698.9599999999996,0.37149357728587,0.1705700000000001,0.7812461735166105,0.47865143032538815,0.3708392752308556,2.0498836806676812
8.0,25.0,25.0,0.7,BE,TP2,729.5340000000017,2.4317800000000056,0.25709048521349015,0.5517241379310345,464,4,0.9415513444475953,911.8679999999999,3.03956,0.39491819269638295,0.6440129449838188,309,3,1647.5249999999976,0.44091407726569887,0.31165333333333445,0.7716800170776861,0.3883230127275483,-0.05785912955072381,1.3912592427926112
4.0,15.0,25.0,0.5,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421,900.0930000000001,3.0003100000000003,0.3711972377481567,0.5954692556634305,309,4,2297.59,0.40612118565581035,0.09243333333333181,0.43137643792146374,0.4071327314780253,0.36358513118606006,1.4195314928607345
4.0,15.0,25.0,0.3,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421,900.0930000000001,3.0003100000000003,0.3711972377481567,0.5954692556634305,309,4,2599.322000000001,0.4228588544111956,0.09243333333333181,0.43137643792146374,0.4071327314780253,0.36358513118606006,1.4195314928607345
4.0,15.0,25.0,0.7,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421,856.0930000000001,2.8536433333333338,0.3711972377481567,0.5954692556634305,309,4,2092.3820000000005,0.3930943607189632,0.09243333333333181,0.43137643792146374,0.4071327314780253,0.29692785713528247,1.3501393459538347
