tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd
4.0,25.0,20.0,0.3,ORIG,TP2,802.029000000003,2.67343000000001,0.32575253100980767,0.5474137931034483,464,4,0.9435963752943317,2458.8869999999974,8.196289999999992,0.4479684398564036,0.5792880258899676,309,4,6825.105999999997,0.47266819865924947,0.6256600000000019,0.7100398197245095,0.43970200831430617,1.0479000772058034,3.496851998060399
4.0,25.0,20.0,0.5,ORIG,TP2,810.788000000003,2.7026266666666765,0.32575253100980767,0.5474137931034483,464,4,0.9544582227515472,2159.2659999999996,7.197553333333332,0.3559785495417572,0.5889967637540453,309,4,5556.805999999999,0.370430998689345,0.6256600000000019,0.767782521150391,0.5468599213124401,0.6191062494751121,3.4805499572088436
6.0,25.0,25.0,0.5,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853,2068.056999999997,6.893523333333324,0.37248243968448735,0.5857605177993528,309,4,3556.527999999998,0.445424344287637,0.31165333333333445,0.9052671437575026,0.45927052279865577,0.8902989569822592,3.2555819789721405
5.0,25.0,20.0,0.7,ORIG,TP2,785.5530000000022,2.618510000000007,0.3045081128489984,0.5625,464,4,0.9515195013643002,1905.1319999999992,6.350439999999997,0.40659910752485906,0.5792880258899676,309,4,5093.5459999999985,0.34731962401120386,0.2718900000000024,0.9443898450337722,0.5393030198877158,0.6681949367443305,2.860819740351158
5.0,30.0,20.0,0.7,ORIG,TP2,851.3290000000027,2.837763333333342,0.2889023562013251,0.5689655172413793,464,4,1.0529980023286178,1878.9449999999956,6.263149999999985,0.42731213334101675,0.5825242718446602,309,4,4866.48599999999,0.4159746515813653,0.46727000000000163,0.7448049779522552,0.5883429032719978,0.5402514150808071,2.744664575198818
5.0,25.0,20.0,0.3,ORIG,TP2,804.5210000000034,2.6817366666666778,0.334197723709911,0.5495689655172413,464,4,0.9352976675968498,1820.9179999999978,6.06972666666666,0.41151600707807623,0.5631067961165048,309,4,7040.074999999997,0.461640318335711,0.2718900000000024,0.7130648090636817,0.4882880567399215,0.8717971912526317,2.7163106851980343
5.0,25.0,20.0,0.5,ORIG,TP2,817.8460000000034,2.7261533333333445,0.334197723709911,0.5495689655172413,464,4,0.9517246531555881,1807.1209999999987,6.023736666666663,0.40659910752485906,0.5663430420711975,309,4,5671.647999999998,0.40326337047179583,0.2718900000000024,0.7130648090636817,0.5130765900353151,0.8271816270837542,2.7136426399866904
4.0,30.0,20.0,0.7,ORIG,TP2,771.9660000000019,2.5732200000000063,0.28681172635330393,0.5581896551724138,464,4,0.957962202370987,1753.8509999999956,5.846169999999986,0.41543309899240144,0.5825242718446602,309,4,3852.5249999999924,0.4037993215497244,0.7249366666666681,0.5669039056506451,0.5656927419981335,0.38149521358675087,2.602578386534265
4.0,25.0,25.0,0.7,ORIG,TP2,704.5360000000012,2.3484533333333375,0.22526792826281108,0.5387931034482759,464,4,0.9496452522931489,1464.045,4.88015,0.3180779879263367,0.5954692556634305,309,4,2908.7759999999994,0.3699939709771198,0.31165333333333445,0.7906026999003863,0.24757484796230034,0.6655138873878728,2.497218905439032
5.0,20.0,25.0,0.3,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845,1543.1219999999998,5.143739999999999,0.3539300530170216,0.5825242718446602,309,4,3955.5009999999984,0.3947083877061454,0.1705700000000001,0.8524365622446093,0.42673422267040517,0.6626284044554489,2.4947931667145973
