tp2,b_train_final,b_train_dd,b_train_wr,b_train_reentries,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,ab_full_final,b_ret_2023,b_ret_2024,b_ret_2025,b_ret_2026,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026,b_train_score,ab_train_score
4.0,197.37299999999982,0.4024993112968519,0.6343115124153499,99,1,391.38000000000034,0.4382374141659392,0.7896825396825397,504,195,3,198.03999999999883,0.39099281947199555,0.5330188679245284,1,929.9829999999993,0.5991924195001349,0.758957654723127,614,195,4,0.1985153533014966,0.15645718353601074,197.37299999999982,198.03999999999883,0.19555333333333458,0.004990715596125517,0.6628381827462984,-0.34702525943474904,0.4241166666666687,0.10450688731026214,0.8457565842452772,0.06773955404410881,-0.8620612053780519,-0.8431537504501786
8.0,199.0129999999997,0.40500955211207984,0.5752895752895753,43,1,367.7460000000008,0.4836470966267265,0.7420634920634921,504,195,3,198.95499999999925,0.395888684773864,0.536036036036036,1,903.6239999999989,0.6359996238775101,0.7198697068403909,614,195,3,0.19919128338943942,0.18526581012107143,199.0129999999997,198.95499999999925,0.08253666666666737,0.16303989703197264,0.5984379550448746,-0.39089285891749126,0.34282666666666795,0.35013702438636796,0.7349218606361441,-0.04238976541503825,-0.8571752207835438,-0.8451535306010866
6.0,458.43500000000085,0.35477816777500326,0.668769716088328,170,3,451.03300000000036,0.4992915272696844,0.7678571428571429,504,195,3,198.4089999999992,0.3938656116822233,0.5384615384615384,1,891.9429999999988,0.6135278063008135,0.741042345276873,614,195,3,0.19906637868397184,0.15646534357833655,716.7500000000018,198.4089999999992,0.1499166666666678,0.06874411189216523,0.9773603840624923,-0.3813270455521216,0.41010000000000213,-0.06482282580431864,1.1863637742411668,0.031215929835838985,0.24508551386391114,-0.8451704937020738
25.0,641.8090000000038,0.415353679647587,0.6482649842271293,170,3,741.4850000000006,0.5759807584199705,0.7043650793650794,504,195,4,198.51499999999896,0.3969738576783602,0.5381818181818182,1,1419.783999999998,0.7335227843439268,0.6889250814332247,614,195,3,0.19866003804339613,0.19486624867856303,2115.8170000000046,198.51499999999896,0.17888666666666952,0.08549309235267821,0.2136821376288649,0.5913915031066563,0.3862066666666699,-0.024546604402418293,0.3772426747918034,1.5413006279041532,0.4997808094571401,-0.8488325184991409
12.0,718.154000000002,0.3899625491530182,0.6529968454258676,170,4,714.3130000000021,0.5396145003341303,0.7301587301587301,504,195,3,197.52999999999906,0.39996597792210375,0.5374449339207048,1,1910.857,0.6393204815556057,0.7100977198697068,614,195,4,0.19881664333884685,0.1789137608835477,1669.7770000000082,197.52999999999906,0.13954333333333424,0.1261236226207625,1.1359888825393467,-0.1313368510530658,0.3385600000000015,0.3481502510160197,1.2421782353788626,0.5742027273393819,0.7464521147165667,-0.8578460733111367
10.0,564.1240000000014,0.3513387409374793,0.6561514195583596,170,3,449.80100000000107,0.5601132794711401,0.7321428571428571,504,195,3,195.85399999999913,0.40505713886475814,0.5374449339207048,1,709.6209999999987,0.6781951817463251,0.7117263843648208,614,195,3,0.19795447047179154,0.1642438418824537,784.137000000004,195.85399999999913,0.11227000000000098,0.18051372418567668,0.5429750072985273,-0.2599535045187483,0.38788666666666805,0.28603440242478895,0.4951994636397392,-0.11366177005099809,0.45718431056702913,-0.8732401284266319
15.0,730.6880000000035,0.424208005521288,0.6498422712933754,170,4,710.8830000000007,0.5899645712126702,0.7162698412698413,504,195,3,194.4589999999987,0.4092947101744272,0.5328185328185329,1,1391.0059999999974,0.6932196342673136,0.6986970684039088,614,195,4,0.1997443272611057,0.1997443272611057,1565.7840000000056,194.4589999999987,0.17322666666666686,0.1337053368488088,0.8065975320027612,-0.013871876573591013,0.37324666666666717,0.286678285522874,0.584683763521588,0.6559476956117001,0.7175232739439269,-0.8861089894691431
20.0,622.3120000000038,0.41554155732381487,0.6482649842271293,170,3,886.7270000000008,0.6104088449740107,0.7083333333333334,504,195,4,193.51499999999896,0.4121622853115779,0.5381818181818182,1,1377.6959999999988,0.7078939581070385,0.6921824104234527,614,195,4,0.1995350832560129,0.1972688132801363,1630.524000000005,193.51499999999896,0.1984666666666688,0.32850030594649215,0.5298409501537673,0.2134860214553449,0.3984866666666691,0.2160096866612986,0.473416808448907,0.8327834656563304,0.46867799764977924,-0.894846530981627
30.0,643.2340000000042,0.4158575828065212,0.6466876971608833,170,3,886.2329999999968,0.6839118056169848,0.7003968253968254,504,195,4,193.2479999999989,0.4129733473471919,0.5381818181818182,1,1282.9149999999977,0.7144143843613459,0.6856677524429967,614,195,2,0.1999590084032765,0.19518002917941418,1985.2749999999987,193.2479999999989,0.23045000000000226,0.24423313963726567,0.10863071262164259,0.740499977414802,0.3800400000000028,-0.0372356356820529,-0.04909984043995508,2.384776729767175,0.5013183657191986,-0.8973221554494252
